Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     92      657 ------      0 2019-09-16 18:38:35 UTC+0000                                 
0xfffffa8031e2f040 smss.exe                244      4      2       30 ------      0 2019-09-16 18:38:35 UTC+0000                                 
0xfffffa80324a2930 csrss.exe               344    336     10      609      0      0 2019-09-16 18:38:43 UTC+0000                                 
0xfffffa80324d58f0 wininit.exe             388    336      3       79      0      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa80324f2b10 csrss.exe               408    396      9       80      1      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa8032589b10 winlogon.exe            448    396      4       96      1      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa80325dfb10 services.exe            504    388      7      244      0      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa80325eeb10 lsass.exe               512    388      8      643      0      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa80325efb10 lsm.exe                 520    388     10      189      0      0 2019-09-16 18:38:46 UTC+0000                                 
0xfffffa8032700850 svchost.exe             616    504     10      360      0      0 2019-09-16 18:38:50 UTC+0000                                 
0xfffffa80326aeb10 svchost.exe             696    504      8      228      0      0 2019-09-16 18:38:51 UTC+0000                                 
0xfffffa80329bd660 LogonUI.exe             780    448      8      195      1      0 2019-09-16 18:38:52 UTC+0000                                 
0xfffffa803273ab10 svchost.exe             796    504     21      518      0      0 2019-09-16 18:38:52 UTC+0000                                 
0xfffffa80329f39c0 svchost.exe             836    504     16      319      0      0 2019-09-16 18:38:52 UTC+0000                                 
0xfffffa8032712b10 svchost.exe             860    504     14      591      0      0 2019-09-16 18:38:52 UTC+0000                                 
0xfffffa8032a05060 svchost.exe             884    504     30      907      0      0 2019-09-16 18:38:52 UTC+0000                                 
0xfffffa8032702b10 svchost.exe             968    504      4      173      0      0 2019-09-16 18:38:53 UTC+0000                                 
0xfffffa8032728b10 svchost.exe             400    504     24      654      0      0 2019-09-16 18:38:55 UTC+0000                                 
0xfffffa803242c060 spoolsv.exe            1056    504     13      308      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xfffffa8032468320 svchost.exe            1092    504     18      321      0      0 2019-09-16 18:38:58 UTC+0000                                 
0xfffffa80324f6060 svchost.exe            1252    504     10      165      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xfffffa803259b240 esensor.exe            1280    504     47      668      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xfffffa8031f2ab10 prunsrv.exe            1384    504      8       63      0      0 2019-09-16 18:39:05 UTC+0000                                 
0xfffffa803104d340 conhost.exe            1416    344      2       34      0      0 2019-09-16 18:39:06 UTC+0000                                 
0xfffffa8031063b10 taskeng.exe            1432    884      6       98      0      0 2019-09-16 18:39:07 UTC+0000                                 
0xfffffa8032bfab10 rubyw.exe              1536    504     12      187      0      0 2019-09-16 18:39:08 UTC+0000                                 
0xfffffa8032c0a4f0 java.exe               1560   1384     32      411      0      1 2019-09-16 18:39:08 UTC+0000                                 
0xfffffa8032d00b10 ruby.exe               1804    504     10      116      0      0 2019-09-16 18:39:38 UTC+0000                                 
0xfffffa8031c51060 VGAuthService.         1896    504      3       92      0      0 2019-09-16 18:39:42 UTC+0000                                 
0xfffffa8032d5db10 vmtoolsd.exe           1980    504     10      300      0      0 2019-09-16 18:39:53 UTC+0000                                 
0xfffffa8031068b10 winlogbeat.exe         2016    504     19      173      0      0 2019-09-16 18:39:57 UTC+0000                                 
0xfffffa8032e5cb10 svchost.exe            1268    504      5      103      0      0 2019-09-16 18:40:26 UTC+0000                                 
0xfffffa8032e48b10 svchost.exe            2012    504     14      392      0      0 2019-09-16 18:40:26 UTC+0000                                 
0xfffffa80310c8b10 dllhost.exe            2552    504     13      199      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xfffffa8031141b10 msdtc.exe              2744    504     12      146      0      0 2019-09-16 18:41:02 UTC+0000                                 
0xfffffa803119d9c0 WmiPrvSE.exe           2356    616      7      308      0      0 2019-09-16 18:41:37 UTC+0000                                 
0xfffffa80312e4b10 GoogleUpdate.e         2964   2728      5      132      0      1 2019-09-16 18:42:35 UTC+0000                                 
0xfffffa8031e456e0 conhost.exe            2908    344      0 --------      0      0 2019-09-17 15:11:11 UTC+0000   2019-09-17 15:11:11 UTC+0000  
0xfffffa803371d3d0 wsmprovhost.ex         1300    616     11      589      0      0 2019-09-18 17:15:02 UTC+0000                                 
0xfffffa803353f760 HOSTNAME.EXE           3152   1300      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:03 UTC+0000  
0xfffffa803366e6d0 systeminfo.exe         3264   1300      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:20 UTC+0000  
0xfffffa8033686290 DumpIt.exe             2420   1300      3       95      0      0 2019-09-18 17:15:20 UTC+0000                                 
0xfffffa80337b2b10 conhost.exe            3524    344      2       33      0      0 2019-09-18 17:15:20 UTC+0000                                 
0xfffffa8033645060 TrustedInstall         3268    504      7 208...12 ------      0 2019-09-18 18:43:04 UTC+0000                                 
0xfffffa80336a9060 conhost.exe            1964    344      0 -------- ------      0 2019-09-18 18:44:00 UTC+0000   2019-09-18 18:44:00 UTC+0000  
