Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     90      686 ------      0 2019-09-16 18:51:16 UTC+0000                                 
0xfffffa8031f2b9d0 smss.exe                244      4      2       30 ------      0 2019-09-16 18:51:21 UTC+0000                                 
0xfffffa80320df5b0 csrss.exe               340    332     10      512      0      0 2019-09-16 18:53:33 UTC+0000                                 
0xfffffa8030f3e250 wininit.exe             408    332      3       78      0      0 2019-09-16 18:53:37 UTC+0000                                 
0xfffffa8030f3d1f0 csrss.exe               428    420     10      171      1      0 2019-09-16 18:53:37 UTC+0000                                 
0xfffffa8030f12520 winlogon.exe            460    420      3      122      1      0 2019-09-16 18:53:37 UTC+0000                                 
0xfffffa8032367060 services.exe            512    408     14      238      0      0 2019-09-16 18:53:42 UTC+0000                                 
0xfffffa80323736d0 lsass.exe               540    408      7      667      0      0 2019-09-16 18:53:43 UTC+0000                                 
0xfffffa803241e990 lsm.exe                 548    408     10      186      0      0 2019-09-16 18:53:43 UTC+0000                                 
0xfffffa8031e99060 svchost.exe             652    512     10      360      0      0 2019-09-16 18:54:48 UTC+0000                                 
0xfffffa803101a5d0 svchost.exe             744    512      6      257      0      0 2019-09-16 18:55:38 UTC+0000                                 
0xfffffa8031d3fb10 svchost.exe             844    512     20      515      0      0 2019-09-16 18:56:18 UTC+0000                                 
0xfffffa8032416b10 svchost.exe             896    512     15      416      0      0 2019-09-16 18:56:36 UTC+0000                                 
0xfffffa8031d6d760 svchost.exe             920    512     14      614      0      0 2019-09-16 18:56:36 UTC+0000                                 
0xfffffa8032418940 svchost.exe             944    512     24      843      0      0 2019-09-16 18:56:36 UTC+0000                                 
0xfffffa8031d7bb10 svchost.exe             276    512      5      194      0      0 2019-09-16 18:57:01 UTC+0000                                 
0xfffffa8032397b10 svchost.exe             832    512     24      672      0      0 2019-09-16 18:57:28 UTC+0000                                 
0xfffffa8031fe3060 spoolsv.exe            1156    512     13      311      0      0 2019-09-16 18:59:20 UTC+0000                                 
0xfffffa8031d595d0 svchost.exe            1212    512     19      318      0      0 2019-09-16 18:59:42 UTC+0000                                 
0xfffffa8032423b10 svchost.exe            1448    512     10      165      0      0 2019-09-16 19:01:37 UTC+0000                                 
0xfffffa80329500d0 dwm.exe                2028    896      5      130      1      0 2019-09-16 19:07:08 UTC+0000                                 
0xfffffa8032675880 explorer.exe           2044   1960     20      633      1      0 2019-09-16 19:07:26 UTC+0000                                 
0xfffffa8032cbc660 taskhost.exe           1672    512      5      112      1      0 2019-09-16 19:11:30 UTC+0000                                 
0xfffffa803103cb10 svchost.exe            1152    512     14      401      0      0 2019-09-16 19:14:26 UTC+0000                                 
0xfffffa8032518b10 svchost.exe             648    512      5      103      0      0 2019-09-16 19:15:15 UTC+0000                                 
0xfffffa803271e760 vmtoolsd.exe           2020   2044      6      146      1      0 2019-09-16 19:29:05 UTC+0000                                 
0xfffffa80325c0060 taskeng.exe            1604    944      7      102      0      0 2019-09-16 19:30:16 UTC+0000                                 
0xfffffa8032702b10 GoogleUpdate.e          312   1604      5      130      0      1 2019-09-16 19:31:17 UTC+0000                                 
0xfffffa803259b480 vmtoolsd.exe           2320    512     10      297      0      0 2019-09-16 19:32:45 UTC+0000                                 
0xfffffa80324c6060 prunsrv.exe            2064    512      8       65      0      0 2019-09-16 19:45:00 UTC+0000                                 
0xfffffa803279e060 conhost.exe             636    340      2       34      0      0 2019-09-16 19:45:12 UTC+0000                                 
0xfffffa803254a200 java.exe               2884   2064     32      408      0      1 2019-09-16 19:45:35 UTC+0000                                 
0xfffffa8031de0060 WmiPrvSE.exe           2996    652      9      323      0      0 2019-09-16 19:51:59 UTC+0000                                 
0xfffffa8032a0a440 dllhost.exe            1516    512     13      197      0      0 2019-09-16 19:52:06 UTC+0000                                 
0xfffffa8032a07060 msdtc.exe              2264    512     12      150      0      0 2019-09-16 19:52:17 UTC+0000                                 
0xfffffa8032f26060 wsmprovhost.ex         3056    652     11      588      0      0 2019-09-18 17:15:02 UTC+0000                                 
0xfffffa80330aeb10 HOSTNAME.EXE           3060   3056      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:03 UTC+0000  
0xfffffa8033025060 systeminfo.exe         2420   3056      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:22 UTC+0000  
0xfffffa8032db3b10 DumpIt.exe             1248   3056      3       96      0      0 2019-09-18 17:15:24 UTC+0000                                 
0xfffffa803165f850 conhost.exe            1292    340      2       34      0      0 2019-09-18 17:15:24 UTC+0000                                 
