Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     89      805 ------      0 2019-09-16 18:37:26 UTC+0000                                 
0xfffffa8031edb040 smss.exe                244      4      2       30 ------      0 2019-09-16 18:37:27 UTC+0000                                 
0xfffffa80325b5b10 csrss.exe               340    332     10      635      0      0 2019-09-16 18:37:39 UTC+0000                                 
0xfffffa8032583060 wininit.exe             384    332      3       79      0      0 2019-09-16 18:37:39 UTC+0000                                 
0xfffffa803257b7d0 csrss.exe               412    396     10      174      1      0 2019-09-16 18:37:39 UTC+0000                                 
0xfffffa80327f2b10 winlogon.exe            452    396      3      122      1      0 2019-09-16 18:37:40 UTC+0000                                 
0xfffffa8032820b10 services.exe            496    384      7      248      0      0 2019-09-16 18:37:40 UTC+0000                                 
0xfffffa803281c060 lsass.exe               512    384      8      682      0      0 2019-09-16 18:37:40 UTC+0000                                 
0xfffffa803282eb10 lsm.exe                 520    384      9      198      0      0 2019-09-16 18:37:40 UTC+0000                                 
0xfffffa8032823b10 svchost.exe             620    496      9      360      0      0 2019-09-16 18:37:45 UTC+0000                                 
0xfffffa803288eb10 svchost.exe             700    496      7      258      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa8032984b10 svchost.exe             756    496     21      538      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa8032828060 svchost.exe             868    496     16      426      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa80329c2b10 svchost.exe             892    496     15      610      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa80329d0b10 svchost.exe             940    496     31      952      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa80329f2880 svchost.exe            1004    496      5      198      0      0 2019-09-16 18:37:46 UTC+0000                                 
0xfffffa8032855b10 svchost.exe             984    496     25      667      0      0 2019-09-16 18:37:50 UTC+0000                                 
0xfffffa8032b1c390 spoolsv.exe            1116    496     13      313      0      0 2019-09-16 18:37:51 UTC+0000                                 
0xfffffa8032a7fb10 svchost.exe            1144    496     17      319      0      0 2019-09-16 18:37:51 UTC+0000                                 
0xfffffa8032bdcb10 svchost.exe            1272    496     10      166      0      0 2019-09-16 18:37:53 UTC+0000                                 
0xfffffa8032be2b10 esensor.exe            1344    496     47      676      0      0 2019-09-16 18:37:53 UTC+0000                                 
0xfffffa8032c04b10 prunsrv.exe            1412    496      8       65      0      0 2019-09-16 18:37:54 UTC+0000                                 
0xfffffa8031005570 conhost.exe            1440    340      2       35      0      0 2019-09-16 18:37:56 UTC+0000                                 
0xfffffa803105db10 rubyw.exe              1480    496     12      187      0      0 2019-09-16 18:37:57 UTC+0000                                 
0xfffffa8032bc7060 taskeng.exe            1496    940      6      103      0      0 2019-09-16 18:38:04 UTC+0000                                 
0xfffffa80324d3b10 java.exe               1508   1412     34      429      0      1 2019-09-16 18:38:05 UTC+0000                                 
0xfffffa8031bfc610 ruby.exe               1840    496     10      114      0      0 2019-09-16 18:38:22 UTC+0000                                 
0xfffffa8031e149c0 VGAuthService.         1936    496      3       90      0      0 2019-09-16 18:38:25 UTC+0000                                 
0xfffffa8032e98060 vmtoolsd.exe           1964    496     10      302      0      0 2019-09-16 18:38:25 UTC+0000                                 
0xfffffa8032d60060 winlogbeat.exe         2012    496     18      167      0      0 2019-09-16 18:38:25 UTC+0000                                 
0xfffffa80330c8660 svchost.exe            2220    496      5      103      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xfffffa80330fab10 svchost.exe            2240    496     14      397      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xfffffa8032cad170 dllhost.exe            2376    496     13      202      0      0 2019-09-16 18:38:35 UTC+0000                                 
0xfffffa80332835d0 msdtc.exe              2668    496     12      145      0      0 2019-09-16 18:38:38 UTC+0000                                 
0xfffffa80331d6060 taskhost.exe           2740    496      8      178      1      0 2019-09-16 18:38:38 UTC+0000                                 
0xfffffa80331bfb10 GoogleUpdate.e         2888   1496      5      132      0      1 2019-09-16 18:38:38 UTC+0000                                 
0xfffffa803334b600 WmiPrvSE.exe           2828    620      7      312      0      0 2019-09-16 18:38:49 UTC+0000                                 
0xfffffa8033451b10 dwm.exe                2616    868      5      126      1      0 2019-09-16 18:38:54 UTC+0000                                 
0xfffffa8033453b10 explorer.exe            556   1904     20      625      1      0 2019-09-16 18:38:54 UTC+0000                                 
0xfffffa80329bda20 vmtoolsd.exe           3500    556      7      146      1      0 2019-09-16 18:39:03 UTC+0000                                 
0xfffffa803231c520 wsmprovhost.ex         4704    620     11      589      0      0 2019-09-18 17:15:02 UTC+0000                                 
0xfffffa80321477b0 HOSTNAME.EXE           5068   4704      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:03 UTC+0000  
0xfffffa80322de060 systeminfo.exe         2568   4704      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:17 UTC+0000  
0xfffffa80332cab10 DumpIt.exe             2148   4704      3       96      0      0 2019-09-18 17:15:17 UTC+0000                                 
0xfffffa803214c5c0 conhost.exe            2124    340      2       34      0      0 2019-09-18 17:15:17 UTC+0000                                 
