Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     92      749 ------      0 2019-09-16 19:00:56 UTC+0000                                 
0xfffffa8031fa75a0 smss.exe                244      4      2       30 ------      0 2019-09-16 19:01:03 UTC+0000                                 
0xfffffa803260c1f0 csrss.exe               340    332     11      636      0      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa803252f060 wininit.exe             392    332      3       79      0      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa8032002b10 csrss.exe               412    384      9       79      1      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa80324166e0 services.exe            468    392     12      255      0      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa8032006670 winlogon.exe            484    384      4       95      1      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa803296ab10 lsass.exe               512    392      8      645      0      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa803296cb10 lsm.exe                 520    392     10      192      0      0 2019-09-16 19:01:42 UTC+0000                                 
0xfffffa80329b38f0 svchost.exe             616    468     10      358      0      0 2019-09-16 19:01:44 UTC+0000                                 
0xfffffa8031d03b10 svchost.exe             692    468      7      232      0      0 2019-09-16 19:01:44 UTC+0000                                 
0xfffffa8032991b10 svchost.exe             752    468     21      524      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa803272eb10 LogonUI.exe             776    484      8      198      1      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa803273bb10 svchost.exe             832    468     16      322      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032737b10 svchost.exe             856    468     14      582      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa803276fb10 svchost.exe             888    468     27      915      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032785b10 svchost.exe             944    468      4      173      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032680b10 svchost.exe             344    468     25      667      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032a65650 spoolsv.exe             580    468     13      307      0      0 2019-09-16 19:01:46 UTC+0000                                 
0xfffffa80327a6b10 svchost.exe            1052    468     19      317      0      0 2019-09-16 19:01:46 UTC+0000                                 
0xfffffa8032ad9620 svchost.exe            1184    468     10      165      0      0 2019-09-16 19:01:47 UTC+0000                                 
0xfffffa8032b6eb10 esensor.exe            1228    468     47      677      0      0 2019-09-16 19:01:47 UTC+0000                                 
0xfffffa8032bf6060 prunsrv.exe            1396    468      8       63      0      0 2019-09-16 19:01:51 UTC+0000                                 
0xfffffa8032af78c0 conhost.exe            1408    340      2       35      0      0 2019-09-16 19:01:52 UTC+0000                                 
0xfffffa8032bddb10 rubyw.exe              1448    468     12      187      0      0 2019-09-16 19:01:52 UTC+0000                                 
0xfffffa8032bdd350 java.exe               1460   1396     32      411      0      1 2019-09-16 19:01:52 UTC+0000                                 
0xfffffa8032d24670 taskeng.exe            1516    888      8      102      0      0 2019-09-16 19:02:00 UTC+0000                                 
0xfffffa8032d8a060 ruby.exe               1732    468     10      116      0      0 2019-09-16 19:02:04 UTC+0000                                 
0xfffffa8032de5b10 VGAuthService.         1840    468      3       91      0      0 2019-09-16 19:02:10 UTC+0000                                 
0xfffffa8032e78b10 vmtoolsd.exe           1932    468     10      296      0      0 2019-09-16 19:02:18 UTC+0000                                 
0xfffffa8032c6fb10 winlogbeat.exe         1964    468     18      169      0      0 2019-09-16 19:02:22 UTC+0000                                 
0xfffffa8032a88b10 svchost.exe            2128    468      5      101      0      0 2019-09-16 19:02:47 UTC+0000                                 
0xfffffa8032b2f2b0 dllhost.exe            2192    468     13      204      0      0 2019-09-16 19:02:48 UTC+0000                                 
0xfffffa8032c3e060 msdtc.exe              2384    468     12      146      0      0 2019-09-16 19:02:51 UTC+0000                                 
0xfffffa8031068660 svchost.exe            2980    468     13      389      0      0 2019-09-16 19:03:14 UTC+0000                                 
0xfffffa80330bfa40 WmiPrvSE.exe           2600    616      9      315      0      0 2019-09-16 19:03:45 UTC+0000                                 
0xfffffa8031036270 GoogleUpdate.e         2584   1516      5      134      0      1 2019-09-16 19:05:00 UTC+0000                                 
0xfffffa80333f1b10 logman.exe             3544   3828      0 --------      0      0 2019-09-17 17:59:21 UTC+0000   2019-09-17 17:59:24 UTC+0000  
0xfffffa80333c8b10 sc.exe                 3652   3776      0 --------      0      0 2019-09-17 19:53:43 UTC+0000   2019-09-17 19:53:43 UTC+0000  
0xfffffa803364fb10 wsmprovhost.ex         4044    616     11      590      0      0 2019-09-18 17:15:03 UTC+0000                                 
0xfffffa803365bb10 HOSTNAME.EXE           3696   4044      0 --------      0      0 2019-09-18 17:15:03 UTC+0000   2019-09-18 17:15:04 UTC+0000  
0xfffffa803369eb10 systeminfo.exe         3032   4044      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:18 UTC+0000  
0xfffffa80336d3a30 DumpIt.exe              664   4044      3       95      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa80337a7b10 conhost.exe            1268    340      2       34      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa8033799b10 sppsvc.exe             2032    468      0 -------- ------      0 2019-09-18 17:36:12 UTC+0000   2019-09-18 17:41:28 UTC+0000  
