Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     93      657 ------      0 2019-09-16 18:59:48 UTC+0000                                 
0xfffffa8032234890 smss.exe                244      4      2       30 ------      0 2019-09-16 19:00:02 UTC+0000                                 
0xfffffa80320ae470 csrss.exe               368    356     11      521      0      0 2019-09-16 19:08:45 UTC+0000                                 
0xfffffa803240db10 csrss.exe               428    416      9       80      1      0 2019-09-16 19:12:01 UTC+0000                                 
0xfffffa8032118060 wininit.exe             436    356      3       80      0      0 2019-09-16 19:12:01 UTC+0000                                 
0xfffffa80321208b0 winlogon.exe            472    416      4       96      1      0 2019-09-16 19:12:06 UTC+0000                                 
0xfffffa8032351b10 services.exe            560    436      7      223      0      0 2019-09-16 19:12:57 UTC+0000                                 
0xfffffa8030f50b10 lsass.exe               568    436      7      656      0      0 2019-09-16 19:13:31 UTC+0000                                 
0xfffffa80321ac060 lsm.exe                 576    436      9      186      0      0 2019-09-16 19:13:32 UTC+0000                                 
0xfffffa80326a86f0 svchost.exe             680    560      9      359      0      0 2019-09-16 19:15:05 UTC+0000                                 
0xfffffa80326be500 svchost.exe             780    560      7      224      0      0 2019-09-16 19:17:39 UTC+0000                                 
0xfffffa80326d5b10 svchost.exe             896    560     21      491      0      0 2019-09-16 19:18:07 UTC+0000                                 
0xfffffa803271ab10 svchost.exe             944    560     15      320      0      0 2019-09-16 19:18:18 UTC+0000                                 
0xfffffa80326cf6b0 svchost.exe             968    560     15      587      0      0 2019-09-16 19:18:18 UTC+0000                                 
0xfffffa803272db10 svchost.exe             992    560     29      914      0      0 2019-09-16 19:18:18 UTC+0000                                 
0xfffffa8032751060 svchost.exe             324    560      4      173      0      0 2019-09-16 19:18:34 UTC+0000                                 
0xfffffa8032742b10 LogonUI.exe             424    472      8      197      1      0 2019-09-16 19:18:44 UTC+0000                                 
0xfffffa80327d7b10 svchost.exe             212    560     24      645      0      0 2019-09-16 19:18:54 UTC+0000                                 
0xfffffa80328483d0 spoolsv.exe            1136    560     13      310      0      0 2019-09-16 19:19:23 UTC+0000                                 
0xfffffa8032853360 svchost.exe            1168    560     17      316      0      0 2019-09-16 19:19:26 UTC+0000                                 
0xfffffa80328afb10 svchost.exe            1312    560     10      154      0      0 2019-09-16 19:19:41 UTC+0000                                 
0xfffffa803259fb10 taskeng.exe            1608    992      4       94      0      0 2019-09-16 19:21:45 UTC+0000                                 
0xfffffa8032a01660 vmtoolsd.exe           1188    560      9      299      0      0 2019-09-16 19:23:56 UTC+0000                                 
0xfffffa8032b7f600 svchost.exe            1280    560     14      408      0      0 2019-09-16 19:26:14 UTC+0000                                 
0xfffffa8032b7c500 svchost.exe             364    560      5      103      0      0 2019-09-16 19:26:29 UTC+0000                                 
0xfffffa8032aa6b10 dllhost.exe            1408    560     13      197      0      0 2019-09-16 19:26:59 UTC+0000                                 
0xfffffa8032bd2b10 msdtc.exe              2336    560     12      148      0      0 2019-09-16 19:27:36 UTC+0000                                 
0xfffffa803293db10 prunsrv.exe            2788    560      8       63      0      0 2019-09-16 19:29:00 UTC+0000                                 
0xfffffa8032912b10 conhost.exe            2820    368      2       34      0      0 2019-09-16 19:29:13 UTC+0000                                 
0xfffffa8032a66b10 GoogleUpdate.e         2884   2592      5      131      0      1 2019-09-16 19:29:22 UTC+0000                                 
0xfffffa8032aecb10 java.exe               3008   2788     32      411      0      1 2019-09-16 19:29:30 UTC+0000                                 
0xfffffa8032b547a0 WmiPrvSE.exe           2420    680      9      311      0      0 2019-09-16 19:33:11 UTC+0000                                 
0xfffffa80314b1b10 wsmprovhost.ex         3408    680     11      605      0      0 2019-09-18 17:15:03 UTC+0000                                 
0xfffffa8032f9b240 HOSTNAME.EXE           3264   3408      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:04 UTC+0000  
0xfffffa8031579060 systeminfo.exe         1748   3408      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:50 UTC+0000  
0xfffffa8031564a50 DumpIt.exe             3188   3408      3      100      0      0 2019-09-18 17:15:51 UTC+0000                                 
0xfffffa8033481b10 conhost.exe             872    368      2       34      0      0 2019-09-18 17:15:51 UTC+0000                                 
