Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     92      774 ------      0 2019-09-16 18:59:43 UTC+0000                                 
0xfffffa8031fdab10 smss.exe                256      4      2       30 ------      0 2019-09-16 18:59:44 UTC+0000                                 
0xfffffa80324406e0 csrss.exe               344    336     11      625      0      0 2019-09-16 18:59:55 UTC+0000                                 
0xfffffa8031ea37a0 wininit.exe             396    336      3       77      0      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa8032540b10 csrss.exe               416    388      9       79      1      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa8031ee9700 winlogon.exe            464    388      4       94      1      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa803253ab10 services.exe            484    396      7      240      0      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa80325c0060 lsass.exe               516    396      8      638      0      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa8032530b10 lsm.exe                 524    396     10      186      0      0 2019-09-16 18:59:56 UTC+0000                                 
0xfffffa8030f0a060 svchost.exe             616    484      9      358      0      0 2019-09-16 18:59:59 UTC+0000                                 
0xfffffa803253cb10 svchost.exe             696    484      6      244      0      0 2019-09-16 19:00:04 UTC+0000                                 
0xfffffa80328afb10 LogonUI.exe             776    464      8      195      1      0 2019-09-16 19:00:05 UTC+0000                                 
0xfffffa80328bfb10 svchost.exe             792    484     20      528      0      0 2019-09-16 19:00:05 UTC+0000                                 
0xfffffa80328e5b10 svchost.exe             832    484     15      323      0      0 2019-09-16 19:00:07 UTC+0000                                 
0xfffffa80328f7460 svchost.exe             856    484     16      571      0      0 2019-09-16 19:00:07 UTC+0000                                 
0xfffffa8032908b10 svchost.exe             880    484     26      906      0      0 2019-09-16 19:00:07 UTC+0000                                 
0xfffffa80329237a0 svchost.exe             948    484      4      173      0      0 2019-09-16 19:00:09 UTC+0000                                 
0xfffffa8032988b10 svchost.exe             392    484     24      671      0      0 2019-09-16 19:00:13 UTC+0000                                 
0xfffffa8031f40210 spoolsv.exe            1072    484     13      309      0      0 2019-09-16 19:00:22 UTC+0000                                 
0xfffffa8032992b10 svchost.exe            1104    484     19      317      0      0 2019-09-16 19:00:23 UTC+0000                                 
0xfffffa8032a80b10 svchost.exe            1244    484     10      167      0      0 2019-09-16 19:00:30 UTC+0000                                 
0xfffffa8032b0cb10 esensor.exe            1276    484     47      664      0      0 2019-09-16 19:00:30 UTC+0000                                 
0xfffffa8030ff8600 prunsrv.exe            1412    484      8       63      0      0 2019-09-16 19:00:38 UTC+0000                                 
0xfffffa8031007060 conhost.exe            1420    344      2       35      0      0 2019-09-16 19:00:39 UTC+0000                                 
0xfffffa80310773b0 java.exe               1484   1412     32      412      0      1 2019-09-16 19:00:41 UTC+0000                                 
0xfffffa803104d600 taskeng.exe            1532    880      5       99      0      0 2019-09-16 19:01:00 UTC+0000                                 
0xfffffa8032c56b10 ruby.exe               1772    484     10      114      0      0 2019-09-16 19:01:12 UTC+0000                                 
0xfffffa8032c5cb10 VGAuthService.         1848    484      3       89      0      0 2019-09-16 19:01:19 UTC+0000                                 
0xfffffa8032df67a0 vmtoolsd.exe           1916    484     10      298      0      0 2019-09-16 19:01:22 UTC+0000                                 
0xfffffa8032e21580 winlogbeat.exe         1968    484     19      177      0      0 2019-09-16 19:01:26 UTC+0000                                 
0xfffffa80327acb10 svchost.exe             492    484      5      101      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032ae2b10 svchost.exe            2052    484     14      383      0      0 2019-09-16 19:01:45 UTC+0000                                 
0xfffffa8032818b10 dllhost.exe            2208    484     13      201      0      0 2019-09-16 19:01:46 UTC+0000                                 
0xfffffa8032998b10 msdtc.exe              2340    484     12      145      0      0 2019-09-16 19:01:48 UTC+0000                                 
0xfffffa80310ed5a0 WmiPrvSE.exe            988    616      7      316      0      0 2019-09-16 19:02:33 UTC+0000                                 
0xfffffa80311edb10 GoogleUpdate.e         1592    288      5      134      0      1 2019-09-16 19:03:58 UTC+0000                                 
0xfffffa803326d060 sc.exe                 3400   1480      0 --------      0      0 2019-09-17 15:11:12 UTC+0000   2019-09-17 15:11:12 UTC+0000  
0xfffffa8032fdeb10 rubyw.exe              3240    484     12      186      0      0 2019-09-17 21:35:05 UTC+0000                                 
0xfffffa8033788b10 wsmprovhost.ex         1464    616     11      589      0      0 2019-09-18 17:15:03 UTC+0000                                 
0xfffffa80333b97f0 HOSTNAME.EXE           1720   1464      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:04 UTC+0000  
0xfffffa80334f68c0 systeminfo.exe          596   1464      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:21 UTC+0000  
0xfffffa8031150170 DumpIt.exe             2988   1464      3      100      0      0 2019-09-18 17:15:21 UTC+0000                                 
0xfffffa80335c12f0 conhost.exe            2004    344      2       33      0      0 2019-09-18 17:15:21 UTC+0000                                 
