Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     88      686 ------      0 2019-09-16 18:39:48 UTC+0000                                 
0xfffffa8031f04040 smss.exe                244      4      2       30 ------      0 2019-09-16 18:39:49 UTC+0000                                 
0xfffffa8032119060 csrss.exe               340    332     10      540      0      0 2019-09-16 18:40:56 UTC+0000                                 
0xfffffa8032154570 csrss.exe               392    384      9       79      1      0 2019-09-16 18:41:05 UTC+0000                                 
0xfffffa80321cf060 wininit.exe             400    332      3       77      0      0 2019-09-16 18:41:05 UTC+0000                                 
0xfffffa803230d4e0 winlogon.exe            448    384      4       95      1      0 2019-09-16 18:41:06 UTC+0000                                 
0xfffffa8032333b10 services.exe            496    400      7      232      0      0 2019-09-16 18:41:08 UTC+0000                                 
0xfffffa8032344b10 lsass.exe               504    400      7      662      0      0 2019-09-16 18:41:10 UTC+0000                                 
0xfffffa803235ab10 lsm.exe                 516    400      9      187      0      0 2019-09-16 18:41:10 UTC+0000                                 
0xfffffa8032379b10 svchost.exe             620    496      9      356      0      0 2019-09-16 18:41:40 UTC+0000                                 
0xfffffa803249c2b0 svchost.exe             696    496      5      205      0      0 2019-09-16 18:41:41 UTC+0000                                 
0xfffffa80324beb10 svchost.exe             744    496     22      525      0      0 2019-09-16 18:41:41 UTC+0000                                 
0xfffffa80324f8270 svchost.exe             844    496     15      317      0      0 2019-09-16 18:41:41 UTC+0000                                 
0xfffffa80324d7b10 svchost.exe             868    496     14      320      0      0 2019-09-16 18:41:41 UTC+0000                                 
0xfffffa8032501b10 svchost.exe             900    496     25      882      0      0 2019-09-16 18:41:41 UTC+0000                                 
0xfffffa803243e8f0 svchost.exe             960    496      4      174      0      0 2019-09-16 18:41:43 UTC+0000                                 
0xfffffa8032549b10 LogonUI.exe             564    448      8      190      1      0 2019-09-16 18:42:43 UTC+0000                                 
0xfffffa80325916c0 svchost.exe             788    496     25      659      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xfffffa80326135e0 spoolsv.exe            1064    496     13      307      0      0 2019-09-16 18:42:51 UTC+0000                                 
0xfffffa803262d2d0 svchost.exe            1096    496     18      314      0      0 2019-09-16 18:42:51 UTC+0000                                 
0xfffffa80325d7b10 svchost.exe            1240    496     10      169      0      0 2019-09-16 18:42:56 UTC+0000                                 
0xfffffa80326d8830 esensor.exe            1272    496     47      674      0      0 2019-09-16 18:42:57 UTC+0000                                 
0xfffffa80326e2b10 taskeng.exe            1304    900      4       98      0      0 2019-09-16 18:43:00 UTC+0000                                 
0xfffffa803275eb10 prunsrv.exe            1436    496      8       65      0      0 2019-09-16 18:43:07 UTC+0000                                 
0xfffffa80325afb10 conhost.exe            1492    340      2       35      0      0 2019-09-16 18:43:09 UTC+0000                                 
0xfffffa803281bb10 java.exe               1568   1436     32      411      0      1 2019-09-16 18:43:14 UTC+0000                                 
0xfffffa8032a69b10 TaniumClient.e         1960    496     16      210      0      1 2019-09-16 18:44:28 UTC+0000                                 
0xfffffa8032a9d6d0 winlogbeat.exe         1116    496     18      170      0      0 2019-09-16 18:44:31 UTC+0000                                 
0xfffffa8032b37060 svchost.exe            1804    496      5      101      0      0 2019-09-16 18:45:08 UTC+0000                                 
0xfffffa80327f2830 svchost.exe            2100    496     14      416      0      0 2019-09-16 18:45:12 UTC+0000                                 
0xfffffa8031014250 GoogleUpdate.e         3000   2908      5      135      0      1 2019-09-16 18:47:30 UTC+0000                                 
0xfffffa80310c1060 sc.exe                 1812   2896      0 --------      0      0 2019-09-17 15:10:50 UTC+0000   2019-09-17 15:10:50 UTC+0000  
0xfffffa80310f2b10 sc.exe                 2436   2896      0 --------      0      0 2019-09-17 15:10:51 UTC+0000   2019-09-17 15:10:51 UTC+0000  
0xfffffa80311b8060 sc.exe                 1956   2896      0 --------      0      0 2019-09-17 15:10:51 UTC+0000   2019-09-17 15:10:51 UTC+0000  
0xfffffa80310ac060 TaniumClient.e         3344   1960      6      194      0      1 2019-09-18 13:34:04 UTC+0000                                 
0xfffffa80311a7060 conhost.exe            2548    340      2       32      0      0 2019-09-18 13:34:04 UTC+0000                                 
0xfffffa80315a3430 WmiPrvSE.exe           3068    620      6      268      0      0 2019-09-18 17:14:13 UTC+0000                                 
0xfffffa80315613f0 wsmprovhost.ex         2656    620     11      615      0      0 2019-09-18 17:15:04 UTC+0000                                 
0xfffffa8031600060 HOSTNAME.EXE           3432   2656      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:05 UTC+0000  
0xfffffa803160b060 systeminfo.exe         3552   2656      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:18 UTC+0000  
0xfffffa80316c5b10 DumpIt.exe             3028   2656      3       99      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa8031621900 conhost.exe            2016    340      2       33      0      0 2019-09-18 17:15:18 UTC+0000                                 
