Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     89      709 ------      0 2019-09-16 18:42:03 UTC+0000                                 
0xfffffa8031f202f0 smss.exe                248      4      2       30 ------      0 2019-09-16 18:42:03 UTC+0000                                 
0xfffffa8031003720 csrss.exe               352    340     10      584      0      0 2019-09-16 18:42:55 UTC+0000                                 
0xfffffa803247b8f0 wininit.exe             404    340      3       78      0      0 2019-09-16 18:43:02 UTC+0000                                 
0xfffffa80321ac5f0 csrss.exe               420    396     11      203      1      0 2019-09-16 18:43:02 UTC+0000                                 
0xfffffa80320ebb10 winlogon.exe            452    396      3      121      1      0 2019-09-16 18:43:02 UTC+0000                                 
0xfffffa80324c9b10 services.exe            508    404     10      252      0      0 2019-09-16 18:43:04 UTC+0000                                 
0xfffffa80324c84b0 lsass.exe               516    404      8      692      0      0 2019-09-16 18:43:06 UTC+0000                                 
0xfffffa80323fd1d0 lsm.exe                 524    404      9      197      0      0 2019-09-16 18:43:06 UTC+0000                                 
0xfffffa8031a8e210 svchost.exe             620    508      9      357      0      0 2019-09-16 18:43:15 UTC+0000                                 
0xfffffa80322e5530 svchost.exe             700    508      6      265      0      0 2019-09-16 18:43:23 UTC+0000                                 
0xfffffa8030f58900 svchost.exe             768    508     20      524      0      0 2019-09-16 18:43:23 UTC+0000                                 
0xfffffa8032321b10 svchost.exe             836    508     17      429      0      0 2019-09-16 18:43:25 UTC+0000                                 
0xfffffa8032350b10 svchost.exe             860    508     14      633      0      0 2019-09-16 18:43:25 UTC+0000                                 
0xfffffa8032361b10 svchost.exe             884    508     33      999      0      0 2019-09-16 18:43:25 UTC+0000                                 
0xfffffa8032364b10 svchost.exe             968    508      5      210      0      0 2019-09-16 18:43:26 UTC+0000                                 
0xfffffa8032583400 svchost.exe             356    508     25      666      0      0 2019-09-16 18:43:29 UTC+0000                                 
0xfffffa80323323d0 spoolsv.exe            1076    508     13      312      0      0 2019-09-16 18:43:42 UTC+0000                                 
0xfffffa8030ffbb10 svchost.exe            1108    508     18      322      0      0 2019-09-16 18:43:44 UTC+0000                                 
0xfffffa80325edb10 svchost.exe            1240    508     10      165      0      0 2019-09-16 18:43:48 UTC+0000                                 
0xfffffa803261c2b0 esensor.exe            1288    508     47      669      0      0 2019-09-16 18:43:54 UTC+0000                                 
0xfffffa80325b8790 prunsrv.exe            1316    508      8       65      0      0 2019-09-16 18:43:57 UTC+0000                                 
0xfffffa80326547c0 conhost.exe            1340    352      2       35      0      0 2019-09-16 18:44:00 UTC+0000                                 
0xfffffa80326a4800 java.exe               1428   1316     32      412      0      1 2019-09-16 18:44:15 UTC+0000                                 
0xfffffa8032923b10 VGAuthService.         1808    508      3       90      0      0 2019-09-16 18:45:05 UTC+0000                                 
0xfffffa8032bf0270 taskhost.exe           1948    508      8      188      1      0 2019-09-16 18:45:11 UTC+0000                                 
0xfffffa8032971060 GoogleUpdate.e         1992   1500      5      130      0      1 2019-09-16 18:45:11 UTC+0000                                 
0xfffffa80328db060 dwm.exe                1756    836      5      125      1      0 2019-09-16 18:45:30 UTC+0000                                 
0xfffffa803296d220 explorer.exe           1764    828     20      638      1      0 2019-09-16 18:45:31 UTC+0000                                 
0xfffffa8032bc1630 vmtoolsd.exe           1152    508     10      299      0      0 2019-09-16 18:45:32 UTC+0000                                 
0xfffffa8032c134b0 svchost.exe            2072    508      5      101      0      0 2019-09-16 18:46:09 UTC+0000                                 
0xfffffa8032670b10 vmtoolsd.exe           2172   1764      7      146      1      0 2019-09-16 18:46:10 UTC+0000                                 
0xfffffa803126db10 dllhost.exe            1464    508     13      199      0      0 2019-09-16 18:48:07 UTC+0000                                 
0xfffffa8031199900 msdtc.exe              2720    508     12      146      0      0 2019-09-16 18:48:10 UTC+0000                                 
0xfffffa80313e0b10 svchost.exe            2992    508      7      123      0      0 2019-09-16 18:48:22 UTC+0000                                 
0xfffffa8031301830 svchost.exe            1580    508     14      401      0      0 2019-09-16 18:48:32 UTC+0000                                 
0xfffffa80310afb10 WmiPrvSE.exe           4052    620      9      306      0      0 2019-09-16 18:52:37 UTC+0000                                 
0xfffffa8032f7fb10 taskeng.exe            3276    884      6      100      0      0 2019-09-16 19:31:23 UTC+0000                                 
0xfffffa803357c4c0 conhost.exe            1456    352      0 --------      0      0 2019-09-17 19:54:27 UTC+0000   2019-09-17 19:54:27 UTC+0000  
0xfffffa8031e4d060 wsmprovhost.ex         3484    620     11      592      0      0 2019-09-18 17:15:04 UTC+0000                                 
0xfffffa803179f060 HOSTNAME.EXE           4272   3484      0 --------      0      0 2019-09-18 17:15:04 UTC+0000   2019-09-18 17:15:05 UTC+0000  
0xfffffa8031617060 systeminfo.exe         3840   3484      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:18 UTC+0000  
0xfffffa8031e91060 DumpIt.exe             3932   3484      3       96      0      0 2019-09-18 17:15:18 UTC+0000                                 
0xfffffa8032639b10 conhost.exe            3108    352      2       34      0      0 2019-09-18 17:15:19 UTC+0000                                 
