Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0     90      672 ------      0 2019-09-16 18:46:12 UTC+0000                                 
0xfffffa8031ddf2f0 smss.exe                244      4      2       30 ------      0 2019-09-16 18:46:12 UTC+0000                                 
0xfffffa8031a62b10 csrss.exe               344    316     10      571      0      0 2019-09-16 18:47:15 UTC+0000                                 
0xfffffa8030f59b10 wininit.exe             400    316      3       79      0      0 2019-09-16 18:47:30 UTC+0000                                 
0xfffffa80321bf500 csrss.exe               408    392      9       80      1      0 2019-09-16 18:47:31 UTC+0000                                 
0xfffffa80323bc060 winlogon.exe            456    392      4       96      1      0 2019-09-16 18:47:33 UTC+0000                                 
0xfffffa80323e7060 services.exe            480    400     10      238      0      0 2019-09-16 18:47:35 UTC+0000                                 
0xfffffa8031ba9510 lsass.exe               520    400      8      637      0      0 2019-09-16 18:47:46 UTC+0000                                 
0xfffffa80324224d0 lsm.exe                 528    400      9      187      0      0 2019-09-16 18:47:46 UTC+0000                                 
0xfffffa8032460b10 svchost.exe             624    480     10      358      0      0 2019-09-16 18:47:52 UTC+0000                                 
0xfffffa8032480060 svchost.exe             700    480      6      224      0      0 2019-09-16 18:47:54 UTC+0000                                 
0xfffffa80324bc920 svchost.exe             776    480     20      493      0      0 2019-09-16 18:47:54 UTC+0000                                 
0xfffffa80320ed950 LogonUI.exe             784    456      8      198      1      0 2019-09-16 18:47:54 UTC+0000                                 
0xfffffa80324cbb10 svchost.exe             844    480     15      317      0      0 2019-09-16 18:47:54 UTC+0000                                 
0xfffffa8032509530 svchost.exe             876    480     14      565      0      0 2019-09-16 18:47:55 UTC+0000                                 
0xfffffa803250bb10 svchost.exe             908    480     26      913      0      0 2019-09-16 18:47:55 UTC+0000                                 
0xfffffa803218c940 svchost.exe             956    480      4      171      0      0 2019-09-16 18:47:55 UTC+0000                                 
0xfffffa8032574060 svchost.exe             396    480     24      652      0      0 2019-09-16 18:47:59 UTC+0000                                 
0xfffffa80325b2b10 spoolsv.exe            1100    480     13      307      0      0 2019-09-16 18:48:02 UTC+0000                                 
0xfffffa80325bb2d0 svchost.exe            1128    480     19      315      0      0 2019-09-16 18:48:02 UTC+0000                                 
0xfffffa8032637380 svchost.exe            1264    480     10      164      0      0 2019-09-16 18:48:03 UTC+0000                                 
0xfffffa8032606b10 esensor.exe            1304    480     47      666      0      0 2019-09-16 18:48:05 UTC+0000                                 
0xfffffa8032654b10 prunsrv.exe            1336    480      8       63      0      0 2019-09-16 18:48:08 UTC+0000                                 
0xfffffa803101b680 conhost.exe            1412    344      2       35      0      0 2019-09-16 18:48:18 UTC+0000                                 
0xfffffa8031032060 java.exe               1468   1336     32      411      0      1 2019-09-16 18:48:26 UTC+0000                                 
0xfffffa80328b56d0 taskeng.exe            1640    908      5       98      0      0 2019-09-16 18:49:18 UTC+0000                                 
0xfffffa80326d7a70 vmtoolsd.exe           1920    480      9      297      0      0 2019-09-16 18:50:13 UTC+0000                                 
0xfffffa8031f2a830 svchost.exe            1700    480      5      101      0      0 2019-09-16 18:51:21 UTC+0000                                 
0xfffffa803266db10 svchost.exe            1220    480     14      393      0      0 2019-09-16 18:51:26 UTC+0000                                 
0xfffffa8032442060 dllhost.exe            2440    480     13      197      0      0 2019-09-16 18:52:55 UTC+0000                                 
0xfffffa8032afe830 msdtc.exe              2628    480     12      147      0      0 2019-09-16 18:53:01 UTC+0000                                 
0xfffffa8032b46b10 WmiPrvSE.exe           2836    624      8      305      0      0 2019-09-16 18:53:18 UTC+0000                                 
0xfffffa8032c17060 GoogleUpdate.e         1744   3004      5      130      0      1 2019-09-16 18:54:05 UTC+0000                                 
0xfffffa80314ac6e0 wsmprovhost.ex         1084    624     11      594      0      0 2019-09-18 17:15:05 UTC+0000                                 
0xfffffa803146e060 HOSTNAME.EXE           2316   1084      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:06 UTC+0000  
0xfffffa803155cb10 systeminfo.exe         3220   1084      0 --------      0      0 2019-09-18 17:15:06 UTC+0000   2019-09-18 17:15:29 UTC+0000  
0xfffffa80316157b0 DumpIt.exe             3896   1084      3      100      0      0 2019-09-18 17:15:29 UTC+0000                                 
0xfffffa803156c590 conhost.exe            2324    344      2       33      0      0 2019-09-18 17:15:30 UTC+0000                                 
