Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0     89      705 ------      0 2019-09-16 18:39:01 UTC+0000                                 
0xfffffa8031f4d7f0 smss.exe                244      4      2       30 ------      0 2019-09-16 18:39:04 UTC+0000                                 
0xfffffa80325e3370 csrss.exe               344    336     10      597      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xfffffa80325279c0 wininit.exe             396    336      3       79      0      0 2019-09-16 18:39:22 UTC+0000                                 
0xfffffa8032535b10 csrss.exe               416    388     10      185      1      0 2019-09-16 18:39:22 UTC+0000                                 
0xfffffa80328b2b10 winlogon.exe            456    388      3      120      1      0 2019-09-16 18:39:23 UTC+0000                                 
0xfffffa8032479b10 services.exe            504    396      7      239      0      0 2019-09-16 18:39:23 UTC+0000                                 
0xfffffa8030ed5920 lsass.exe               512    396      8      679      0      0 2019-09-16 18:39:23 UTC+0000                                 
0xfffffa80328ceb10 lsm.exe                 524    396      9      194      0      0 2019-09-16 18:39:23 UTC+0000                                 
0xfffffa80329328f0 svchost.exe             616    504      9      358      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa803295e940 svchost.exe             692    504      7      265      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa80326d0b10 svchost.exe             772    504     20      548      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa80326e9b10 svchost.exe             848    504     16      433      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa8032719b10 svchost.exe             872    504     13      594      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa8032729b10 svchost.exe             896    504     28      969      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xfffffa8032732b10 svchost.exe             960    504      5      196      0      0 2019-09-16 18:39:25 UTC+0000                                 
0xfffffa80329a2b10 svchost.exe             576    504     25      674      0      0 2019-09-16 18:39:25 UTC+0000                                 
0xfffffa8032605b10 spoolsv.exe            1040    504     13      312      0      0 2019-09-16 18:39:25 UTC+0000                                 
0xfffffa80329f2060 svchost.exe            1068    504     17      325      0      0 2019-09-16 18:39:25 UTC+0000                                 
0xfffffa8032a7a4a0 svchost.exe            1188    504     10      166      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8032ab73f0 esensor.exe            1244    504     47      677      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xfffffa8032afc370 prunsrv.exe            1356    504      8       63      0      0 2019-09-16 18:39:29 UTC+0000                                 
0xfffffa8032008060 conhost.exe            1368    344      2       34      0      0 2019-09-16 18:39:29 UTC+0000                                 
0xfffffa8032b58060 java.exe               1412   1356     34      429      0      1 2019-09-16 18:39:30 UTC+0000                                 
0xfffffa80324756c0 taskeng.exe            1484    896      6      104      0      0 2019-09-16 18:40:00 UTC+0000                                 
0xfffffa8032d14b10 VGAuthService.         1788    504      3       89      0      0 2019-09-16 18:40:36 UTC+0000                                 
0xfffffa8031083b10 vmtoolsd.exe           1868    504     10      298      0      0 2019-09-16 18:40:53 UTC+0000                                 
0xfffffa8031092b10 winlogbeat.exe         1932    504     18      177      0      0 2019-09-16 18:41:00 UTC+0000                                 
0xfffffa8032b79b10 svchost.exe            1948    504      5      101      0      0 2019-09-16 18:41:33 UTC+0000                                 
0xfffffa8032cef6b0 svchost.exe            2124    504     14      408      0      0 2019-09-16 18:41:36 UTC+0000                                 
0xfffffa80311253f0 taskhost.exe           2408    504      8      188      1      0 2019-09-16 18:41:53 UTC+0000                                 
0xfffffa803113cb10 GoogleUpdate.e         2556   1484      5      133      0      1 2019-09-16 18:41:54 UTC+0000                                 
0xfffffa8031129b10 dwm.exe                2816    848      5      125      1      0 2019-09-16 18:42:12 UTC+0000                                 
0xfffffa80311ecb10 explorer.exe           2852   2792     20      628      1      0 2019-09-16 18:42:12 UTC+0000                                 
0xfffffa80311b4900 dllhost.exe            2936    504     13      199      0      0 2019-09-16 18:42:16 UTC+0000                                 
0xfffffa8031299060 msdtc.exe              3020    504     12      146      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xfffffa8031285b10 vmtoolsd.exe           2312   2852      7      146      1      0 2019-09-16 18:42:25 UTC+0000                                 
0xfffffa803116c770 WmiPrvSE.exe           1528    616      8      307      0      0 2019-09-16 18:42:57 UTC+0000                                 
0xfffffa80332eb060 sc.exe                 2328   1212      0 --------      0      0 2019-09-17 19:53:43 UTC+0000   2019-09-17 19:53:43 UTC+0000  
0xfffffa80323f5060 wsmprovhost.ex         3056    616     11      589      0      0 2019-09-18 17:15:05 UTC+0000                                 
0xfffffa80328d7b10 HOSTNAME.EXE           3352   3056      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:05 UTC+0000  
0xfffffa8032e9a060 systeminfo.exe         4044   3056      0 --------      0      0 2019-09-18 17:15:06 UTC+0000   2019-09-18 17:15:19 UTC+0000  
0xfffffa8032e31b10 DumpIt.exe             3692   3056      3      103      0      0 2019-09-18 17:15:19 UTC+0000                                 
0xfffffa8032f12b10 conhost.exe            1324    344      2       33      0      0 2019-09-18 17:15:19 UTC+0000                                 
