Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec7820 System                    4      0     89      705 ------      0 2019-09-16 18:51:49 UTC+0000                                 
0xfffffa8031fab890 smss.exe                244      4      3       30 ------      0 2019-09-16 18:51:55 UTC+0000                                 
0xfffffa8031f56b10 csrss.exe               348    336     10      562      0      0 2019-09-16 18:56:34 UTC+0000                                 
0xfffffa8031fe1b10 wininit.exe             420    336      3       75      0      0 2019-09-16 18:59:02 UTC+0000                                 
0xfffffa8031c08370 services.exe            516    420      6      246      0      0 2019-09-16 19:00:45 UTC+0000                                 
0xfffffa8031036720 lsass.exe               524    420      8      687      0      0 2019-09-16 19:00:57 UTC+0000                                 
0xfffffa8031030b10 lsm.exe                 532    420      9      205      0      0 2019-09-16 19:01:01 UTC+0000                                 
0xfffffa8031e8bb10 svchost.exe             668    516      9      355      0      0 2019-09-16 19:07:52 UTC+0000                                 
0xfffffa8031efeb10 svchost.exe             916    516      7      257      0      0 2019-09-16 19:30:44 UTC+0000                                 
0xfffffa8032114280 svchost.exe             296    516     20      525      0      0 2019-09-16 19:32:11 UTC+0000                                 
0xfffffa80320b5b10 svchost.exe             356    516     16      429      0      0 2019-09-16 19:32:31 UTC+0000                                 
0xfffffa803211db10 svchost.exe             336    516     13      597      0      0 2019-09-16 19:32:31 UTC+0000                                 
0xfffffa8032120b10 svchost.exe             512    516     31      957      0      0 2019-09-16 19:32:31 UTC+0000                                 
0xfffffa8032199b10 svchost.exe             768    516      5      194      0      0 2019-09-16 19:33:02 UTC+0000                                 
0xfffffa8032370210 svchost.exe             488    516     24      657      0      0 2019-09-16 19:33:31 UTC+0000                                 
0xfffffa8031077060 spoolsv.exe            1116    516     13      313      0      0 2019-09-16 19:34:26 UTC+0000                                 
0xfffffa803108fb10 svchost.exe            1156    516     19      322      0      0 2019-09-16 19:34:38 UTC+0000                                 
0xfffffa8032444b10 svchost.exe            1300    516     10      176      0      0 2019-09-16 19:35:03 UTC+0000                                 
0xfffffa8032437b10 esensor.exe            1344    516     47      660      0      0 2019-09-16 19:35:20 UTC+0000                                 
0xfffffa8032701b10 svchost.exe            1164    516      5      100      0      0 2019-09-16 19:40:52 UTC+0000                                 
0xfffffa80328516c0 taskeng.exe            1872    512      6      109      0      0 2019-09-16 19:42:05 UTC+0000                                 
0xfffffa8032bb5060 vmtoolsd.exe            756    516     10      297      0      0 2019-09-16 19:43:28 UTC+0000                                 
0xfffffa8032adc060 prunsrv.exe            1044    516      8       65      0      0 2019-09-16 19:45:09 UTC+0000                                 
0xfffffa8032aa8b10 conhost.exe            1200    348      2       35      0      0 2019-09-16 19:45:24 UTC+0000                                 
0xfffffa8032ac1600 svchost.exe            1232    516     14      389      0      0 2019-09-16 19:45:34 UTC+0000                                 
0xfffffa80324d6b10 java.exe               1312   1044     34      426      0      1 2019-09-16 19:45:46 UTC+0000                                 
0xfffffa8031dbbb10 dllhost.exe            1912    516     13      198      0      0 2019-09-16 19:45:46 UTC+0000                                 
0xfffffa8032b65390 msdtc.exe              2012    516     12      148      0      0 2019-09-16 19:45:54 UTC+0000                                 
0xfffffa8032c24b10 WmiPrvSE.exe           2124    668      9      292      0      0 2019-09-16 19:46:43 UTC+0000                                 
0xfffffa8032a1fb10 GoogleUpdate.e         2644   1872      5      130      0      1 2019-09-16 19:55:32 UTC+0000                                 
0xfffffa803217b060 csrss.exe              1444   2848     10      174      2      0 2019-09-16 19:57:39 UTC+0000                                 
0xfffffa8032d0c620 winlogon.exe           2744   2848      3      123      2      0 2019-09-16 19:57:41 UTC+0000                                 
0xfffffa8032a3d060 taskhost.exe           2260    516      8      178      2      0 2019-09-16 19:57:51 UTC+0000                                 
0xfffffa80326b8b10 dwm.exe                2016    356      5      124      2      0 2019-09-16 19:57:52 UTC+0000                                 
0xfffffa803233d060 explorer.exe           2040   2536     19      620      2      0 2019-09-16 19:57:52 UTC+0000                                 
0xfffffa8032938060 vmtoolsd.exe           2356   2040      7      147      2      0 2019-09-16 19:58:26 UTC+0000                                 
0xfffffa8031885060 wsmprovhost.ex         1532    668     11      617      0      0 2019-09-18 17:15:05 UTC+0000                                 
0xfffffa80315d6b10 HOSTNAME.EXE           3000   1532      0 --------      0      0 2019-09-18 17:15:05 UTC+0000   2019-09-18 17:15:05 UTC+0000  
0xfffffa8031756b10 systeminfo.exe          500   1532      0 --------      0      0 2019-09-18 17:15:06 UTC+0000   2019-09-18 17:15:20 UTC+0000  
0xfffffa8031855060 DumpIt.exe             2172   1532      3       96      0      0 2019-09-18 17:15:20 UTC+0000                                 
0xfffffa80330f2b10 conhost.exe            1736    348      2       33      0      0 2019-09-18 17:15:20 UTC+0000                                 
