Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9820 System                    4      0     96      746 ------      0 2019-08-28 12:11:00 UTC+0000                                 
0xfffffa8031db1990 smss.exe                240      4      3       33 ------      0 2019-08-28 12:11:01 UTC+0000                                 
0xfffffa803259a140 csrss.exe               344    316     10      678      0      0 2019-08-28 12:11:59 UTC+0000                                 
0xfffffa80328e1b10 wininit.exe             428    316      3       79      0      0 2019-08-28 12:12:34 UTC+0000                                 
0xfffffa803293a5d0 services.exe            500    428      9      271      0      0 2019-08-28 12:12:42 UTC+0000                                 
0xfffffa8032937480 lsass.exe               508    428      9      981      0      0 2019-08-28 12:12:44 UTC+0000                                 
0xfffffa803294bb10 lsm.exe                 520    428     13      238      0      0 2019-08-28 12:12:44 UTC+0000                                 
0xfffffa80323edb10 svchost.exe             628    500     11      377      0      0 2019-08-28 12:12:48 UTC+0000                                 
0xfffffa803241fb10 svchost.exe             704    500      8      306      0      0 2019-08-28 12:12:48 UTC+0000                                 
0xfffffa803245c1d0 svchost.exe             756    500     22      597      0      0 2019-08-28 12:12:48 UTC+0000                                 
0xfffffa8032488b10 svchost.exe             844    500     16      452      0      0 2019-08-28 12:12:55 UTC+0000                                 
0xfffffa8032956b10 svchost.exe             884    500     17      705      0      0 2019-08-28 12:12:56 UTC+0000                                 
0xfffffa8032969b10 svchost.exe             916    500     36     1117      0      0 2019-08-28 12:12:56 UTC+0000                                 
0xfffffa8032997b10 svchost.exe             972    500      5      198      0      0 2019-08-28 12:12:56 UTC+0000                                 
0xfffffa803297fb10 svchost.exe             288    500     27      714      0      0 2019-08-28 12:13:10 UTC+0000                                 
0xfffffa8032a4ab10 spoolsv.exe            1088    500     13      319      0      0 2019-08-28 12:13:11 UTC+0000                                 
0xfffffa8032a60b10 taskeng.exe            1096    916      5       96      0      0 2019-08-28 12:13:11 UTC+0000                                 
0xfffffa8032a1fb10 svchost.exe            1124    500     17      322      0      0 2019-08-28 12:13:12 UTC+0000                                 
0xfffffa8032af5490 svchost.exe            1256    500     10      161      0      0 2019-08-28 12:13:15 UTC+0000                                 
0xfffffa8032b23890 esensor.exe            1312    500     47      724      0      0 2019-08-28 12:13:17 UTC+0000                                 
0xfffffa8032b94b10 prunsrv.exe            1440    500      8       65      0      0 2019-08-28 12:13:27 UTC+0000                                 
0xfffffa8032b9c8f0 conhost.exe            1476    344      2       35      0      0 2019-08-28 12:13:33 UTC+0000                                 
0xfffffa8032499b10 java.exe               1532   1440     30      427      0      1 2019-08-28 12:13:40 UTC+0000                                 
0xfffffa8031058b10 VGAuthService.         1984    500      3       91      0      0 2019-08-28 12:15:05 UTC+0000                                 
