Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     93      741 ------      0 2019-08-28 12:13:07 UTC+0000                                 
0xfffffa8031de6040 smss.exe                240      4      3       30 ------      0 2019-08-28 12:13:08 UTC+0000                                 
0xfffffa80324aeb10 csrss.exe               344    336     10      801      0      0 2019-08-28 12:13:31 UTC+0000                                 
0xfffffa8030f41b10 wininit.exe             396    336      3       78      0      0 2019-08-28 12:13:36 UTC+0000                                 
0xfffffa80327c5b10 services.exe            504    396      9      273      0      0 2019-08-28 12:13:38 UTC+0000                                 
0xfffffa80327cdb10 lsass.exe               512    396      9      998      0      0 2019-08-28 12:13:39 UTC+0000                                 
0xfffffa80327c7b10 lsm.exe                 524    396     12      220      0      0 2019-08-28 12:13:39 UTC+0000                                 
0xfffffa80327dab10 svchost.exe             632    504     12      382      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa803295b5d0 svchost.exe             708    504      8      323      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa80329a1410 svchost.exe             772    504     21      605      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa8032977740 svchost.exe             852    504     16      441      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa80329e9060 svchost.exe             876    504     16      663      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa80329efb10 svchost.exe             912    504     34     1134      0      0 2019-08-28 12:14:38 UTC+0000                                 
0xfffffa8032a02b10 svchost.exe             996    504      5      206      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032a32b10 svchost.exe             596    504     28      805      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032af0820 spoolsv.exe            1096    504     14      321      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032afa480 svchost.exe            1124    504     16      328      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032b69b10 svchost.exe            1256    504     10      153      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032bd2b10 prunsrv.exe            1296    504      8       64      0      0 2019-08-28 12:14:39 UTC+0000                                 
0xfffffa8032c2bb10 conhost.exe            1372    344      2       35      0      0 2019-08-28 12:14:40 UTC+0000                                 
0xfffffa8030ff3b10 java.exe               1436   1296     30      425      0      1 2019-08-28 12:14:40 UTC+0000                                 
0xfffffa8032c4b730 taskeng.exe            1520    912      6      104      0      0 2019-08-28 12:15:00 UTC+0000                                 
0xfffffa8032dc11b0 TaniumClient.e         1780    504     14      204      0      1 2019-08-28 12:15:43 UTC+0000                                 
0xfffffa8032decb10 VGAuthService.         1868    504      3       89      0      0 2019-08-28 12:15:55 UTC+0000                                 
0xfffffa8030fec060 vmtoolsd.exe           2016    504     10      298      0      0 2019-08-28 12:16:00 UTC+0000                                 
0xfffffa8032c44b10 winlogbeat.exe          900    504     18      169      0      0 2019-08-28 12:16:03 UTC+0000                                 
0xfffffa8032f8ab10 svchost.exe            1604    504      5      100      0      0 2019-08-28 12:16:39 UTC+0000                                 
0xfffffa80310a7b10 dllhost.exe            2264    504     13      198      0      0 2019-08-28 12:16:40 UTC+0000                                 
0xfffffa8031177880 msdtc.exe              2424    504     12      147      0      0 2019-08-28 12:16:43 UTC+0000                                 
0xfffffa803120db10 WmiPrvSE.exe           2688    632      9      346      0      0 2019-08-28 12:16:49 UTC+0000                                 
0xfffffa80312cfb10 GoogleUpdate.e         2332   1520      5      135      0      1 2019-08-28 12:16:57 UTC+0000                                 
0xfffffa8031391410 svchost.exe            2752    504     17      462      0      0 2019-08-28 12:17:00 UTC+0000                                 
0xfffffa80312abb10 OSPPSVC.EXE            2708    504      3      145      0      0 2019-08-28 12:18:26 UTC+0000                                 
0xfffffa8031684060 svchost.exe            3452    504      7      128      0      0 2019-08-28 12:18:34 UTC+0000                                 
0xfffffa8031be9b10 POWERPNT.EXE            220    632      0 --------      1      0 2019-08-28 12:19:45 UTC+0000   2019-09-02 10:34:20 UTC+0000  
0xfffffa8032221b10 TaniumEndpoint         4140   4832     14       81      0      0 2019-08-28 12:29:10 UTC+0000                                 
0xfffffa8032221060 conhost.exe            4720    344      2       32      0      0 2019-08-28 12:29:10 UTC+0000                                 
0xfffffa80320fd990 Sysmon.exe             4236    504     13 16711680      0      0 2019-08-28 13:01:34 UTC+0000                                 
0xfffffa803235db10 unsecapp.exe           2320    632      3       77      0      0 2019-08-28 13:01:55 UTC+0000                                 
0xfffffa80333675c0 esensor.exe             476    504     47      711      0      0 2019-08-28 13:12:36 UTC+0000                                 
0xfffffa803415b900 cmd.exe                4812   5244      1       34      0      1 2019-08-28 16:15:23 UTC+0000                                 
0xfffffa8035b4f060 conhost.exe            4664    344      2       34      0      0 2019-08-28 16:15:23 UTC+0000                                 
0xfffffa8034fa6060 cscript.exe            6036   4812      5      151      0      1 2019-08-28 16:15:23 UTC+0000                                 
0xfffffa803535e760 TrustedInstall         3844    504      6      154      0      0 2019-08-29 13:54:09 UTC+0000                                 
0xfffffa8031530060 csrss.exe              4360   4292     10      179      3      0 2019-09-02 10:39:29 UTC+0000                                 
0xfffffa803464b1f0 winlogon.exe           2216   4292      3      120      3      0 2019-09-02 10:39:29 UTC+0000                                 
0xfffffa80329f6060 taskhost.exe           3580    504      8      187      3      0 2019-09-02 10:39:29 UTC+0000                                 
0xfffffa80316be450 dwm.exe                6104    852      5      124      3      0 2019-09-02 10:39:30 UTC+0000                                 
0xfffffa803222bb10 explorer.exe           5556   6216     19      617      3      0 2019-09-02 10:39:30 UTC+0000                                 
0xfffffa8031641b10 vmtoolsd.exe            332   5556      6      145      3      0 2019-09-02 10:39:30 UTC+0000                                 
0xfffffa8032368b10 taskhost.exe           4724    504      5       96      3      0 2019-09-02 10:39:32 UTC+0000                                 
0xfffffa80321087b0 TaniumClient.e         3248   1780     20      501      0      1 2019-09-03 15:07:11 UTC+0000                                 
0xfffffa80329adb10 conhost.exe            6812    344      2       34      0      0 2019-09-03 15:07:11 UTC+0000                                 
0xfffffa803248d060 TaniumClient.e         6800   3248      7      573      0      1 2019-09-03 17:12:59 UTC+0000                                 
0xfffffa80313bdb10 cmd.exe                3144   6800      0 --------      0      0 2019-09-03 17:19:30 UTC+0000   2019-09-03 17:19:30 UTC+0000  
0xfffffa8031dc9060 NETSTAT.EXE            6072   3144      0 --------      0      0 2019-09-03 17:19:30 UTC+0000   2019-09-03 17:19:30 UTC+0000  
0xfffffa8032dc2990 cmd.exe                3884   6800      0 --------      0      0 2019-09-03 17:28:35 UTC+0000   2019-09-03 17:28:35 UTC+0000  
0xfffffa8032291b10 NETSTAT.EXE            2660   3884      0 --------      0      0 2019-09-03 17:28:35 UTC+0000   2019-09-03 17:28:35 UTC+0000  
