Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     94      729 ------      0 2019-08-28 12:17:57 UTC+0000                                 
0xfffffa8031ef6b10 smss.exe                252      4      3       30 ------      0 2019-08-28 12:18:08 UTC+0000                                 
0xfffffa8030efd930 csrss.exe               340    332     10      639      0      0 2019-08-28 12:18:36 UTC+0000                                 
0xfffffa803272a7a0 wininit.exe             392    332      3       75      0      0 2019-08-28 12:18:45 UTC+0000                                 
0xfffffa803293f760 services.exe            500    392     10      264      0      0 2019-08-28 12:18:46 UTC+0000                                 
0xfffffa803295ab10 lsass.exe               508    392      9      973      0      0 2019-08-28 12:18:46 UTC+0000                                 
0xfffffa803295eb10 lsm.exe                 516    392     12      215      0      0 2019-08-28 12:18:46 UTC+0000                                 
0xfffffa80329ceb10 svchost.exe             612    500     10      377      0      0 2019-08-28 12:18:49 UTC+0000                                 
0xfffffa80329ddb10 svchost.exe             688    500      9      311      0      0 2019-08-28 12:18:50 UTC+0000                                 
0xfffffa8032798b10 svchost.exe             760    500     20      546      0      0 2019-08-28 12:18:50 UTC+0000                                 
0xfffffa80327adb10 svchost.exe             812    500     16      440      0      0 2019-08-28 12:18:50 UTC+0000                                 
0xfffffa80327c9b10 svchost.exe             836    500     17      671      0      0 2019-08-28 12:18:51 UTC+0000                                 
0xfffffa80327cbb10 svchost.exe             860    500     30     1109      0      0 2019-08-28 12:18:51 UTC+0000                                 
0xfffffa80327fe350 svchost.exe             972    500      5      198      0      0 2019-08-28 12:18:54 UTC+0000                                 
0xfffffa8031f16b10 svchost.exe             584    500     28      701      0      0 2019-08-28 12:18:57 UTC+0000                                 
0xfffffa8032837b10 taskeng.exe            1028    860      6      103      0      0 2019-08-28 12:18:58 UTC+0000                                 
0xfffffa8031064b10 spoolsv.exe            1168    500     13      322      0      0 2019-08-28 12:19:06 UTC+0000                                 
0xfffffa803106cb10 svchost.exe            1196    500     19      328      0      0 2019-08-28 12:19:06 UTC+0000                                 
0xfffffa8032801b10 svchost.exe            1324    500     10      163      0      0 2019-08-28 12:19:06 UTC+0000                                 
0xfffffa8032a83b10 esensor.exe            1392    500     47      712      0      0 2019-08-28 12:19:07 UTC+0000                                 
0xfffffa803103ab10 prunsrv.exe            1484    500      8       62      0      0 2019-08-28 12:19:13 UTC+0000                                 
0xfffffa8032c07060 conhost.exe            1560    340      2       34      0      0 2019-08-28 12:19:15 UTC+0000                                 
0xfffffa8031043830 java.exe               1636   1484     30      430      0      1 2019-08-28 12:19:17 UTC+0000                                 
0xfffffa8031044b10 vmtoolsd.exe           1232    500     10      296      0      0 2019-08-28 12:21:31 UTC+0000                                 
0xfffffa8032e913b0 svchost.exe             208    500      5      104      0      0 2019-08-28 12:22:29 UTC+0000                                 
0xfffffa8031d69b10 dllhost.exe            2096    500     13      200      0      0 2019-08-28 12:22:42 UTC+0000                                 
0xfffffa8031d87060 msdtc.exe              2272    500     12      147      0      0 2019-08-28 12:22:47 UTC+0000                                 
0xfffffa8032a92930 WmiPrvSE.exe           2348    612      9      311      0      0 2019-08-28 12:22:49 UTC+0000                                 
0xfffffa8032b90b10 GoogleUpdate.e         2404   1028      5      132      0      1 2019-08-28 12:22:51 UTC+0000                                 
0xfffffa8032ff3480 svchost.exe            2692    500     14      437      0      0 2019-08-28 12:23:16 UTC+0000                                 
0xfffffa80323bb060 POWERPNT.EXE           2056    612      0 --------      1      0 2019-08-28 12:30:24 UTC+0000   2019-09-01 18:59:08 UTC+0000  
0xfffffa8033167b10 OSPPSVC.EXE            2240    500      3      146      0      0 2019-08-28 12:30:50 UTC+0000                                 
0xfffffa80333488f0 svchost.exe            3492    500      8      127      0      0 2019-08-28 12:34:56 UTC+0000                                 
0xfffffa8033421780 Sysmon.exe             2388    500     12 16711680      0      0 2019-08-28 13:04:50 UTC+0000                                 
0xfffffa8032f4a210 unsecapp.exe           4932    612      3       68      0      0 2019-08-28 13:04:58 UTC+0000                                 
0xfffffa80312ae060 TrustedInstall         2068    500      4      154      0      0 2019-08-29 14:07:36 UTC+0000                                 
0xfffffa803224a200 csrss.exe              3252   4144     10      179      2      0 2019-09-02 10:38:25 UTC+0000                                 
0xfffffa803259eb10 winlogon.exe           5664   4144      3      121      2      0 2019-09-02 10:38:25 UTC+0000                                 
0xfffffa80333bca10 taskhost.exe           1348    500      8      192      2      0 2019-09-02 10:38:26 UTC+0000                                 
0xfffffa8031364060 dwm.exe                3664    812      5      124      2      0 2019-09-02 10:38:26 UTC+0000                                 
0xfffffa8034438060 explorer.exe           4124    352     19      614      2      0 2019-09-02 10:38:26 UTC+0000                                 
0xfffffa8032a12b10 vmtoolsd.exe           1148   4124      7      145      2      0 2019-09-02 10:38:27 UTC+0000                                 
0xfffffa803144ab10 taskhost.exe           3888    500      5       96      2      0 2019-09-02 10:38:28 UTC+0000                                 
0xfffffa8034542160 NETSTAT.EXE             992   4760      0 -------- ------      0 2019-09-03 18:35:00 UTC+0000   2019-09-03 18:35:00 UTC+0000  
