Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0    100     1004 ------      0 2019-08-28 12:19:57 UTC+0000                                 
0xfffffa8031e29630 smss.exe                240      4      3       30 ------      0 2019-08-28 12:19:59 UTC+0000                                 
0xfffffa803254eb10 csrss.exe               340    332     10      808      0      0 2019-08-28 12:20:30 UTC+0000                                 
0xfffffa8032569060 wininit.exe             392    332      3       80      0      0 2019-08-28 12:20:39 UTC+0000                                 
0xfffffa8032815b10 services.exe            496    392      6      274      0      0 2019-08-28 12:20:40 UTC+0000                                 
0xfffffa8032837060 lsass.exe               512    392      9      961      0      0 2019-08-28 12:20:41 UTC+0000                                 
0xfffffa80328361a0 lsm.exe                 524    392     10      206      0      0 2019-08-28 12:20:41 UTC+0000                                 
0xfffffa80328b9b10 svchost.exe             624    496     11      380      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa8032809b10 svchost.exe             704    496      8      307      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa803299ab10 svchost.exe             768    496     21      598      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa80329ccb10 svchost.exe             832    496     14      401      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa8032a11b10 svchost.exe             868    496     16      639      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa8032a26720 svchost.exe             904    496     33     1073      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa80329b05d0 svchost.exe             980    496      4      177      0      0 2019-08-28 12:21:05 UTC+0000                                 
0xfffffa8032b085a0 svchost.exe             640    496     27      800      0      0 2019-08-28 12:21:11 UTC+0000                                 
0xfffffa8032ae2b10 spoolsv.exe            1060    496     13      319      0      0 2019-08-28 12:21:11 UTC+0000                                 
0xfffffa8032b34640 svchost.exe            1088    496     17      327      0      0 2019-08-28 12:21:11 UTC+0000                                 
0xfffffa8032c3cb10 svchost.exe            1236    496     10      163      0      0 2019-08-28 12:21:11 UTC+0000                                 
0xfffffa8032c15b10 prunsrv.exe            1308    496      8       63      0      0 2019-08-28 12:21:12 UTC+0000                                 
0xfffffa8032c85b10 conhost.exe            1316    340      2       35      0      0 2019-08-28 12:21:13 UTC+0000                                 
