Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     92      697 ------      0 2019-08-28 12:16:03 UTC+0000                                 
0xfffffa8031d95500 smss.exe                240      4      3       30 ------      0 2019-08-28 12:16:04 UTC+0000                                 
0xfffffa803253e060 csrss.exe               360    352     10      656      0      0 2019-08-28 12:17:18 UTC+0000                                 
0xfffffa8031040b10 wininit.exe             420    352      3       81      0      0 2019-08-28 12:17:32 UTC+0000                                 
0xfffffa80327be060 services.exe            516    420      9      256      0      0 2019-08-28 12:17:41 UTC+0000                                 
0xfffffa80327b1b10 lsass.exe               524    420      9      991      0      0 2019-08-28 12:17:46 UTC+0000                                 
0xfffffa80327cb5d0 lsm.exe                 532    420     10      212      0      0 2019-08-28 12:17:46 UTC+0000                                 
0xfffffa803273db10 svchost.exe             632    516     11      375      0      0 2019-08-28 12:18:03 UTC+0000                                 
0xfffffa80327e6250 svchost.exe             708    516      8      295      0      0 2019-08-28 12:18:12 UTC+0000                                 
0xfffffa803281db10 svchost.exe             800    516     22      531      0      0 2019-08-28 12:18:15 UTC+0000                                 
0xfffffa8032849b10 svchost.exe             844    516     17      404      0      0 2019-08-28 12:18:18 UTC+0000                                 
0xfffffa8032859b10 svchost.exe             868    516     16      637      0      0 2019-08-28 12:18:18 UTC+0000                                 
0xfffffa8032851b10 svchost.exe             892    516     27     1047      0      0 2019-08-28 12:18:18 UTC+0000                                 
0xfffffa8032844a30 svchost.exe             976    516      4      181      0      0 2019-08-28 12:18:24 UTC+0000                                 
0xfffffa8032908b10 svchost.exe             692    516     25      696      0      0 2019-08-28 12:18:32 UTC+0000                                 
0xfffffa8032960b10 taskeng.exe            1104    892      5      104      0      0 2019-08-28 12:18:41 UTC+0000                                 
0xfffffa8031decb10 spoolsv.exe            1128    516     13      318      0      0 2019-08-28 12:18:42 UTC+0000                                 
0xfffffa8032970b10 svchost.exe            1160    516     17      336      0      0 2019-08-28 12:18:44 UTC+0000                                 
0xfffffa8032a38830 svchost.exe            1380    516     10      166      0      0 2019-08-28 12:18:54 UTC+0000                                 
0xfffffa8032a5eb10 esensor.exe            1436    516     47      703      0      0 2019-08-28 12:18:57 UTC+0000                                 
0xfffffa8032a6ab10 prunsrv.exe            1504    516      8       64      0      0 2019-08-28 12:19:01 UTC+0000                                 
0xfffffa8032ab3b10 conhost.exe            1592    360      2       34      0      0 2019-08-28 12:19:05 UTC+0000                                 
0xfffffa80323f6880 java.exe               1708   1504     34      434      0      1 2019-08-28 12:19:07 UTC+0000                                 
0xfffffa8031c12b10 vmtoolsd.exe           1400    516      9      307      0      0 2019-08-28 12:21:23 UTC+0000                                 
0xfffffa8032b8eb10 svchost.exe            1556    516      5      104      0      0 2019-08-28 12:22:31 UTC+0000                                 
0xfffffa8032be2b10 dllhost.exe            2152    516     13      195      0      0 2019-08-28 12:22:45 UTC+0000                                 
0xfffffa8032c15b10 msdtc.exe              2336    516     12      147      0      0 2019-08-28 12:22:50 UTC+0000                                 
0xfffffa8032b6e760 GoogleUpdate.e         2484   1104      5      134      0      1 2019-08-28 12:22:52 UTC+0000                                 
0xfffffa80327fc060 svchost.exe            2936    516     14      441      0      0 2019-08-28 12:23:24 UTC+0000                                 
0xfffffa803206cb10 OSPPSVC.EXE            3664    516      3      145      0      0 2019-08-28 12:29:06 UTC+0000                                 
0xfffffa8033137830 svchost.exe             884    516      7      127      0      0 2019-08-28 12:33:53 UTC+0000                                 
0xfffffa8033337830 POWERPNT.EXE           2096    632      0 --------      1      0 2019-08-28 12:35:18 UTC+0000   2019-08-31 08:03:50 UTC+0000  
0xfffffa80333ceb10 Sysmon.exe             1356    516     13 16711679      0      0 2019-08-28 13:08:58 UTC+0000                                 
0xfffffa80321a4060 unsecapp.exe           4828    632      3       73      0      0 2019-08-28 13:09:13 UTC+0000                                 
0xfffffa8033faf060 cmd.exe                4176   1400      0 --------      0      0 2019-08-28 13:55:06 UTC+0000   2019-08-28 13:55:46 UTC+0000  
0xfffffa80343ceb10 cmd.exe                4924   1400      0 --------      0      0 2019-08-28 13:57:40 UTC+0000   2019-08-28 13:57:48 UTC+0000  
0xfffffa803445eb10 cmd.exe                4664   1400      0 --------      0      0 2019-08-28 13:59:00 UTC+0000   2019-08-28 13:59:09 UTC+0000  
0xfffffa80346e7270 WmiPrvSE.exe           5084    632      9      322      0      0 2019-08-28 14:12:57 UTC+0000                                 
0xfffffa8031539a10 TrustedInstall         4648    516      4      150      0      0 2019-08-29 13:54:06 UTC+0000                                 
0xfffffa8032c11430 csrss.exe              3620   5680      9       79      3      0 2019-09-01 06:13:20 UTC+0000                                 
0xfffffa80321bd060 winlogon.exe           5300   5680      4       94      3      0 2019-09-01 06:13:20 UTC+0000                                 
0xfffffa8033580810 LogonUI.exe            5764   5300      8      183      3      0 2019-09-01 06:13:20 UTC+0000                                 
0xfffffa8033011270 wsmprovhost.ex         5916    632     11      297      0      0 2019-09-03 18:24:11 UTC+0000                                 
0xfffffa8032c05270 wsmprovhost.ex         3364    632     12      595      0      0 2019-09-03 18:24:13 UTC+0000                                 
0xfffffa80335d2200 HOSTNAME.EXE           2944   3364      0 --------      0      0 2019-09-03 18:24:13 UTC+0000   2019-09-03 18:24:14 UTC+0000  
0xfffffa8032b9d600 systeminfo.exe         4452   3364      0 --------      0      0 2019-09-03 18:24:14 UTC+0000   2019-09-03 18:24:20 UTC+0000  
0xfffffa8031232a10 DumpIt.exe             5420   3364      5      103      0      0 2019-09-03 18:24:20 UTC+0000                                 
0xfffffa80321d4260 conhost.exe            2196    360      2       34      0      0 2019-09-03 18:24:20 UTC+0000                                 
