Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     95     1062 ------      0 2019-08-28 12:21:14 UTC+0000                                 
0xfffffa8031db02e0 smss.exe                240      4      3       30 ------      0 2019-08-28 12:21:14 UTC+0000                                 
0xfffffa80324501f0 csrss.exe               344    336     10      821      0      0 2019-08-28 12:21:35 UTC+0000                                 
0xfffffa8032632650 wininit.exe             396    336      3       80      0      0 2019-08-28 12:21:42 UTC+0000                                 
0xfffffa8032822b10 services.exe            484    396      9      279      0      0 2019-08-28 12:21:42 UTC+0000                                 
0xfffffa8032842b10 lsass.exe               512    396      9     1167      0      0 2019-08-28 12:21:42 UTC+0000                                 
0xfffffa8032841270 lsm.exe                 520    396     11      219      0      0 2019-08-28 12:21:42 UTC+0000                                 
0xfffffa80328ec060 svchost.exe             632    484     12      379      0      0 2019-08-28 12:21:55 UTC+0000                                 
0xfffffa8032921330 svchost.exe             708    484      8      319      0      0 2019-08-28 12:21:57 UTC+0000                                 
0xfffffa8032901b10 svchost.exe             780    484     20      594      0      0 2019-08-28 12:22:00 UTC+0000                                 
0xfffffa8032988060 svchost.exe             832    484     16      443      0      0 2019-08-28 12:22:02 UTC+0000                                 
0xfffffa80329a9b10 svchost.exe             856    484     14      646      0      0 2019-08-28 12:22:02 UTC+0000                                 
0xfffffa80329ce700 svchost.exe             888    484     36     1131      0      0 2019-08-28 12:22:02 UTC+0000                                 
0xfffffa80329d9b10 svchost.exe            1000    484      5      208      0      0 2019-08-28 12:22:05 UTC+0000                                 
0xfffffa8032a53b10 svchost.exe             516    484     28      809      0      0 2019-08-28 12:22:09 UTC+0000                                 
0xfffffa8032b0c450 spoolsv.exe            1052    484     13      319      0      0 2019-08-28 12:22:09 UTC+0000                                 
0xfffffa8032b12b10 svchost.exe            1080    484     16      324      0      0 2019-08-28 12:22:09 UTC+0000                                 
0xfffffa8032bdfb10 svchost.exe            1244    484     10      164      0      0 2019-08-28 12:22:10 UTC+0000                                 
0xfffffa8032bbc3a0 prunsrv.exe            1340    484      8       63      0      0 2019-08-28 12:22:14 UTC+0000                                 
0xfffffa8032bc8480 conhost.exe            1352    344      2       35      0      0 2019-08-28 12:22:15 UTC+0000                                 
0xfffffa8031af7b10 rubyw.exe              1384    484     12      185      0      0 2019-08-28 12:22:16 UTC+0000                                 
0xfffffa8032c6db10 java.exe               1396   1340     30      428      0      1 2019-08-28 12:22:16 UTC+0000                                 
0xfffffa8032dfd2b0 ruby.exe               1744    484     10      116      0      0 2019-08-28 12:22:39 UTC+0000                                 
0xfffffa803105bb10 TaniumClient.e         1820    484     14      205      0      1 2019-08-28 12:22:44 UTC+0000                                 
0xfffffa8032f8f9c0 VGAuthService.         1968    484      3       89      0      0 2019-08-28 12:22:56 UTC+0000                                 
0xfffffa80330402e0 taskeng.exe            1296    888      6      104      0      0 2019-08-28 12:23:00 UTC+0000                                 
0xfffffa803309a7b0 vmtoolsd.exe           1916    484      9      317      0      0 2019-08-28 12:23:01 UTC+0000                                 
0xfffffa80330edb10 winlogbeat.exe         2028    484     17      173      0      0 2019-08-28 12:23:04 UTC+0000                                 
0xfffffa8032c4cb10 svchost.exe            2288    484      5      103      0      0 2019-08-28 12:23:24 UTC+0000                                 
0xfffffa8032b37b10 dllhost.exe            2412    484     13      195      0      0 2019-08-28 12:23:25 UTC+0000                                 
0xfffffa8032b39b10 msdtc.exe              2488    484     12      145      0      0 2019-08-28 12:23:26 UTC+0000                                 
0xfffffa8032eab5f0 WmiPrvSE.exe           2928    632      9      344      0      0 2019-08-28 12:23:33 UTC+0000                                 
0xfffffa8030f2eb10 GoogleUpdate.e         2536   1296      5      133      0      1 2019-08-28 12:23:43 UTC+0000                                 
