Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     95      738 ------      0 2019-08-28 12:32:33 UTC+0000                                 
0xfffffa8031ddc470 smss.exe                240      4      4       30 ------      0 2019-08-28 12:32:33 UTC+0000                                 
0xfffffa80325bf060 csrss.exe               344    336     10      676      0      0 2019-08-28 12:33:24 UTC+0000                                 
0xfffffa80325b46d0 wininit.exe             396    336      3       78      0      0 2019-08-28 12:33:31 UTC+0000                                 
0xfffffa8030efdb10 services.exe            504    396     11      278      0      0 2019-08-28 12:33:35 UTC+0000                                 
0xfffffa8032866510 lsass.exe               512    396      9      970      0      0 2019-08-28 12:33:36 UTC+0000                                 
0xfffffa8032860b10 lsm.exe                 524    396     10      213      0      0 2019-08-28 12:33:36 UTC+0000                                 
0xfffffa80328b7480 svchost.exe             632    504     10      378      0      0 2019-08-28 12:33:37 UTC+0000                                 
0xfffffa803255a650 svchost.exe             708    504      9      317      0      0 2019-08-28 12:33:37 UTC+0000                                 
0xfffffa8032918b10 svchost.exe             776    504     21      616      0      0 2019-08-28 12:33:38 UTC+0000                                 
0xfffffa803292db10 svchost.exe             840    504     16      452      0      0 2019-08-28 12:33:38 UTC+0000                                 
0xfffffa8032929b10 svchost.exe             864    504     16      692      0      0 2019-08-28 12:33:38 UTC+0000                                 
0xfffffa803291fb10 svchost.exe             888    504     35     1123      0      0 2019-08-28 12:33:38 UTC+0000                                 
0xfffffa8032925b10 svchost.exe             988    504      5      199      0      0 2019-08-28 12:33:41 UTC+0000                                 
0xfffffa80329bb840 svchost.exe             584    504     26      699      0      0 2019-08-28 12:33:41 UTC+0000                                 
0xfffffa80329ffb10 spoolsv.exe            1064    504     13      321      0      0 2019-08-28 12:33:46 UTC+0000                                 
0xfffffa80329f5b10 svchost.exe            1092    504     19      328      0      0 2019-08-28 12:33:46 UTC+0000                                 
0xfffffa8032b00b10 svchost.exe            1276    504     10      167      0      0 2019-08-28 12:33:50 UTC+0000                                 
