Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8720 System                    4      0    106      758 ------      0 2019-08-19 19:05:33 UTC+0000                                 
0xfffffa8031f7e040 smss.exe                240      4      3       33 ------      0 2019-08-19 19:05:33 UTC+0000                                 
0xfffffa8031bd7b10 csrss.exe               340    332     10      674      0      0 2019-08-19 19:06:51 UTC+0000                                 
0xfffffa8032443060 wininit.exe             392    332      3       79      0      0 2019-08-19 19:07:18 UTC+0000                                 
0xfffffa803243f6f0 csrss.exe               404    384      9      245      1      0 2019-08-19 19:07:21 UTC+0000                                 
0xfffffa80320135c0 services.exe            444    392      9      303      0      0 2019-08-19 19:07:24 UTC+0000                                 
0xfffffa80327dc060 lsass.exe               460    392      9      943      0      0 2019-08-19 19:07:30 UTC+0000                                 
0xfffffa80327dcb10 lsm.exe                 468    392      9      245      0      0 2019-08-19 19:07:30 UTC+0000                                 
0xfffffa80327f1b10 winlogon.exe            500    384      3      125      1      0 2019-08-19 19:07:32 UTC+0000                                 
0xfffffa803281d060 svchost.exe             616    444     10      380      0      0 2019-08-19 19:07:42 UTC+0000                                 
0xfffffa8032875b10 svchost.exe             692    444      9      311      0      0 2019-08-19 19:07:43 UTC+0000                                 
0xfffffa8032873b10 svchost.exe             756    444     19      628      0      0 2019-08-19 19:07:43 UTC+0000                                 
0xfffffa8032856b10 svchost.exe             836    444     18      549      0      0 2019-08-19 19:07:46 UTC+0000                                 
0xfffffa8032849b10 svchost.exe             860    444     15      723      0      0 2019-08-19 19:07:46 UTC+0000                                 
0xfffffa8032871b10 svchost.exe             892    444     33     1117      0      0 2019-08-19 19:07:46 UTC+0000                                 
0xfffffa80329366a0 svchost.exe             952    444      6      225      0      0 2019-08-19 19:07:47 UTC+0000                                 
0xfffffa8031bc9b10 svchost.exe             992    444     27      786      0      0 2019-08-19 19:08:10 UTC+0000                                 
0xfffffa803298b320 spoolsv.exe            1088    444     13      319      0      0 2019-08-19 19:08:27 UTC+0000                                 
0xfffffa8030fffb10 svchost.exe            1116    444     18      327      0      0 2019-08-19 19:08:27 UTC+0000                                 
0xfffffa8032a89060 svchost.exe            1324    444     10      164      0      0 2019-08-19 19:08:56 UTC+0000                                 
0xfffffa8030ed52e0 prunsrv.exe            1352    444      8       64      0      0 2019-08-19 19:08:59 UTC+0000                                 
0xfffffa8032520b10 conhost.exe            1388    340      2       34      0      0 2019-08-19 19:09:06 UTC+0000                                 
0xfffffa8031d94060 java.exe               1452   1352     36      468      0      1 2019-08-19 19:09:20 UTC+0000                                 
0xfffffa8031006b10 taskeng.exe            1560    892      5      106      0      0 2019-08-19 19:10:05 UTC+0000                                 
0xfffffa8032bc8170 vmtoolsd.exe           1884    444      9      332      0      0 2019-08-19 19:11:19 UTC+0000                                 
0xfffffa80329e9b10 svchost.exe            1764    444      5      101      0      0 2019-08-19 19:12:08 UTC+0000                                 
0xfffffa8032d3cb10 dllhost.exe            1256    444     13      198      0      0 2019-08-19 19:13:43 UTC+0000                                 
0xfffffa80329a6060 msdtc.exe              1132    444     12      148      0      0 2019-08-19 19:13:51 UTC+0000                                 
0xfffffa8032dd3060 svchost.exe            2112    444     14      440      0      0 2019-08-19 19:14:41 UTC+0000                                 
0xfffffa8032c39510 GoogleUpdate.e         2268   1680      5      132      0      1 2019-08-19 19:14:49 UTC+0000                                 
0xfffffa80314d1a50 winlogbeat.exe         2928    444     20      187      0      0 2019-08-20 23:36:11 UTC+0000                                 
0xfffffa8032d2ab10 taskhost.exe           1320    444      8      178      1      0 2019-08-22 14:27:29 UTC+0000                                 
0xfffffa80315bb440 dwm.exe                 248    836      3       87      1      0 2019-08-22 14:27:29 UTC+0000                                 
0xfffffa8031630b10 explorer.exe           1832    436     19      637      1      0 2019-08-22 14:27:29 UTC+0000                                 
0xfffffa80316ebb10 vmtoolsd.exe            308   1832      6      146      1      0 2019-08-22 14:27:29 UTC+0000                                 
0xfffffa8030ff9610 chrome.exe             2448   1832     34      697      1      1 2019-08-22 14:27:38 UTC+0000                                 
0xfffffa8032f00060 chrome.exe             1996   2448      7      162      1      1 2019-08-22 14:27:39 UTC+0000                                 
0xfffffa80315c7b10 chrome.exe              352   2448     12      140      1      1 2019-08-22 14:27:46 UTC+0000                                 
0xfffffa803221a320 OSPPSVC.EXE            3504    444      3      147      0      0 2019-08-22 14:28:25 UTC+0000                                 
0xfffffa80320c2880 svchost.exe             480    444      7      133      0      0 2019-08-22 14:28:27 UTC+0000                                 
0xfffffa80331bb060 esensor.exe            3236    444     58      726      0      0 2019-08-23 18:00:47 UTC+0000                                 
0xfffffa8031b57360 cmd.exe                4044   1884      0 --------      0      0 2019-08-26 17:12:23 UTC+0000   2019-08-26 17:12:33 UTC+0000  
0xfffffa803344f430 cmd.exe                3720   1884      0 --------      0      0 2019-08-26 17:12:43 UTC+0000   2019-08-26 17:12:44 UTC+0000  
0xfffffa80334dc430 cmd.exe                1052   1884      0 --------      0      0 2019-08-26 17:12:58 UTC+0000   2019-08-26 17:13:00 UTC+0000  
0xfffffa8033523b10 cmd.exe                4784   1884      0 --------      0      0 2019-08-26 17:13:13 UTC+0000   2019-08-26 17:13:15 UTC+0000  
0xfffffa80334373d0 cmd.exe                2636   1884      0 --------      0      0 2019-08-26 17:13:27 UTC+0000   2019-08-26 17:13:28 UTC+0000  
0xfffffa80332dc290 cmd.exe                3408   1884      0 --------      0      0 2019-08-26 17:13:43 UTC+0000   2019-08-26 17:13:43 UTC+0000  
0xfffffa80316633f0 cmd.exe                2444   1884      0 --------      0      0 2019-08-26 17:13:57 UTC+0000   2019-08-26 17:13:58 UTC+0000  
0xfffffa80317a9060 cmd.exe                2400   1884      0 --------      0      0 2019-08-26 17:14:12 UTC+0000   2019-08-26 17:14:15 UTC+0000  
0xfffffa8033540b10 cmd.exe                5096   1884      0 --------      0      0 2019-08-26 17:14:26 UTC+0000   2019-08-26 17:14:28 UTC+0000  
0xfffffa8031b08490 cmd.exe                3668   1884      0 --------      0      0 2019-08-26 17:14:40 UTC+0000   2019-08-26 17:14:41 UTC+0000  
0xfffffa803207f800 cmd.exe                2668   1884      0 --------      0      0 2019-08-26 17:14:54 UTC+0000   2019-08-26 17:15:13 UTC+0000  
0xfffffa803315c060 csrss.exe              2732   3124     10      205      2      0 2019-08-27 14:28:52 UTC+0000                                 
0xfffffa80311e3060 winlogon.exe           3624   3124      3      126      2      0 2019-08-27 14:28:52 UTC+0000                                 
0xfffffa803208c060 wsmprovhost.ex         2808    616      0 --------      0      0 2019-08-27 14:36:20 UTC+0000   2019-08-27 16:36:25 UTC+0000  
0xfffffa80322fc6d0 DumpIt.exe             5028   3824      1       97      0      0 2019-08-27 14:38:49 UTC+0000                                 
0xfffffa8033481b10 conhost.exe            3580    340      2       34      0      0 2019-08-27 14:38:51 UTC+0000                                 
0xfffffa80332015a0 taskhost.exe           3628    444      8 914...08      2      0 2019-08-27 15:10:48 UTC+0000                                 
0xfffffa8033407940 taskeng.exe            3968    892      5       99 ------      0 2019-08-27 15:10:48 UTC+0000                                 
0xfffffa803332a3f0 monitorEmail.e         4876   3968      1       12 ------      0 2019-08-27 15:10:49 UTC+0000                                 
0xfffffa8031301460 conhost.exe            2132   2732      2  3473458      2      0 2019-08-27 15:10:49 UTC+0000                                 
0xfffffa8033757b10 dwm.exe                4596    836      5      134 ------      0 2019-08-27 15:11:11 UTC+0000                                 
0xfffffa8032cf8430 explorer.exe           4352   1292     20      631      2      0 2019-08-27 15:11:11 UTC+0000                                 
0xfffffa803314ca10 vmtoolsd.exe           3476   4352      6        0      2      0 2019-08-27 15:11:15 UTC+0000                                 
0xfffffa8033385b10 monitorEmail.e         4012   4876      5   524288      2      0 2019-08-27 15:12:16 UTC+0000                                 
0xfffffa8032084b10 WmiPrvSE.exe           4920    616      9      287 ------      0 2019-08-27 17:10:46 UTC+0000                                 
