Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     94     1042 ------      0 2019-08-28 12:35:07 UTC+0000                                 
0xfffffa8031e57040 smss.exe                240      4      3       33 ------      0 2019-08-28 12:35:07 UTC+0000                                 
0xfffffa803256f060 csrss.exe               340    332     10      728      0      0 2019-08-28 12:35:44 UTC+0000                                 
0xfffffa8031ffb580 wininit.exe             392    332      3       81      0      0 2019-08-28 12:35:45 UTC+0000                                 
0xfffffa8032528b10 services.exe            488    392      8      280      0      0 2019-08-28 12:35:47 UTC+0000                                 
0xfffffa803291b740 lsass.exe               512    392      9      982      0      0 2019-08-28 12:35:47 UTC+0000                                 
0xfffffa80329147e0 lsm.exe                 520    392     11      243      0      0 2019-08-28 12:35:47 UTC+0000                                 
0xfffffa8031fc5b10 svchost.exe             628    488     10      384      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa803297c720 svchost.exe             704    488      8      314      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa80329b8b10 svchost.exe             780    488     22      596      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa803241d9c0 svchost.exe             824    488     16      465      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa8031fa9650 svchost.exe             876    488     17      697      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa8031e09470 svchost.exe             928    488     37     1116      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa8031f4d9e0 svchost.exe             984    488      5      196      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa8032a38b10 svchost.exe             416    488     25      707      0      0 2019-08-28 12:35:48 UTC+0000                                 
0xfffffa8032a90b10 spoolsv.exe            1060    488     13      321      0      0 2019-08-28 12:35:49 UTC+0000                                 
0xfffffa8032789b10 svchost.exe            1088    488     17      324      0      0 2019-08-28 12:35:49 UTC+0000                                 
0xfffffa8032b3db10 svchost.exe            1212    488     10      169      0      0 2019-08-28 12:35:50 UTC+0000                                 
0xfffffa8032bfa460 esensor.exe            1284    488     47      760      0      0 2019-08-28 12:35:50 UTC+0000                                 
0xfffffa8032b73b10 prunsrv.exe            1396    488      8       64      0      0 2019-08-28 12:35:54 UTC+0000                                 
0xfffffa8031067060 conhost.exe            1404    340      2       34      0      0 2019-08-28 12:35:54 UTC+0000                                 
0xfffffa8032b7b7a0 java.exe               1444   1396     30      425      0      1 2019-08-28 12:35:55 UTC+0000                                 
0xfffffa8032cf8b10 rubyw.exe              1516    488     12      185      0      0 2019-08-28 12:35:57 UTC+0000                                 
0xfffffa8031fe92d0 taskeng.exe            1576    928      4       99      0      0 2019-08-28 12:36:00 UTC+0000                                 
0xfffffa8032d8bb10 ruby.exe               1764    488     10      120      0      0 2019-08-28 12:36:02 UTC+0000                                 
0xfffffa8032d9eb10 VGAuthService.         1876    488      3       91      0      0 2019-08-28 12:36:04 UTC+0000                                 
0xfffffa8032e21b10 vmtoolsd.exe           1924    488     10      300      0      0 2019-08-28 12:36:06 UTC+0000                                 
0xfffffa8032d5b610 winlogbeat.exe         2000    488     18      180      0      0 2019-08-28 12:36:06 UTC+0000                                 
0xfffffa8032f83b10 svchost.exe            2156    488      5      104      0      0 2019-08-28 12:36:34 UTC+0000                                 
0xfffffa8032c3a810 dllhost.exe            2360    488     13      198      0      0 2019-08-28 12:36:38 UTC+0000                                 
0xfffffa8033007b10 WmiPrvSE.exe           2456    628      9      324      0      0 2019-08-28 12:36:40 UTC+0000                                 
0xfffffa803313eb10 msdtc.exe              2592    488     12      147      0      0 2019-08-28 12:36:44 UTC+0000                                 
0xfffffa803312ab10 svchost.exe            2840    488     13      435      0      0 2019-08-28 12:37:13 UTC+0000                                 
0xfffffa80313e9b10 GoogleUpdate.e         3980   1696      5      134      0      1 2019-08-28 12:38:46 UTC+0000                                 
0xfffffa8032182b10 OSPPSVC.EXE            2808    488      3      144      0      0 2019-08-28 12:57:58 UTC+0000                                 
0xfffffa803206a7b0 svchost.exe            1976    488      7      130      0      0 2019-08-28 12:58:20 UTC+0000                                 
0xfffffa80321e84a0 Sysmon.exe             4376    488     12 16711679      0      0 2019-08-28 13:23:49 UTC+0000                                 
0xfffffa8033735b10 unsecapp.exe            868    628      3       75      0      0 2019-08-28 13:23:54 UTC+0000                                 
0xfffffa80340f60e0 TrustedInstall         5916    488      5      150      0      0 2019-08-29 14:09:59 UTC+0000                                 
0xfffffa803206c060 csrss.exe              5344    468     10      189      2      0 2019-08-30 01:16:01 UTC+0000                                 
0xfffffa8033fae8b0 winlogon.exe           5812    468      0 --------      2      0 2019-08-30 01:16:02 UTC+0000   2019-09-01 23:49:18 UTC+0000  
0xfffffa8031574b10 conhost.exe            5496   5344      0 --------      2      0 2019-08-30 01:18:18 UTC+0000   2019-09-01 23:49:14 UTC+0000  
0xfffffa80342cbb10 chrome.exe             4612   4924      0 --------      2      0 2019-08-30 01:20:04 UTC+0000   2019-09-01 23:49:07 UTC+0000  
0xfffffa8031395060 chrome.exe             5424   4612      1      177      2      1 2019-08-30 01:20:09 UTC+0000                                 
0xfffffa8034691060 csrss.exe               504    588     12      183      1      0 2019-09-02 10:45:17 UTC+0000                                 
0xfffffa8034e7cb10 winlogon.exe           5828    588      3      121      1      0 2019-09-02 10:45:17 UTC+0000                                 
0xfffffa8031c68620 taskhost.exe           4172    488      8      191      1      0 2019-09-02 10:45:18 UTC+0000                                 
0xfffffa80327d57a0 dwm.exe                4624    824      5      124      1      0 2019-09-02 10:45:19 UTC+0000                                 
0xfffffa80327f09c0 explorer.exe           2212    564     19      621      1      0 2019-09-02 10:45:19 UTC+0000                                 
0xfffffa8031bf3730 vmtoolsd.exe           6808   2212      6      145      1      0 2019-09-02 10:45:19 UTC+0000                                 
0xfffffa8031138b10 taskhost.exe            496    488      5       96      1      0 2019-09-02 10:45:22 UTC+0000                                 
0xfffffa8031c10880 wsmprovhost.ex         3588    628     10      277      0      0 2019-09-03 18:24:57 UTC+0000                                 
0xfffffa803173e370 wsmprovhost.ex         5600    628     11      522      0      0 2019-09-03 18:24:58 UTC+0000                                 
0xfffffa8033721700 systeminfo.exe         2640   5600      0 --------      0      0 2019-09-03 18:25:01 UTC+0000   2019-09-03 18:25:09 UTC+0000  
0xfffffa803149a910 DumpIt.exe              460   5600      3      105      0      0 2019-09-03 18:25:10 UTC+0000                                 
0xfffffa8032db3b10 conhost.exe            4176    340      2       34      0      0 2019-09-03 18:25:10 UTC+0000                                 
0xfffffa80350441b0 sppsvc.exe             3580    488      5 914...08 ------      0 2019-09-03 18:30:01 UTC+0000                                 
0xfffffa8031882b10 sc.exe                 5060   6296      0 --------      0      0 2019-09-03 18:34:00 UTC+0000   2019-09-03 18:34:00 UTC+0000  
0xfffffa8031d43060 NETSTAT.EXE            2092   3540      0 --------      0      0 2019-09-03 18:34:00 UTC+0000   2019-09-03 18:34:00 UTC+0000  
