Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     93     1038 ------      0 2019-08-28 12:36:20 UTC+0000                                 
0xfffffa8031d93930 smss.exe                240      4      3       33 ------      0 2019-08-28 12:36:22 UTC+0000                                 
0xfffffa80326507e0 csrss.exe               340    332     10      710      0      0 2019-08-28 12:36:46 UTC+0000                                 
0xfffffa803281b8f0 wininit.exe             392    332      3       77      0      0 2019-08-28 12:36:49 UTC+0000                                 
0xfffffa80323f7510 services.exe            496    392      8      279      0      0 2019-08-28 12:36:53 UTC+0000                                 
0xfffffa803282ab10 lsass.exe               512    392      9      960      0      0 2019-08-28 12:36:53 UTC+0000                                 
0xfffffa8032829650 lsm.exe                 520    392     10      237      0      0 2019-08-28 12:36:53 UTC+0000                                 
0xfffffa8032457a10 svchost.exe             616    496     11      377      0      0 2019-08-28 12:36:58 UTC+0000                                 
0xfffffa8032400b10 svchost.exe             692    496      9      311      0      0 2019-08-28 12:36:59 UTC+0000                                 
0xfffffa803285fb10 svchost.exe             760    496     20      616      0      0 2019-08-28 12:36:59 UTC+0000                                 
0xfffffa80328afb10 svchost.exe             852    496     16      456      0      0 2019-08-28 12:36:59 UTC+0000                                 
0xfffffa80328c1580 svchost.exe             892    496     16      685      0      0 2019-08-28 12:37:00 UTC+0000                                 
0xfffffa80328d85c0 svchost.exe             916    496     28     1133      0      0 2019-08-28 12:37:00 UTC+0000                                 
0xfffffa80328e19b0 svchost.exe             992    496      5      201      0      0 2019-08-28 12:37:02 UTC+0000                                 
0xfffffa8032623970 svchost.exe             304    496     26      707      0      0 2019-08-28 12:37:02 UTC+0000                                 
0xfffffa80328ceb10 spoolsv.exe            1040    496     13      318      0      0 2019-08-28 12:37:03 UTC+0000                                 
0xfffffa80329a1720 svchost.exe            1068    496     18      334      0      0 2019-08-28 12:37:03 UTC+0000                                 
0xfffffa8032a21b10 svchost.exe            1196    496     10      162      0      0 2019-08-28 12:37:05 UTC+0000                                 
0xfffffa8032b4f270 esensor.exe            1352    496     47      718      0      0 2019-08-28 12:37:15 UTC+0000                                 
0xfffffa8030ff0b10 prunsrv.exe            1424    496      8       65      0      0 2019-08-28 12:37:22 UTC+0000                                 
0xfffffa8032b6b060 conhost.exe            1432    340      2       35      0      0 2019-08-28 12:37:22 UTC+0000                                 
0xfffffa8030ff58d0 java.exe               1476   1424     30      428      0      1 2019-08-28 12:37:24 UTC+0000                                 
0xfffffa8031cdc060 ruby.exe               1656    496     10      116      0      0 2019-08-28 12:37:54 UTC+0000                                 
0xfffffa8032c33550 taskeng.exe            1680    916      5       99      0      0 2019-08-28 12:38:00 UTC+0000                                 
0xfffffa8032cb0360 VGAuthService.         1812    496      3       91      0      0 2019-08-28 12:38:03 UTC+0000                                 
0xfffffa8032cfeb10 vmtoolsd.exe           1920    496      9      300      0      0 2019-08-28 12:38:13 UTC+0000                                 
0xfffffa8031008b10 winlogbeat.exe         1964    496     19      182      0      0 2019-08-28 12:38:14 UTC+0000                                 
0xfffffa8032c75800 svchost.exe            1452    496      5      104      0      0 2019-08-28 12:38:34 UTC+0000                                 
0xfffffa8032a42520 dllhost.exe            2100    496     13      196      0      0 2019-08-28 12:38:35 UTC+0000                                 
0xfffffa8032d9e310 msdtc.exe              2460    496     12      145      0      0 2019-08-28 12:38:39 UTC+0000                                 
0xfffffa8032e84b10 WmiPrvSE.exe           2492    616      9      325      0      0 2019-08-28 12:38:39 UTC+0000                                 
0xfffffa8032e36b10 svchost.exe            2656    496     14      435      0      0 2019-08-28 12:38:45 UTC+0000                                 
0xfffffa8031467060 rubyw.exe              4020    496     12      185      0      0 2019-08-28 12:40:35 UTC+0000                                 
