Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec8820 System                    4      0    125      708 ------      0 2019-08-19 19:04:36 UTC+0000                                 
0xfffffa8031fbc040 smss.exe                240      4      3       31 ------      0 2019-08-19 19:04:37 UTC+0000                                 
0xfffffa8031001920 csrss.exe               364    356     10      795      0      0 2019-08-19 19:08:10 UTC+0000                                 
0xfffffa8031be8290 wininit.exe             432    356      3       78      0      0 2019-08-19 19:08:44 UTC+0000                                 
0xfffffa8031e323f0 services.exe            500    432     10      277      0      0 2019-08-19 19:08:51 UTC+0000                                 
0xfffffa8031e3bb10 lsass.exe               508    432      9      993      0      0 2019-08-19 19:08:54 UTC+0000                                 
0xfffffa8031b8b410 lsm.exe                 516    432      9      211      0      0 2019-08-19 19:08:56 UTC+0000                                 
0xfffffa8031e8cb10 svchost.exe             640    500     11      378      0      0 2019-08-19 19:09:40 UTC+0000                                 
0xfffffa8031f1c290 svchost.exe             716    500      8      307      0      0 2019-08-19 19:09:59 UTC+0000                                 
0xfffffa8031d542e0 svchost.exe             816    500     20      599      0      0 2019-08-19 19:10:06 UTC+0000                                 
0xfffffa8031f32060 svchost.exe             856    500     18      454      0      0 2019-08-19 19:10:20 UTC+0000                                 
0xfffffa80320497f0 svchost.exe             880    500     15      700      0      0 2019-08-19 19:10:20 UTC+0000                                 
0xfffffa80320695a0 svchost.exe             904    500     35     1063      0      0 2019-08-19 19:10:20 UTC+0000                                 
0xfffffa8032113060 svchost.exe            1016    500      5      201      0      0 2019-08-19 19:10:42 UTC+0000                                 
0xfffffa8032407b10 svchost.exe             900    500     25      702      0      0 2019-08-19 19:10:58 UTC+0000                                 
0xfffffa8032480330 spoolsv.exe            1116    500     13      320      0      0 2019-08-19 19:11:25 UTC+0000                                 
0xfffffa8032492a10 svchost.exe            1156    500     16      323      0      0 2019-08-19 19:11:31 UTC+0000                                 
0xfffffa803251ab10 svchost.exe            1300    500     10      164      0      0 2019-08-19 19:11:55 UTC+0000                                 
0xfffffa80324d4200 prunsrv.exe            1352    500      8       65      0      0 2019-08-19 19:12:04 UTC+0000                                 
0xfffffa80324d3b10 conhost.exe            1436    364      2       35      0      0 2019-08-19 19:12:13 UTC+0000                                 
0xfffffa80325dc060 java.exe               1492   1352     36      464      0      1 2019-08-19 19:12:33 UTC+0000                                 
0xfffffa80327f6b10 vmtoolsd.exe           1372    500     10      316      0      0 2019-08-19 19:18:37 UTC+0000                                 
0xfffffa80329bcb10 svchost.exe            1032    500      5      103      0      0 2019-08-19 19:18:56 UTC+0000                                 
0xfffffa8032988b10 dllhost.exe            2536    500     13      196      0      0 2019-08-19 19:20:09 UTC+0000                                 
0xfffffa8032a54740 msdtc.exe              2632    500     12      147      0      0 2019-08-19 19:20:25 UTC+0000                                 
0xfffffa8032781060 svchost.exe            1820    500     13      449      0      0 2019-08-19 19:21:25 UTC+0000                                 
0xfffffa803257db10 WmiPrvSE.exe           2844    640      9      332      0      0 2019-08-19 19:23:03 UTC+0000                                 
0xfffffa8032b95b10 GoogleUpdate.e         1852   1736      5      138      0      1 2019-08-19 19:24:05 UTC+0000                                 
0xfffffa8032723b10 OSPPSVC.EXE            1912    500      3      149      0      0 2019-08-19 19:35:19 UTC+0000                                 
0xfffffa803149cb10 winlogbeat.exe         4684    500     19      183      0      0 2019-08-20 23:46:41 UTC+0000                                 
0xfffffa8033f109c0 cmd.exe                3568   1372      0 --------      0      0 2019-08-23 21:33:32 UTC+0000   2019-08-23 21:33:56 UTC+0000  
0xfffffa80312a1060 cmd.exe                3736   1372      0 --------      0      0 2019-08-23 21:34:27 UTC+0000   2019-08-23 21:34:27 UTC+0000  
0xfffffa8033eacb10 esensor.exe            2960    500     48      734      0      0 2019-08-26 12:10:18 UTC+0000                                 
0xfffffa8033125b10 svchost.exe            1476    500      8      131      0      0 2019-08-26 16:01:41 UTC+0000                                 
0xfffffa8032e344b0 cmd.exe                4796    488      1       28      0      0 2019-08-27 13:36:26 UTC+0000                                 
0xfffffa8031bcb060 conhost.exe            3452    364      2       34      0      0 2019-08-27 13:36:26 UTC+0000                                 
0xfffffa80332aa2c0 xagt.exe               2668   4796      9      132      0      0 2019-08-27 13:36:26 UTC+0000                                 
0xfffffa8033fc4060 xagt.exe               3432   2668      8      243      0      0 2019-08-27 13:49:24 UTC+0000                                 
0xfffffa80311c6b10 PSEXESVC.exe            488    500      5       87      0      1 2019-08-27 14:00:48 UTC+0000                                 
0xfffffa80332cdb10 taskeng.exe            1364    904      6       86      0      0 2019-08-27 14:10:48 UTC+0000                                 
0xfffffa803335cb10 conhost.exe            3688    364      2       35      0      0 2019-08-27 14:27:42 UTC+0000                                 
0xfffffa80334a67f0 cmd.exe                5108   3416      1       27      0      0 2019-08-27 14:27:43 UTC+0000                                 
0xfffffa8033cdc940 csrss.exe              2776   4000     10      171      1      0 2019-08-27 14:28:41 UTC+0000                                 
0xfffffa8031706060 winlogon.exe           4768   4000      3      122      1      0 2019-08-27 14:28:44 UTC+0000                                 
0xfffffa8032750b10 conhost.exe            1924    364      2       35      0      0 2019-08-27 14:36:24 UTC+0000                                 
0xfffffa8032d19b10 cmd.exe                2036   3788      1       27      0      0 2019-08-27 14:36:24 UTC+0000                                 
0xfffffa803a236060 wsmprovhost.ex         5056    640     10      335      0      0 2019-08-27 14:39:45 UTC+0000                                 
0xfffffa80311f65c0                           0     16      0 -------- ------      0                                                              
