Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9720 System                    4      0     95     1115 ------      0 2019-08-28 02:46:29 UTC+0000                                 
0xfffffa8031d971a0 smss.exe                240      4      3       36 ------      0 2019-08-28 02:46:29 UTC+0000                                 
0xfffffa803250db10 csrss.exe               340    332     22     1488      0      0 2019-08-28 02:46:46 UTC+0000                                 
0xfffffa80326a15c0 wininit.exe             392    332      3       80      0      0 2019-08-28 02:46:50 UTC+0000                                 
0xfffffa803286bb10 services.exe            496    392     11      295      0      0 2019-08-28 02:46:58 UTC+0000                                 
0xfffffa8032829b10 lsass.exe               512    392      9     1101      0      0 2019-08-28 02:46:58 UTC+0000                                 
0xfffffa8032896b10 lsm.exe                 520    392     12      291      0      0 2019-08-28 02:46:58 UTC+0000                                 
0xfffffa80328e7900 svchost.exe             636    496     12      416      0      0 2019-08-28 02:47:01 UTC+0000                                 
0xfffffa8032898b10 svchost.exe             712    496      9      408      0      0 2019-08-28 02:47:01 UTC+0000                                 
0xfffffa803293cb10 svchost.exe             824    496     19     1112      0      0 2019-08-28 02:47:09 UTC+0000                                 
0xfffffa80329b5b10 svchost.exe             876    496     19      552      0      0 2019-08-28 02:47:09 UTC+0000                                 
0xfffffa80329c6a80 svchost.exe             900    496     17      798      0      0 2019-08-28 02:47:09 UTC+0000                                 
0xfffffa80329d2a80 svchost.exe             940    496     37     1265      0      0 2019-08-28 02:47:09 UTC+0000                                 
0xfffffa8032a016c0 svchost.exe             992    496      7      250      0      0 2019-08-28 02:47:09 UTC+0000                                 
0xfffffa8032a08b10 svchost.exe             728    496     29      832      0      0 2019-08-28 02:47:15 UTC+0000                                 
0xfffffa80325efb10 spoolsv.exe            1080    496     14      362      0      0 2019-08-28 02:47:17 UTC+0000                                 
0xfffffa803260cb10 svchost.exe            1108    496     18      330      0      0 2019-08-28 02:47:17 UTC+0000                                 
0xfffffa8032acd3f0 svchost.exe            1240    496     10      160      0      0 2019-08-28 02:47:21 UTC+0000                                 
0xfffffa8032b1fb10 prunsrv.exe            1328    496      8       65      0      0 2019-08-28 02:47:23 UTC+0000                                 
0xfffffa8032b7b8f0 conhost.exe            1344    340      2       35      0      0 2019-08-28 02:47:25 UTC+0000                                 
0xfffffa8030ff7060 java.exe               1428   1328     34      443      0      1 2019-08-28 02:47:25 UTC+0000                                 
0xfffffa8032b07b10 ruby.exe               1660    496     10      116      0      0 2019-08-28 02:47:41 UTC+0000                                 
0xfffffa8032e89790 svchost.exe            1640    496      5      106      0      0 2019-08-28 02:47:49 UTC+0000                                 
0xfffffa803301bb10 taskeng.exe            2372    940      5      115      0      0 2019-08-28 02:48:00 UTC+0000                                 
0xfffffa80312d5b10 dllhost.exe            1296    496     16      218      0      0 2019-08-28 02:49:43 UTC+0000                                 
0xfffffa803132fb10 msdtc.exe              2924    496     14      144      0      0 2019-08-28 02:49:45 UTC+0000                                 
0xfffffa8031356b10 svchost.exe             324    496     14      440      0      0 2019-08-28 02:49:45 UTC+0000                                 
0xfffffa803139b5f0 GoogleUpdate.e         1256   2296      5      131      0      1 2019-08-28 02:49:56 UTC+0000                                 
0xfffffa80316c8b10 TaniumClient.e         1252    496     15      209      0      1 2019-08-28 03:15:15 UTC+0000                                 
0xfffffa80315d5060 cmd.exe                2232   1956      1       34      0      1 2019-08-28 03:16:33 UTC+0000                                 
0xfffffa80316888f0 conhost.exe            3000    340      2       35      0      0 2019-08-28 03:16:33 UTC+0000                                 
0xfffffa8031686b10 cscript.exe             460   2232      5      148      0      1 2019-08-28 03:16:33 UTC+0000                                 
0xfffffa8031ce1900 winlogbeat.exe         1592    496     17      172      0      0 2019-08-28 03:29:23 UTC+0000                                 
0xfffffa803293eb10 OSPPSVC.EXE             836    496      3      153      0      0 2019-08-28 04:24:06 UTC+0000                                 
0xfffffa80323e0160 TaniumEndpoint         1608   3264     14       85      0      0 2019-08-28 04:29:01 UTC+0000                                 
0xfffffa80323db830 conhost.exe            2388    340      2       32      0      0 2019-08-28 04:29:01 UTC+0000                                 
0xfffffa8033569060 svchost.exe             572    496      7      126      0      0 2019-08-28 04:41:01 UTC+0000                                 
0xfffffa8033742450 rubyw.exe              5100    496     12      185      0      0 2019-08-28 04:48:35 UTC+0000                                 
0xfffffa803171d3c0 esensor.exe            4364    496     47      764      0      0 2019-08-28 13:24:21 UTC+0000                                 
0xfffffa8033920920 cmd.exe                5424   4732      1       22      0      0 2019-08-28 14:29:18 UTC+0000                                 
0xfffffa80336fd690 conhost.exe            5540    340      2       32      0      0 2019-08-28 14:29:18 UTC+0000                                 
0xfffffa8034006560 GUP.exe                 216   5424    585     2450      0      0 2019-08-28 14:29:18 UTC+0000                                 
0xfffffa80310cbb10 cmd.exe                4660    216      0 --------      0      0 2019-08-28 15:16:34 UTC+0000   2019-08-28 15:17:21 UTC+0000  
0xfffffa8034c52060 cmd.exe                5144    216      0 --------      0      0 2019-08-28 15:18:01 UTC+0000   2019-08-28 17:30:43 UTC+0000  
0xfffffa8036c6f4f0 csrss.exe              3020   3056     11      348      2      0 2019-08-28 15:43:10 UTC+0000                                 
0xfffffa8032489b10 winlogon.exe           3504   3056      3      122      2      0 2019-08-28 15:43:13 UTC+0000                                 
0xfffffa803319cb10 taskhost.exe           2544    496     11      231      2      0 2019-08-28 15:43:24 UTC+0000                                 
0xfffffa8036341160 dwm.exe                3920    876      5      165      2      0 2019-08-28 15:43:28 UTC+0000                                 
0xfffffa80365b98e0 explorer.exe           4280   5876     19      905      2      0 2019-08-28 15:43:28 UTC+0000                                 
0xfffffa803324e5d0 cmd.exe                4032   4280      1       28      2      0 2019-08-28 15:43:39 UTC+0000                                 
0xfffffa803205b6f0 conhost.exe            6064   3020      2       58      2      0 2019-08-28 15:43:40 UTC+0000                                 
0xfffffa80324f6b10 java.exe               4468   4032     29      580      2      1 2019-08-28 15:43:53 UTC+0000                                 
0xfffffa8036cd3700 WINWORD.EXE            3596    636     10      748      2      1 2019-08-28 15:45:13 UTC+0000                                 
0xfffffa8037cf2740 splwow64.exe           5468   3596      6       65      2      0 2019-08-28 15:47:03 UTC+0000                                 
0xfffffa8037c55430 chromedriver_w         4156   4468      4       69      2      1 2019-08-28 15:47:14 UTC+0000                                 
0xfffffa80365fe3e0 chromedriver_w         4304   4468      0 --------      2      0 2019-08-28 16:01:27 UTC+0000   2019-09-01 04:17:33 UTC+0000  
0xfffffa803730d650 OUTLOOK.EXE            6032    636     30     5396      2      1 2019-08-28 16:02:48 UTC+0000                                 
0xfffffa8038361060 EXCEL.EXE               260    636     10      584      2      1 2019-08-28 16:03:55 UTC+0000                                 
0xfffffa8031847370 powershell.exe         3632    216      0 --------      0      0 2019-08-28 17:31:51 UTC+0000   2019-08-28 18:22:02 UTC+0000  
0xfffffa8039055060 taskmgr.exe            4688   1864      7      128      2      0 2019-08-28 18:02:50 UTC+0000                                 
0xfffffa8033510330 csrss.exe              4988   5896      9      230      1      0 2019-08-28 18:56:49 UTC+0000                                 
0xfffffa8037edab10 winlogon.exe           5636   5896      3      110      1      0 2019-08-28 18:56:49 UTC+0000                                 
0xfffffa8032822060 taskhost.exe            820    496      9      289      1      0 2019-08-28 18:57:26 UTC+0000                                 
0xfffffa8036a38900 rdpclip.exe            4092    728      4       99      1      0 2019-08-28 18:57:27 UTC+0000                                 
0xfffffa8035584060 dwm.exe                6004    876      3       76      1      0 2019-08-28 18:57:27 UTC+0000                                 
0xfffffa80330869e0 explorer.exe           4616   4692     21      816      1      0 2019-08-28 18:57:27 UTC+0000                                 
0xfffffa8038bad060 regsvr32.exe           1580   4616      0 --------      1      0 2019-08-28 18:57:28 UTC+0000   2019-08-28 18:57:30 UTC+0000  
0xfffffa803459b060 sidebar.exe            5580   4616      6       96      1      0 2019-08-28 19:02:55 UTC+0000                                 
0xfffffa8036220060 csrss.exe              4568   2644      8      256      3      0 2019-08-28 19:46:24 UTC+0000                                 
0xfffffa8031fbd500 winlogon.exe           3336   2644      3      123      3      0 2019-08-28 19:46:24 UTC+0000                                 
0xfffffa80362dc060 taskhost.exe           6320    496     11      253      3      0 2019-08-28 19:46:28 UTC+0000                                 
0xfffffa8034531b10 rdpclip.exe            4924    728      4       97      3      0 2019-08-28 19:46:28 UTC+0000                                 
0xfffffa8034a68b10 dwm.exe                6508    876      3       78      3      0 2019-08-28 19:46:28 UTC+0000                                 
0xfffffa8032fa7800 explorer.exe           4592   1584     27      905      3      0 2019-08-28 19:46:28 UTC+0000                                 
0xfffffa80353acb10 regsvr32.exe           3948   4592      0 --------      3      0 2019-08-28 19:46:29 UTC+0000   2019-08-28 19:46:29 UTC+0000  
0xfffffa80356ac060 taskmgr.exe            6756   4592      7      132      3      0 2019-08-28 19:49:18 UTC+0000                                 
0xfffffa8035a88b10 notepad.exe            7064   4592      1       62      3      0 2019-08-28 19:54:12 UTC+0000                                 
0xfffffa8035472b10 mmc.exe                6988   4592     13      339      3      0 2019-08-28 19:56:13 UTC+0000                                 
0xfffffa8031c25550 cmd.exe                4380   4592      1       21      3      0 2019-08-28 20:09:27 UTC+0000                                 
0xfffffa803354a3a0 conhost.exe            5804   4568      2       51      3      0 2019-08-28 20:09:27 UTC+0000                                 
0xfffffa80339dd890 chrome.exe             8552   6112      1       62      2      1 2019-09-01 04:17:05 UTC+0000                                 
0xfffffa8035ce2b10 chromedriver_w         7820   4468      0 --------      2      0 2019-09-01 04:17:34 UTC+0000   2019-09-01 04:51:24 UTC+0000  
0xfffffa803734a060 chrome.exe             7832   8464      1       62      2      1 2019-09-01 04:50:52 UTC+0000                                 
0xfffffa80347605e0 chromedriver_w         8980   4468      0 --------      2      0 2019-09-01 04:51:24 UTC+0000   2019-09-01 04:53:11 UTC+0000  
0xfffffa80324ad450 chrome.exe             8864   9048      1       62      2      1 2019-09-01 04:52:14 UTC+0000                                 
0xfffffa8035879b10 chrome.exe             8284   8324      1       62      2      1 2019-09-01 04:53:13 UTC+0000                                 
0xfffffa803921e7e0 chrome.exe             9152   3984      1       62      2      1 2019-09-01 04:53:37 UTC+0000                                 
0xfffffa803386cb10 chromedriver_w         7572   4468      6      158      2      1 2019-09-01 04:54:16 UTC+0000                                 
0xfffffa8032807510 chrome.exe             5868   7572      0 --------      2      0 2019-09-01 04:54:17 UTC+0000   2019-09-01 04:54:17 UTC+0000  
0xfffffa8031d33a30 chrome.exe             6792   5868      1       62      2      1 2019-09-01 04:54:17 UTC+0000                                 
