Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb7b10 System                    4      0     99      621 ------      0 2019-09-16 18:50:39 UTC+0000                                 
0xfffffa8031553b10 smss.exe                252      4      2       32 ------      0 2019-09-16 18:50:40 UTC+0000                                 
0xfffffa8031a38b10 csrss.exe               356    348     10      357      0      0 2019-09-16 18:52:10 UTC+0000                                 
0xfffffa8031a6c880 csrss.exe               428    420      9       74      1      0 2019-09-16 18:52:35 UTC+0000                                 
0xfffffa8031a5db10 wininit.exe             436    348      3       87      0      0 2019-09-16 18:52:35 UTC+0000                                 
0xfffffa8031648060 winlogon.exe            472    420      3       78      1      0 2019-09-16 18:52:37 UTC+0000                                 
0xfffffa8031a40060 services.exe            532    436      5      201      0      0 2019-09-16 18:52:46 UTC+0000                                 
0xfffffa8031a15060 lsass.exe               540    436      6      583      0      0 2019-09-16 18:52:56 UTC+0000                                 
0xfffffa8031a51060 lsm.exe                 552    436      9      191      0      0 2019-09-16 18:52:57 UTC+0000                                 
0xfffffa8031b8c340 svchost.exe             652    532     11      364      0      0 2019-09-16 18:53:26 UTC+0000                                 
0xfffffa80316432c0 svchost.exe             732    532      8      217      0      0 2019-09-16 18:53:43 UTC+0000                                 
0xfffffa8030f3bb10 svchost.exe             828    532     15      337      0      0 2019-09-16 18:53:51 UTC+0000                                 
0xfffffa80319e4060 svchost.exe             876    532     28      928      0      0 2019-09-16 18:53:54 UTC+0000                                 
0xfffffa8031abab10 svchost.exe             924    532     13      274      0      0 2019-09-16 18:54:03 UTC+0000                                 
0xfffffa8031adb650 svchost.exe             968    532      5      124      0      0 2019-09-16 18:54:06 UTC+0000                                 
0xfffffa8031ae3b10 svchost.exe            1012    532     20      531      0      0 2019-09-16 18:54:10 UTC+0000                                 
0xfffffa8031e051c0 LogonUI.exe             372    472      5      151      1      0 2019-09-16 18:54:36 UTC+0000                                 
0xfffffa803161f060 svchost.exe             716    532     16      329      0      0 2019-09-16 18:54:53 UTC+0000                                 
0xfffffa8031e6d060 spoolsv.exe            1044    532     13      301      0      0 2019-09-16 18:55:23 UTC+0000                                 
0xfffffa8031a91b10 svchost.exe            1092    532     10      154      0      0 2019-09-16 18:55:41 UTC+0000                                 
0xfffffa8031a95400 dns.exe                1116    532     18     5165      0      0 2019-09-16 18:55:41 UTC+0000                                 
0xfffffa8030f67060 svchost.exe            1464    532      3       51      0      0 2019-09-16 18:57:46 UTC+0000                                 
0xfffffa803432b060 svchost.exe             268    532      9      240      0      0 2019-09-16 19:03:25 UTC+0000                                 
0xfffffa8034906b10 msdtc.exe              1976    532     12      157      0      0 2019-09-16 19:12:01 UTC+0000                                 
0xfffffa8034523680 WmiPrvSE.exe           1900    652      7      286      0      0 2019-09-19 18:18:28 UTC+0000                                 
0xfffffa8034a4f530 wsmprovhost.ex         1692    652     11      633      0      0 2019-09-19 18:18:37 UTC+0000                                 
0xfffffa8034aa5600 HOSTNAME.EXE           1456   1692      0 --------      0      0 2019-09-19 18:18:38 UTC+0000   2019-09-19 18:18:38 UTC+0000  
0xfffffa8034466b10 systeminfo.exe         1888   1692      0 --------      0      0 2019-09-19 18:18:39 UTC+0000   2019-09-19 18:19:30 UTC+0000  
0xfffffa803176e5e0 TrustedInstall          544    532      5      128      0      0 2019-09-19 18:18:47 UTC+0000                                 
0xfffffa8034ae7600 DumpIt.exe              496   1692      6      111      0      0 2019-09-19 18:19:31 UTC+0000                                 
0xfffffa80345eb060 conhost.exe            1884    356      2       34      0      0 2019-09-19 18:19:31 UTC+0000                                 
