Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe000f3e3f040 System                    4      0    118        0 ------      0 2019-09-16 19:07:29 UTC+0000                                 
0xffffe000f7004280 smss.exe                296      4      2        0 ------      0 2019-09-16 19:07:37 UTC+0000                                 
0xffffe000f7489080 csrss.exe               392    384      8        0      0      0 2019-09-16 19:15:07 UTC+0000                                 
0xffffe000f4f56400 csrss.exe               456    448      9        0      1      0 2019-09-16 19:15:52 UTC+0000                                 
0xffffe000f77c8900 wininit.exe             464    384      1        0      0      0 2019-09-16 19:15:55 UTC+0000                                 
0xffffe000f75ca080 winlogon.exe            492    448      2        0      1      0 2019-09-16 19:15:57 UTC+0000                                 
0xffffe000f7869900 services.exe            560    464      4        0      0      0 2019-09-16 19:17:03 UTC+0000                                 
0xffffe000f7590080 lsass.exe               568    464     34        0      0      0 2019-09-16 19:17:33 UTC+0000                                 
0xffffe000f7889080 svchost.exe             764    560      7        0      0      0 2019-09-16 19:29:20 UTC+0000                                 
0xffffe000f78b3800 svchost.exe             808    560      7        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffe000f7922080 dwm.exe                 908    492      6        0      1      0 2019-09-16 19:30:18 UTC+0000                                 
0xffffe000f790a900 vmacthlp.exe            936    560      1        0      0      0 2019-09-16 19:30:29 UTC+0000                                 
0xffffe000f4cd7900 svchost.exe            1000    560     13        0      0      0 2019-09-16 19:31:21 UTC+0000                                 
0xffffe000f784e900 svchost.exe             360    560     43        0      0      0 2019-09-16 19:31:41 UTC+0000                                 
0xffffe000f7957500 svchost.exe             408    560     16        0      0      0 2019-09-16 19:31:43 UTC+0000                                 
0xffffe000f798a900 svchost.exe             628    560     17        0      0      0 2019-09-16 19:32:02 UTC+0000                                 
0xffffe000f73f8900 svchost.exe            1052    560     16        0      0      0 2019-09-16 19:32:39 UTC+0000                                 
0xffffe000f7ea16c0 spoolsv.exe            1412    560     10        0      0      0 2019-09-16 19:34:45 UTC+0000                                 
0xffffe000f80d3900 dfsrs.exe              1540    560     16        0      0      0 2019-09-16 19:35:26 UTC+0000                                 
0xffffe000f808d900 svchost.exe            1576    560      8        0      0      0 2019-09-16 19:35:44 UTC+0000                                 
0xffffe000f80d7900 dns.exe                1596    560     20        0      0      0 2019-09-16 19:35:44 UTC+0000                                 
0xffffe000f80b5900 ismserv.exe            1628    560      6        0      0      0 2019-09-16 19:36:09 UTC+0000                                 
0xffffe000faab90c0 Sysmon64.exe           2040    560      8        0      0      0 2019-09-16 19:37:45 UTC+0000                                 
0xffffe000f8ad0900 vmtoolsd.exe            652    560      7        0      0      0 2019-09-16 19:39:39 UTC+0000                                 
0xffffe000fab913c0 dfssvc.exe             1780    560     14        0      0      0 2019-09-16 19:40:05 UTC+0000                                 
0xffffe000fa8c3080 svchost.exe            2500    560     35        0      0      0 2019-09-16 19:42:58 UTC+0000                                 
0xffffe000fad3b900 vds.exe                2516    560     11        0      0      0 2019-09-16 19:43:00 UTC+0000                                 
0xffffe000f407c900 svchost.exe            2564    560     13        0      0      0 2019-09-16 19:43:03 UTC+0000                                 
0xffffe000fac1e900 svchost.exe            2584    560      3        0      0      0 2019-09-16 19:43:04 UTC+0000                                 
0xffffe000fadd2080 dllhost.exe            2736    560     10        0      0      0 2019-09-16 19:43:15 UTC+0000                                 
0xffffe000fae25900 msdtc.exe              2944    560      9        0      0      0 2019-09-16 19:43:31 UTC+0000                                 
0xffffe000fafe80c0 Microsoft.Acti         2880    560     10        0      0      0 2019-09-16 19:46:58 UTC+0000                                 
0xffffe000faf32900 unsecapp.exe           1364    764      2        0      0      0 2019-09-16 19:47:21 UTC+0000                                 
0xffffe000fb4e9900 LogonUI.exe            2760    492      8        0      1      0 2019-09-16 19:49:08 UTC+0000                                 
0xffffe000f40a74c0 WmiPrvSE.exe           2672    764     11        0      0      0 2019-09-16 19:50:00 UTC+0000                                 
0xffffe000fb837080 csrss.exe              3060   2492      9        0      2      0 2019-09-17 19:57:51 UTC+0000                                 
0xffffe000f786d900 winlogon.exe           2952   2492      2        0      2      0 2019-09-17 19:57:51 UTC+0000                                 
0xffffe000fb82a0c0 dwm.exe                3480   2952      8        0      2      0 2019-09-17 19:57:51 UTC+0000                                 
0xffffe000fb580900 taskhostex.exe         3716    360      5        0      2      0 2019-09-17 19:57:55 UTC+0000                                 
0xffffe000fb8dd680 rdpclip.exe            2572   2500      6        0      2      0 2019-09-17 19:57:55 UTC+0000                                 
0xffffe000faf55900 explorer.exe            868   1552     37        0      2      0 2019-09-17 19:57:55 UTC+0000                                 
0xffffe000fbb74900 jusched.exe             260   4044      2        0      2      1 2019-09-17 19:58:13 UTC+0000                                 
0xffffe000fb17f780 powershell.exe         3684    868      7        0      2      0 2019-09-17 19:59:22 UTC+0000                                 
0xffffe000f4087740 conhost.exe            3496   3684      2        0      2      0 2019-09-17 19:59:22 UTC+0000                                 
0xffffe000f7d290c0 powershell_ise         3588    868      9        0      2      0 2019-09-17 21:00:37 UTC+0000                                 
0xffffe000fc4d2900 TSTheme.exe            1748    764      0 --------      2      0 2019-09-18 15:09:23 UTC+0000   2019-09-18 15:09:29 UTC+0000  
0xffffe000fba60900 powershell.exe         1536    868      9        0      2      0 2019-09-18 15:11:36 UTC+0000                                 
0xffffe000fbda0900 conhost.exe            2088   1536      2        0      2      0 2019-09-18 15:11:36 UTC+0000                                 
0xffffe000fc4d4080 wsmprovhost.ex         2228    764      9        0      0      0 2019-09-18 17:15:03 UTC+0000                                 
0xffffe000fadb20c0 DumpIt.exe             3880   2228      3        0      0      0 2019-09-18 17:15:56 UTC+0000                                 
0xffffe000f7afe0c0 conhost.exe            3076   3880      2        0      0      0 2019-09-18 17:15:56 UTC+0000                                 
