Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe0005ae3e740 System                    4      0    106        0 ------      0 2019-09-16 18:20:26 UTC+0000                                 
0xffffe0005bf024c0 smss.exe                240      4      2        0 ------      0 2019-09-16 18:20:26 UTC+0000                                 
0xffffe0005c3927c0 csrss.exe               352    344      9        0      0      0 2019-09-16 18:20:32 UTC+0000                                 
0xffffe0005c2da080 csrss.exe               416    408      9        0      1      0 2019-09-16 18:20:33 UTC+0000                                 
0xffffe0005c35c080 wininit.exe             424    344      1        0      0      0 2019-09-16 18:20:33 UTC+0000                                 
0xffffe0005b82a080 winlogon.exe            452    408      2        0      1      0 2019-09-16 18:20:33 UTC+0000                                 
0xffffe0005c629900 services.exe            516    424      1        0      0      0 2019-09-16 18:20:33 UTC+0000                                 
0xffffe0005c61f480 lsass.exe               528    424      6        0      0      0 2019-09-16 18:20:34 UTC+0000                                 
0xffffe0005c37c900 svchost.exe             596    516      7        0      0      0 2019-09-16 18:20:37 UTC+0000                                 
0xffffe0005c703900 svchost.exe             640    516      6        0      0      0 2019-09-16 18:20:38 UTC+0000                                 
0xffffe0005c707080 LogonUI.exe             720    452      7        0      1      0 2019-09-16 18:20:38 UTC+0000                                 
0xffffe0005c6e3080 dwm.exe                 728    452      6        0      1      0 2019-09-16 18:20:38 UTC+0000                                 
0xffffe0005c74a080 vmacthlp.exe            744    516      1        0      0      0 2019-09-16 18:20:38 UTC+0000                                 
0xffffe0005c6f9900 svchost.exe             792    516     17        0      0      0 2019-09-16 18:20:38 UTC+0000                                 
0xffffe0005c6f7900 svchost.exe             860    516     39        0      0      0 2019-09-16 18:20:39 UTC+0000                                 
0xffffe0005c7b1900 svchost.exe             884    516     16        0      0      0 2019-09-16 18:20:39 UTC+0000                                 
0xffffe0005c7cc900 svchost.exe             940    516     18        0      0      0 2019-09-16 18:20:39 UTC+0000                                 
0xffffe0005cae6900 svchost.exe             408    516     17        0      0      0 2019-09-16 18:20:39 UTC+0000                                 
0xffffe0005cbe4540 spoolsv.exe            1044    516      9        0      0      0 2019-09-16 18:20:43 UTC+0000                                 
0xffffe0005cb85900 svchost.exe            1076    516      6        0      0      0 2019-09-16 18:20:43 UTC+0000                                 
0xffffe0005cc1e900 svchost.exe            1096    516      8        0      0      0 2019-09-16 18:20:43 UTC+0000                                 
0xffffe0005cc144c0 esensor.exe            1112    516     63        0      0      0 2019-09-16 18:20:43 UTC+0000                                 
0xffffe0005cc56900 inetinfo.exe           1188    516     19        0      0      0 2019-09-16 18:20:44 UTC+0000                                 
0xffffe0005cc45440 rubyw.exe              1240    516     10        0      0      0 2019-09-16 18:20:44 UTC+0000                                 
0xffffe0005cd59900 ruby.exe               1440    516      9        0      0      0 2019-09-16 18:20:52 UTC+0000                                 
0xffffe0005ccfb900 svchost.exe            1524    516     10        0      0      0 2019-09-16 18:20:55 UTC+0000                                 
0xffffe0005cd98900 VGAuthService.         1540    516      2        0      0      0 2019-09-16 18:20:55 UTC+0000                                 
0xffffe0005cdf46c0 vmtoolsd.exe           1636    516      9        0      0      0 2019-09-16 18:20:55 UTC+0000                                 
0xffffe0005ccf3900 svchost.exe            1684    516     15        0      0      0 2019-09-16 18:20:56 UTC+0000                                 
0xffffe0005ce74900 svchost.exe            1324    516     21        0      0      0 2019-09-16 18:20:57 UTC+0000                                 
0xffffe0005cef9900 svchost.exe            1272    516      3        0      0      0 2019-09-16 18:20:57 UTC+0000                                 
0xffffe0005cff0300 dllhost.exe            2180    516     10        0      0      0 2019-09-16 18:21:04 UTC+0000                                 
0xffffe0005cf74080 msdtc.exe              2352    516      9        0      0      0 2019-09-16 18:21:04 UTC+0000                                 
0xffffe0005d211900 WmiPrvSE.exe           2600    596     11        0      0      0 2019-09-16 18:21:12 UTC+0000                                 
0xffffe0005d72c080 w3wp.exe                 84   1684     10        0      0      0 2019-09-19 18:07:00 UTC+0000                                 
0xffffe0005d743080 wsmprovhost.ex         2000    596      0 --------      0      0 2019-09-19 18:12:55 UTC+0000   2019-09-19 18:12:56 UTC+0000  
0xffffe0005d6c8400 f?                  124049 148595 142941 -------- ------      1                                                              
