Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80054f2040 System                    4      0     84      550 ------      0 2019-09-16 18:13:53 UTC+0000                                 
0xfffffa80059951f0 smss.exe                232      4      2       30 ------      0 2019-09-16 18:13:53 UTC+0000                                 
0xfffffa8005b46780 csrss.exe               328    312      9     1466      0      0 2019-09-16 18:13:56 UTC+0000                                 
0xfffffa8005e8c250 wininit.exe             380    312      3       77      0      0 2019-09-16 18:13:56 UTC+0000                                 
0xfffffa8005e93b30 csrss.exe               388    372      9       71      1      0 2019-09-16 18:13:56 UTC+0000                                 
0xfffffa8005ea9b30 winlogon.exe            428    372      3       77      1      0 2019-09-16 18:13:56 UTC+0000                                 
0xfffffa8005ea28d0 services.exe            484    380      5      250      0      0 2019-09-16 18:13:57 UTC+0000                                 
0xfffffa8005edfb30 lsass.exe               492    380      7      596      0      0 2019-09-16 18:13:57 UTC+0000                                 
0xfffffa8005ee2b30 lsm.exe                 500    380      9      137      0      0 2019-09-16 18:13:57 UTC+0000                                 
0xfffffa8005f2bb30 svchost.exe             596    484      9      363      0      0 2019-09-16 18:13:58 UTC+0000                                 
0xfffffa8005f035e0 vmacthlp.exe            668    484      3       55      0      0 2019-09-16 18:13:59 UTC+0000                                 
0xfffffa8005f67b30 svchost.exe             712    484      7      250      0      0 2019-09-16 18:13:59 UTC+0000                                 
0xfffffa8005f9cb30 LogonUI.exe             788    428      5      148      1      0 2019-09-16 18:13:59 UTC+0000                                 
0xfffffa8005fa6b30 svchost.exe             804    484     13      300      0      0 2019-09-16 18:13:59 UTC+0000                                 
0xfffffa8005fbbb30 svchost.exe             840    484     35      967      0      0 2019-09-16 18:13:59 UTC+0000                                 
0xfffffa8005fcbb30 svchost.exe             880    484      9      507      0      0 2019-09-16 18:14:00 UTC+0000                                 
0xfffffa8005fdcb30 svchost.exe             936    484      5       92      0      0 2019-09-16 18:14:00 UTC+0000                                 
0xfffffa8005fefb30 svchost.exe             980    484     19      552      0      0 2019-09-16 18:14:00 UTC+0000                                 
0xfffffa800622bb30 svchost.exe             312    484     17      296      0      0 2019-09-16 18:14:01 UTC+0000                                 
0xfffffa80062302e0 taskeng.exe             612    840      5       95      0      0 2019-09-16 18:14:02 UTC+0000                                 
0xfffffa800625ab30 cmd.exe                1000    612      1       26      0      0 2019-09-16 18:14:02 UTC+0000                                 
0xfffffa800625e600 conhost.exe            1048    328      2       36      0      0 2019-09-16 18:14:02 UTC+0000                                 
0xfffffa80062b2b30 spoolsv.exe            1152    484     12      274      0      0 2019-09-16 18:14:02 UTC+0000                                 
0xfffffa80062ef410 wrapper.exe            1200    484      7      274      0      1 2019-09-16 18:14:03 UTC+0000                                 
0xfffffa800630c290 conhost.exe            1256    328      2       34      0      0 2019-09-16 18:14:03 UTC+0000                                 
0xfffffa8006314b30 domain1Service         1276    484      7      148      0      0 2019-09-16 18:14:03 UTC+0000                                 
0xfffffa8006340b30 elasticsearch-         1340    484     47      624      0      0 2019-09-16 18:14:05 UTC+0000                                 
0xfffffa8006340060 java.exe               1348   1200     89     1381      0      1 2019-09-16 18:14:05 UTC+0000                                 
0xfffffa8006296b30 conhost.exe            1356    328      2       31      0      0 2019-09-16 18:14:05 UTC+0000                                 
0xfffffa8006349b30 jenkins.exe            1392    484     16      642      0      0 2019-09-16 18:14:06 UTC+0000                                 
0xfffffa800635cb30 cmd.exe                1408   1276      1       27      0      0 2019-09-16 18:14:06 UTC+0000                                 
0xfffffa8006360820 conhost.exe            1416    328      2       34      0      0 2019-09-16 18:14:06 UTC+0000                                 
0xfffffa8006366920 java.exe               1448   1408     16      245      0      0 2019-09-16 18:14:06 UTC+0000                                 
0xfffffa800639b060 conhost.exe            1536    328      2       34      0      0 2019-09-16 18:14:09 UTC+0000                                 
0xfffffa800639eb30 jmx.exe                1700    484     14      269      0      0 2019-09-16 18:14:12 UTC+0000                                 
0xfffffa800640eb30 ruby.exe               1708   1000      1       40      0      0 2019-09-16 18:14:12 UTC+0000                                 
0xfffffa8006419b30 conhost.exe            1724    328      2       35      0      0 2019-09-16 18:14:12 UTC+0000                                 
0xfffffa800644d060 rubyw.exe              1824    484     12      153      0      0 2019-09-16 18:14:15 UTC+0000                                 
0xfffffa80064d7b30 java.exe               1876   1448     80     1020      0      0 2019-09-16 18:14:24 UTC+0000                                 
0xfffffa800646eb30 conhost.exe            1884    328      1       31      0      0 2019-09-16 18:14:24 UTC+0000                                 
0xfffffa800651eb30 cmd.exe                1984   1700      1       28      0      0 2019-09-16 18:14:28 UTC+0000                                 
0xfffffa80064fab30 java.exe               1996   1984     17      227      0      0 2019-09-16 18:14:28 UTC+0000                                 
0xfffffa80066647c0 java.exe               2012   1392     39      735      0      0 2019-09-16 18:14:34 UTC+0000                                 
0xfffffa8006613290 dcnotification         2088    484      8       80      0      1 2019-09-16 18:14:34 UTC+0000                                 
0xfffffa80066925f0 pg_ctl.exe             2096   1348      0 --------      0      0 2019-09-16 18:14:34 UTC+0000   2019-09-16 18:14:36 UTC+0000  
0xfffffa800669ab30 conhost.exe            2136    328      1       51      0      0 2019-09-16 18:14:34 UTC+0000                                 
0xfffffa80066b7b30 dcserverhttpd.         2196    484      6      112      0      1 2019-09-16 18:14:34 UTC+0000                                 
0xfffffa80066d0b30 cmd.exe                2212   2096      1       42      0      1 2019-09-16 18:14:35 UTC+0000                                 
0xfffffa80066a6a30 postgres.exe           2260   2212      4      316      0      1 2019-09-16 18:14:36 UTC+0000                                 
0xfffffa800673b060 cygrunsrv.exe          2400    484      6       99      0      0 2019-09-16 18:14:37 UTC+0000                                 
0xfffffa8006590b30 postgres.exe           2408   2260      3      273      0      1 2019-09-16 18:14:38 UTC+0000                                 
0xfffffa800679f060 cygrunsrv.exe          2532   2400      0 --------      0      0 2019-09-16 18:14:40 UTC+0000   2019-09-16 18:14:42 UTC+0000  
0xfffffa800678db30 ruby.exe               2552    484     10      115      0      0 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa8006797220 postgres.exe           2560   2260      2      271      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa80067a9b30 postgres.exe           2568   2260      2      270      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa8006791060 postgres.exe           2576   2260      2      270      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa80067a5b30 postgres.exe           2584   2260      2      271      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa800678c400 postgres.exe           2592   2260      2      271      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa80067aa950 postgres.exe           2600   2260      2      272      0      1 2019-09-16 18:14:40 UTC+0000                                 
0xfffffa80067d4590 conhost.exe            2628    328      2       31      0      0 2019-09-16 18:14:41 UTC+0000                                 
0xfffffa80067d1b30 sshd.exe               2680   2532      5      105      0      0 2019-09-16 18:14:41 UTC+0000                                 
0xfffffa80067acb30 dcrotatelogs.e         2824   2196      1       43      0      1 2019-09-16 18:14:43 UTC+0000                                 
0xfffffa80067f46c0 conhost.exe            2832    328      2       31      0      0 2019-09-16 18:14:43 UTC+0000                                 
0xfffffa8006800b30 dcserverhttpd.         2916   2196    207      517      0      1 2019-09-16 18:14:44 UTC+0000                                 
0xfffffa80068147d0 svchost.exe            2964    484      3       46      0      0 2019-09-16 18:14:44 UTC+0000                                 
0xfffffa80068324a0 tomcat8.exe            3064    484     29      430      0      0 2019-09-16 18:14:45 UTC+0000                                 
0xfffffa8006868910 conhost.exe            2140    328      2       31      0      0 2019-09-16 18:14:45 UTC+0000                                 
0xfffffa8006879b30 dcrotatelogs.e         2152   2916      1       43      0      1 2019-09-16 18:14:45 UTC+0000                                 
0xfffffa800687bb30 conhost.exe            2280    328      2       31      0      0 2019-09-16 18:14:46 UTC+0000                                 
0xfffffa8006886b30 VGAuthService.         2388    484      3       93      0      0 2019-09-16 18:14:46 UTC+0000                                 
0xfffffa800694a630 vmtoolsd.exe           3704    484      9      281      0      0 2019-09-16 18:14:51 UTC+0000                                 
0xfffffa80069c6600 httpd.exe              3820    484      5      126      0      0 2019-09-16 18:14:53 UTC+0000                                 
0xfffffa8006a4f060 mysqld.exe             3924    484     22      520      0      0 2019-09-16 18:14:55 UTC+0000                                 
0xfffffa8006a25b30 httpd.exe              4292   3820     67      173      0      0 2019-09-16 18:15:05 UTC+0000                                 
0xfffffa8006d4bb30 svchost.exe            4972    484      5      105      0      0 2019-09-16 18:15:18 UTC+0000                                 
0xfffffa8006dfc060 dllhost.exe            5100    484     13      196      0      0 2019-09-16 18:15:25 UTC+0000                                 
0xfffffa8006eceb30 msdtc.exe              3632    484     12      147      0      0 2019-09-16 18:15:27 UTC+0000                                 
0xfffffa80071a6b30 ruby.exe               5616   1708      3      111      0      0 2019-09-16 18:16:06 UTC+0000                                 
0xfffffa8006ac3060 svchost.exe            5608    484      5       72      0      0 2019-09-16 18:17:16 UTC+0000                                 
0xfffffa8006cd8520 GoogleUpdate.e           12   1124      5      143      0      1 2019-09-16 18:17:17 UTC+0000                                 
0xfffffa800701a330 WmiPrvSE.exe           4092    596     11      332      0      0 2019-09-16 19:52:54 UTC+0000                                 
0xfffffa8006d63060 postgres.exe           4284   2260      4      617      0      1 2019-09-18 04:03:31 UTC+0000                                 
0xfffffa8005bc1060 postgres.exe           5048   2260      4     1241      0      1 2019-09-19 04:03:31 UTC+0000                                 
0xfffffa800745cb30 wsmprovhost.ex         5424    596     10      487      0      0 2019-09-19 15:59:32 UTC+0000                                 
0xfffffa80076fd060 HOSTNAME.EXE           5292   5424      0 --------      0      0 2019-09-19 15:59:32 UTC+0000   2019-09-19 15:59:32 UTC+0000  
0xfffffa80076f3060 taskkill.exe           5216   5424      0 --------      0      0 2019-09-19 15:59:33 UTC+0000   2019-09-19 15:59:33 UTC+0000  
0xfffffa80076bab30 HOSTNAME.EXE            472   5424      0 --------      0      0 2019-09-19 15:59:33 UTC+0000   2019-09-19 15:59:33 UTC+0000  
0xfffffa8007652060 wsmprovhost.ex          732    596     11      696      0      0 2019-09-19 17:32:32 UTC+0000                                 
0xfffffa800768b060 HOSTNAME.EXE           1312    732      0 --------      0      0 2019-09-19 17:32:32 UTC+0000   2019-09-19 17:32:32 UTC+0000  
