Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030eb9820 System                    4      0     92      696 ------      0 2019-08-27 12:21:48 UTC+0000                                 
0xfffffa80323c44c0 smss.exe                240      4      2       30 ------      0 2019-08-27 12:21:48 UTC+0000                                 
0xfffffa803267b750 csrss.exe               340    332      9      699      0      0 2019-08-27 12:22:09 UTC+0000                                 
0xfffffa8032552060 wininit.exe             400    332      3       78      0      0 2019-08-27 12:22:10 UTC+0000                                 
0xfffffa8032901b10 services.exe            460    400      6      227      0      0 2019-08-27 12:22:10 UTC+0000                                 
0xfffffa8032903b10 lsass.exe               520    400      7      683      0      0 2019-08-27 12:22:13 UTC+0000                                 
0xfffffa8032953b10 lsm.exe                 528    400     10      196      0      0 2019-08-27 12:22:13 UTC+0000                                 
0xfffffa8032955b10 svchost.exe             640    460      9      364      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa8032a0fb10 svchost.exe             716    460      8      264      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa8032a44530 svchost.exe             804    460     18      509      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa8032a86060 svchost.exe             864    460     15      382      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa8032a93b10 svchost.exe             904    460     15      601      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa803272b4c0 svchost.exe             940    460     33      900      0      0 2019-08-27 12:22:24 UTC+0000                                 
0xfffffa8032abf5d0 svchost.exe            1004    460      4      156      0      0 2019-08-27 12:22:25 UTC+0000                                 
0xfffffa8032763230 svchost.exe             580    460     25      657      0      0 2019-08-27 12:22:25 UTC+0000                                 
0xfffffa80325a0b10 spoolsv.exe            1064    460     13      311      0      0 2019-08-27 12:22:25 UTC+0000                                 
0xfffffa8032b7c060 svchost.exe            1092    460     17      314      0      0 2019-08-27 12:22:25 UTC+0000                                 
0xfffffa8032bb0b10 svchost.exe            1216    460     10      151      0      0 2019-08-27 12:22:26 UTC+0000                                 
0xfffffa8032c13500 prunsrv.exe            1252    460      8       64      0      0 2019-08-27 12:22:26 UTC+0000                                 
0xfffffa8031057800 conhost.exe            1384    340      2       34      0      0 2019-08-27 12:22:28 UTC+0000                                 
0xfffffa8032c3db10 rubyw.exe              1424    460     12      186      0      0 2019-08-27 12:22:28 UTC+0000                                 
0xfffffa8032d18060 java.exe               1440   1252     32      409      0      1 2019-08-27 12:22:28 UTC+0000                                 
0xfffffa8032d69b10 ruby.exe               1596    460     10      117      0      0 2019-08-27 12:22:36 UTC+0000                                 
0xfffffa8032e18b10 sadriverservic         1712    460      8       72      0      0 2019-08-27 12:22:39 UTC+0000                                 
0xfffffa8032c03b10 VGAuthService.         1740    460      3       91      0      0 2019-08-27 12:22:39 UTC+0000                                 
0xfffffa8032e6db10 vmtoolsd.exe           1776    460     10      299      0      0 2019-08-27 12:22:39 UTC+0000                                 
0xfffffa8032f69b10 svchost.exe            2156    460      5      100      0      0 2019-08-27 12:22:47 UTC+0000                                 
0xfffffa8032bf4b10 dllhost.exe            2212    460     13      198      0      0 2019-08-27 12:22:47 UTC+0000                                 
0xfffffa803300f060 WmiPrvSE.exe           2348    640      9      295      0      0 2019-08-27 12:22:47 UTC+0000                                 
0xfffffa8032c5b3b0 msdtc.exe              2628    460     12      147      0      0 2019-08-27 12:22:49 UTC+0000                                 
0xfffffa8033180350 taskeng.exe            2872    940      6       94      0      0 2019-08-27 12:23:00 UTC+0000                                 
0xfffffa80332b4b10 svchost.exe            1904    460     13      400      0      0 2019-08-27 12:23:02 UTC+0000                                 
0xfffffa8033303b10 GoogleUpdate.e         2844   2872      5      134      0      1 2019-08-27 12:23:21 UTC+0000                                 
0xfffffa8032eccb10 winlogbeat.exe          880    460     18      170      0      0 2019-08-27 12:25:58 UTC+0000                                 
0xfffffa8032acd700 wsmprovhost.ex         3416    640     11      459      0      0 2019-08-27 12:27:12 UTC+0000                                 
0xfffffa8031080730 esensor.exe            2016    460     47      658      0      0 2019-08-27 12:27:39 UTC+0000                                 
0xfffffa8031eea060 csrss.exe              3748   3708      9       79      2      0 2019-08-27 12:29:00 UTC+0000                                 
0xfffffa803152f060 winlogon.exe           1480   3708      4       92      2      0 2019-08-27 12:29:00 UTC+0000                                 
0xfffffa8031eeab10 LogonUI.exe            3156   1480      8      186      2      0 2019-08-27 12:29:01 UTC+0000                                 
0xfffffa8032696b10 wsmprovhost.ex          636    640     10      293      0      0 2019-08-27 13:14:40 UTC+0000                                 
0xfffffa80313f8060 wsmprovhost.ex         2736    640     10      344      0      0 2019-08-27 13:14:41 UTC+0000                                 
0xfffffa80317b3060 powershell.exe         4052   2736     11      403      0      0 2019-08-27 13:14:42 UTC+0000                                 
0xfffffa80330678c0 conhost.exe            3944    340      2       33      0      0 2019-08-27 13:14:43 UTC+0000                                 
0xfffffa803162a300 HOSTNAME.EXE           3648   4052      0 --------      0      0 2019-08-27 13:14:44 UTC+0000   2019-08-27 13:14:44 UTC+0000  
0xfffffa8031618060 systeminfo.exe         3948   4052      0 --------      0      0 2019-08-27 13:14:44 UTC+0000   2019-08-27 13:15:01 UTC+0000  
0xfffffa803161bb10 TrustedInstall         3492    460      4      136      0      0 2019-08-27 13:14:47 UTC+0000                                 
0xfffffa8031dcc060 MpCmdRun.exe           2020   2916      6      118      0      0 2019-08-27 13:14:59 UTC+0000                                 
0xfffffa8031c04b10 DumpIt.exe              496   4052      4      104      0      0 2019-08-27 13:15:01 UTC+0000                                 
0xfffffa80311b6060 conhost.exe            3708    340      2       34      0      0 2019-08-27 13:15:01 UTC+0000                                 
