Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff938adcc4e040 System                    4      0    141        0 ------      0 2019-09-16 18:38:57 UTC+0000                                 
0xffff938ade9ed040 smss.exe                312      4      2        0 ------      0 2019-09-16 18:38:57 UTC+0000                                 
0xffff938addaf9580 csrss.exe               424    416     14        0      0      0 2019-09-16 18:39:33 UTC+0000                                 
0xffff938aded62580 smss.exe                504    312      0 --------      1      0 2019-09-16 18:39:34 UTC+0000   2019-09-16 18:39:36 UTC+0000  
0xffff938aded56080 wininit.exe             512    416      4        0      0      0 2019-09-16 18:39:34 UTC+0000                                 
0xffff938adee3f180 csrss.exe               520    504     10        0      1      0 2019-09-16 18:39:34 UTC+0000                                 
0xffff938adf18b080 winlogon.exe            580    504      4        0      1      0 2019-09-16 18:39:34 UTC+0000                                 
0xffff938adee1c580 services.exe            616    512      7        0      0      0 2019-09-16 18:39:34 UTC+0000                                 
0xffff938adf191580 lsass.exe               624    512      8        0      0      0 2019-09-16 18:39:34 UTC+0000                                 
0xffff938adf550580 svchost.exe             756    616      2        0      0      0 2019-09-16 18:39:38 UTC+0000                                 
0xffff938adf54e580 svchost.exe             776    616     13        0      0      0 2019-09-16 18:39:38 UTC+0000                                 
0xffff938adf54c580 fontdrvhost.ex          796    512      5        0      0      0 2019-09-16 18:39:38 UTC+0000                                 
0xffff938adf533580 fontdrvhost.ex          860    580      5        0      1      0 2019-09-16 18:39:40 UTC+0000                                 
0xffff938adf529580 svchost.exe             896    616     11        0      0      0 2019-09-16 18:39:41 UTC+0000                                 
0xffff938adf527580 svchost.exe             940    616      7        0      0      0 2019-09-16 18:39:45 UTC+0000                                 
0xffff938adf505580 svchost.exe             996    616     10        0      0      0 2019-09-16 18:39:46 UTC+0000                                 
0xffff938adf503580 LogonUI.exe               8    580      8        0      1      0 2019-09-16 18:39:50 UTC+0000                                 
0xffff938adfbe9580 dwm.exe                 340    580     10        0      1      0 2019-09-16 18:39:50 UTC+0000                                 
0xffff938adfc2d580 svchost.exe             688    616      5        0      0      0 2019-09-16 18:40:28 UTC+0000                                 
0xffff938adfdf3580 svchost.exe             872    616      5        0      0      0 2019-09-16 18:40:52 UTC+0000                                 
0xffff938adfdff580 svchost.exe             436    616     23        0      0      0 2019-09-16 18:40:52 UTC+0000                                 
0xffff938adfdfd580 svchost.exe             640    616      7        0      0      0 2019-09-16 18:40:52 UTC+0000                                 
0xffff938adfdfb580 svchost.exe             708    616      5        0      0      0 2019-09-16 18:40:52 UTC+0000                                 
0xffff938adfdf9580 svchost.exe             784    616      4        0      0      0 2019-09-16 18:40:52 UTC+0000                                 
0xffff938adfdf7580 svchost.exe            1084    616      6        0      0      0 2019-09-16 18:40:53 UTC+0000                                 
0xffff938adff2d580 svchost.exe            1092    616      2        0      0      0 2019-09-16 18:40:53 UTC+0000                                 
0xffff938adff6b580 svchost.exe            1124    616     13        0      0      0 2019-09-16 18:40:53 UTC+0000                                 
0xffff938adff8b580 svchost.exe            1168    616     12        0      0      0 2019-09-16 18:40:54 UTC+0000                                 
0xffff938adff87580 svchost.exe            1256    616      2        0      0      0 2019-09-16 18:40:54 UTC+0000                                 
0xffff938addb04580 svchost.exe            1332    616      5        0      0      0 2019-09-16 18:40:55 UTC+0000                                 
0xffff938adff7f580 svchost.exe            1392    616     15        0      0      0 2019-09-16 18:40:55 UTC+0000                                 
0xffff938adff7b580 svchost.exe            1464    616     11        0      0      0 2019-09-16 18:40:56 UTC+0000                                 
0xffff938adff79580 svchost.exe            1512    616      5        0      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xffff938adff77580 svchost.exe            1536    616      4        0      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xffff938adff75580 svchost.exe            1544    616      3        0      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xffff938adff73580 svchost.exe            1552    616      4        0      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xffff938ae0057200 svchost.exe            1612    616      6        0      0      0 2019-09-16 18:40:58 UTC+0000                                 
0xffff938adff6d580 svchost.exe            1664    616      2        0      0      0 2019-09-16 18:41:00 UTC+0000                                 
0xffff938ae0121580 svchost.exe            1696    616      3        0      0      0 2019-09-16 18:41:00 UTC+0000                                 
0xffff938ae0115580 svchost.exe            1704    616      5        0      0      0 2019-09-16 18:41:00 UTC+0000                                 
0xffff938ade869040 MemCompression         1740      4      6        0 ------      0 2019-09-16 18:41:00 UTC+0000                                 
0xffff938ae0329580 svchost.exe            1844    616     10        0      0      0 2019-09-16 18:41:03 UTC+0000                                 
0xffff938ae0327580 svchost.exe            1884    616      5        0      0      0 2019-09-16 18:41:03 UTC+0000                                 
0xffff938ae03e0580 svchost.exe            1608    616      3        0      0      0 2019-09-16 18:41:06 UTC+0000                                 
0xffff938ae03de580 svchost.exe            1864    616      7        0      0      0 2019-09-16 18:41:06 UTC+0000                                 
0xffff938ade126580 svchost.exe            1280    616      3        0      0      0 2019-09-16 18:41:06 UTC+0000                                 
0xffff938ade148580 svchost.exe            2100    616      3        0      0      0 2019-09-16 18:41:06 UTC+0000                                 
0xffff938ae0146280 DVService.exe          2120    616     25        0      0      0 2019-09-16 18:41:06 UTC+0000                                 
0xffff938ae0436580 svchost.exe            2208    616      5        0      0      0 2019-09-16 18:41:09 UTC+0000                                 
0xffff938ae0426580 svchost.exe            2280    616      5        0      0      0 2019-09-16 18:41:12 UTC+0000                                 
0xffff938ae0422580 svchost.exe            2328    616      5        0      0      0 2019-09-16 18:41:13 UTC+0000                                 
0xffff938ae04b7580 svchost.exe            2504    616      3        0      0      0 2019-09-16 18:41:24 UTC+0000                                 
0xffff938ae04b1580 spoolsv.exe            2568    616      7        0      0      0 2019-09-16 18:41:27 UTC+0000                                 
0xffff938ae0579580 svchost.exe            2708    616      7        0      0      0 2019-09-16 18:41:35 UTC+0000                                 
