Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa7817204e040 System                    4      0    140        0 ------      0 2019-09-16 18:40:06 UTC+0000                                 
0xffffa78173e6a040 smss.exe                340      4      2        0 ------      0 2019-09-16 18:40:15 UTC+0000                                 
0xffffa78173e36580 csrss.exe               436    428     14        0      0      0 2019-09-16 18:41:49 UTC+0000                                 
0xffffa781741d2080 smss.exe                516    340      0 --------      1      0 2019-09-16 18:41:50 UTC+0000   2019-09-16 18:41:50 UTC+0000  
0xffffa781740e5080 wininit.exe             524    428      3        0      0      0 2019-09-16 18:41:50 UTC+0000                                 
0xffffa781741cf580 csrss.exe               532    516     10        0      1      0 2019-09-16 18:41:50 UTC+0000                                 
0xffffa78175057080 winlogon.exe            580    516      4        0      1      0 2019-09-16 18:41:50 UTC+0000                                 
0xffffa781725f5580 services.exe            664    524      6        0      0      0 2019-09-16 18:41:55 UTC+0000                                 
0xffffa7817419b580 lsass.exe               672    524      9        0      0      0 2019-09-16 18:42:04 UTC+0000                                 
0xffffa7817508e580 svchost.exe             788    664      2        0      0      0 2019-09-16 18:42:15 UTC+0000                                 
0xffffa78175090580 svchost.exe             808    664     12        0      0      0 2019-09-16 18:42:16 UTC+0000                                 
0xffffa781725f7580 fontdrvhost.ex          836    580      5        0      1      0 2019-09-16 18:42:19 UTC+0000                                 
0xffffa7817508c580 fontdrvhost.ex          832    524      5        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffffa7817436c4c0 svchost.exe             924    664     12        0      0      0 2019-09-16 18:42:31 UTC+0000                                 
0xffffa7817432b580 svchost.exe             964    664      7        0      0      0 2019-09-16 18:42:32 UTC+0000                                 
0xffffa78175082580 svchost.exe              60    664     11        0      0      0 2019-09-16 18:42:32 UTC+0000                                 
0xffffa781743d7580 LogonUI.exe             408    580      8        0      1      0 2019-09-16 18:42:33 UTC+0000                                 
0xffffa781743dc080 dwm.exe                 400    580     10        0      1      0 2019-09-16 18:42:33 UTC+0000                                 
0xffffa78175260080 svchost.exe             660    664      5        0      0      0 2019-09-16 18:42:40 UTC+0000                                 
0xffffa7817523a580 svchost.exe            1040    664      5        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa78175217580 svchost.exe            1052    664     23        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa78175215580 svchost.exe            1080    664      4        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa78175213580 svchost.exe            1088    664      6        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa78175211580 svchost.exe            1112    664      4        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa7817520d580 svchost.exe            1220    664      6        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa7817520b580 svchost.exe            1240    664      2        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa78175209580 svchost.exe            1280    664     12        0      0      0 2019-09-16 18:42:41 UTC+0000                                 
0xffffa7817520f580 svchost.exe            1324    664      2        0      0      0 2019-09-16 18:42:42 UTC+0000                                 
0xffffa78173c4d580 svchost.exe            1424    664     12        0      0      0 2019-09-16 18:42:46 UTC+0000                                 
0xffffa78173c4b580 svchost.exe            1460    664      6        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c49580 svchost.exe            1468    664      4        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c47580 svchost.exe            1476    664      5        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c45580 svchost.exe            1484    664      3        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c43580 svchost.exe            1576    664      2        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa7817538c040 MemCompression         1600      4      6        0 ------      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c29580 svchost.exe            1624    664      3        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa78173c27580 svchost.exe            1632    664      5        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa781753de280 svchost.exe            1736    664     15        0      0      0 2019-09-16 18:42:47 UTC+0000                                 
0xffffa781753fd580 svchost.exe            1812    664     11        0      0      0 2019-09-16 18:42:48 UTC+0000                                 
0xffffa78175535280 svchost.exe            1828    664      4        0      0      0 2019-09-16 18:42:48 UTC+0000                                 
0xffffa781749bc580 svchost.exe            1884    664      5        0      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xffffa781755b0580 svchost.exe            1912    664     16        0      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xffffa781755a0580 svchost.exe            1988    664      6        0      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xffffa7817559e580 svchost.exe            2040    664      5        0      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xffffa78175598580 svchost.exe            1908    664      5        0      0      0 2019-09-16 18:42:52 UTC+0000                                 
0xffffa7817559c580 svchost.exe             632    664     11        0      0      0 2019-09-16 18:42:52 UTC+0000                                 
0xffffa7817558a580 svchost.exe            2172    664      3        0      0      0 2019-09-16 18:42:53 UTC+0000                                 
0xffffa78175594580 svchost.exe            2196    664      7        0      0      0 2019-09-16 18:42:53 UTC+0000                                 
0xffffa78173e1f580 svchost.exe            2576    664      3        0      0      0 2019-09-16 18:42:57 UTC+0000                                 
0xffffa781740d2580 DVService.exe          2588    664     25        0      0      0 2019-09-16 18:42:57 UTC+0000                                 
0xffffa781756b6580 svchost.exe            2720    664      3        0      0      0 2019-09-16 18:43:02 UTC+0000                                 
0xffffa781756b2580 svchost.exe            2800    664      3        0      0      0 2019-09-16 18:43:02 UTC+0000                                 
0xffffa781739ce580 spoolsv.exe            3000    664      7        0      0      0 2019-09-16 18:43:09 UTC+0000                                 
0xffffa781739cc580 svchost.exe            3020    664      6        0      0      0 2019-09-16 18:43:10 UTC+0000                                 
0xffffa78172476080 svchost.exe            1772    664      5        0      0      0 2019-09-16 18:43:11 UTC+0000                                 
0xffffa781757c8580 svchost.exe            2564    664      5        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781757a2580 svchost.exe            2916    664     15        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781757e2580 svchost.exe            3080    664      3        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781757bc580 svchost.exe            3104    664      9        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781757b8580 svchost.exe            3112    664     12        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781735db400 svchost.exe            3120    664      2        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781735dd580 svchost.exe            3128    664      3        0      0      0 2019-09-16 18:43:13 UTC+0000                                 
0xffffa781757b0580 dllhost.exe            3208    664      5        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781757ae580 ac.autoupdate.         3216    664      2        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781757b2580 Sysmon.exe             3232    664     14        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781757a8580 SecurityHealth         3240    664      5        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781735fb080 esensor.exe            3248    664     45        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781757af080 vmtoolsd.exe           3260    664      9        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa781726f3580 prunsrv.exe            3268    664      7        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa78172689080 MsMpEng.exe            3276    664     22        0      0      0 2019-09-16 18:43:14 UTC+0000                                 
0xffffa7817267e580 armsvc.exe             3404    664      2        0      0      1 2019-09-16 18:43:14 UTC+0000                                 
0xffffa7817268f580 VGAuthService.         3424    664      2        0      0      0 2019-09-16 18:43:15 UTC+0000                                 
0xffffa7817277f580 svchost.exe            3492    664      3        0      0      0 2019-09-16 18:43:15 UTC+0000                                 
0xffffa78172805580 dllhost.exe            3844    664     10        0      0      0 2019-09-16 18:43:21 UTC+0000                                 
0xffffa78172974500 svchost.exe            3864    664      4        0      0      0 2019-09-16 18:43:21 UTC+0000                                 
0xffffa78172994080 conhost.exe            3924   3268      4        0      0      0 2019-09-16 18:43:21 UTC+0000                                 
0xffffa781729cd580 java.exe               4052   3268     22        0      0      1 2019-09-16 18:43:26 UTC+0000                                 
0xffffa781728e8580 msdtc.exe              4072    664      9        0      0      0 2019-09-16 18:43:29 UTC+0000                                 
0xffffa78174373580 NisSrv.exe              540    664      8        0      0      0 2019-09-16 18:44:52 UTC+0000                                 
0xffffa78175ae1580 svchost.exe            3320    664     14        0      0      0 2019-09-16 18:45:50 UTC+0000                                 
0xffffa78175cd5580 svchost.exe            1648    664      7        0      0      0 2019-09-16 18:45:56 UTC+0000                                 
0xffffa78175b20580 svchost.exe            4284    664     18        0      0      0 2019-09-16 18:45:57 UTC+0000                                 
