Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffbb0852c4e040 System                    4      0    236        0 ------      0 2019-09-16 18:52:12 UTC+0000                                 
0xffffbb0854a9e040 smss.exe                340      4      2        0 ------      0 2019-09-16 18:52:12 UTC+0000                                 
0xffffbb0854f54080 csrss.exe               448    432     14        0      0      0 2019-09-16 19:33:23 UTC+0000                                 
0xffffbb08556a3080 smss.exe                532    340      0 --------      1      0 2019-09-16 19:34:39 UTC+0000   2019-09-16 19:34:47 UTC+0000  
0xffffbb08556e2080 csrss.exe               540    532     10        0      1      0 2019-09-16 19:34:40 UTC+0000                                 
0xffffbb08556ab080 wininit.exe             560    432      1        0      0      0 2019-09-16 19:34:43 UTC+0000                                 
0xffffbb085436d580 winlogon.exe            600    532      2        0      1      0 2019-09-16 19:34:46 UTC+0000                                 
0xffffbb08556d5580 services.exe            680    560      8        0      0      0 2019-09-16 19:35:15 UTC+0000                                 
0xffffbb0855733580 lsass.exe               704    560      9        0      0      0 2019-09-16 19:36:02 UTC+0000                                 
0xffffbb085577c580 svchost.exe             828    680      2        0      0      0 2019-09-16 19:39:36 UTC+0000                                 
0xffffbb08557b4580 svchost.exe             864    680     25        0      0      0 2019-09-16 19:39:42 UTC+0000                                 
0xffffbb0855783340 fontdrvhost.ex          888    600      5        0      1      0 2019-09-16 19:39:51 UTC+0000                                 
0xffffbb0855778580 fontdrvhost.ex          896    560      5        0      0      0 2019-09-16 19:39:51 UTC+0000                                 
0xffffbb085576a580 svchost.exe             996    680     11        0      0      0 2019-09-16 19:41:38 UTC+0000                                 
0xffffbb0855768580 svchost.exe             316    680      9        0      0      0 2019-09-16 19:41:46 UTC+0000                                 
0xffffbb08561f0580 svchost.exe             280    680     10        0      0      0 2019-09-16 19:42:15 UTC+0000                                 
0xffffbb08547f1580 svchost.exe             792    680      5        0      0      0 2019-09-16 19:43:38 UTC+0000                                 
0xffffbb0854a41580 svchost.exe             312    680     17        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854a43580 svchost.exe            1012    680     23        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb08547f4580 svchost.exe             284    680      9        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854a4b580 svchost.exe             360    680      6        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854a4e580 svchost.exe             208    680      4        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854a78580 svchost.exe            1028    680      7        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854a7b580 svchost.exe            1036    680      2        0      0      0 2019-09-16 19:43:57 UTC+0000                                 
0xffffbb0854b9f580 svchost.exe            1228    680      8        0      0      0 2019-09-16 19:44:08 UTC+0000                                 
0xffffbb0854bc1580 svchost.exe            1248    680     14        0      0      0 2019-09-16 19:44:08 UTC+0000                                 
0xffffbb0855005580 svchost.exe            1344    680     12        0      0      0 2019-09-16 19:44:17 UTC+0000                                 
0xffffbb08551e1580 svchost.exe            1380    680      5        0      0      0 2019-09-16 19:44:18 UTC+0000                                 
0xffffbb085504b580 svchost.exe            1504    680      5        0      0      0 2019-09-16 19:44:25 UTC+0000                                 
0xffffbb08548bb580 svchost.exe            1536    680     18        0      0      0 2019-09-16 19:44:28 UTC+0000                                 
0xffffbb0855917580 svchost.exe            1668    680      8        0      0      0 2019-09-16 19:44:36 UTC+0000                                 
0xffffbb0855948580 svchost.exe            1716    680      5        0      0      0 2019-09-16 19:44:41 UTC+0000                                 
0xffffbb085595d580 svchost.exe            1736    680      9        0      0      0 2019-09-16 19:44:41 UTC+0000                                 
0xffffbb0852f38580 svchost.exe            1836    680     12        0      0      0 2019-09-16 19:44:52 UTC+0000                                 
0xffffbb0852f2a580 svchost.exe            1864    680      5        0      0      0 2019-09-16 19:44:54 UTC+0000                                 
0xffffbb0852f36580 svchost.exe            1872    680      6        0      0      0 2019-09-16 19:44:54 UTC+0000                                 
0xffffbb0852f34580 svchost.exe            1880    680      3        0      0      0 2019-09-16 19:44:54 UTC+0000                                 
0xffffbb0852f32580 svchost.exe            1952    680      3        0      0      0 2019-09-16 19:44:56 UTC+0000                                 
0xffffbb0852f30580 svchost.exe            2000    680      3        0      0      0 2019-09-16 19:44:57 UTC+0000                                 
0xffffbb085624d580 MemCompression         2040      4     26        0 ------      0 2019-09-16 19:44:59 UTC+0000                                 
0xffffbb08563ea580 svchost.exe            1108    680      4        0      0      0 2019-09-16 19:45:07 UTC+0000                                 
0xffffbb08563e6580 svchost.exe            1124    680      7        0      0      0 2019-09-16 19:45:10 UTC+0000                                 
0xffffbb08563e0580 svchost.exe            2104    680      8        0      0      0 2019-09-16 19:45:12 UTC+0000                                 
0xffffbb08563d8580 svchost.exe            2448    680      4        0      0      0 2019-09-16 19:45:31 UTC+0000                                 
0xffffbb0855972580 svchost.exe            2456    680      8        0      0      0 2019-09-16 19:45:31 UTC+0000                                 
0xffffbb0856435080 svchost.exe            2548    680      6        0      0      0 2019-09-16 19:45:37 UTC+0000                                 
0xffffbb0856459580 svchost.exe            2580    680      5        0      0      0 2019-09-16 19:45:37 UTC+0000                                 
0xffffbb0856455580 svchost.exe            2684    680      5        0      0      0 2019-09-16 19:45:40 UTC+0000                                 
0xffffbb0856447580 svchost.exe            2860    680      5        0      0      0 2019-09-16 19:46:08 UTC+0000                                 
0xffffbb085644a080 spoolsv.exe            2912    680      7        0      0      0 2019-09-16 19:46:23 UTC+0000                                 
0xffffbb085658c580 svchost.exe            1420    680     21        0      0      0 2019-09-16 19:47:15 UTC+0000                                 
0xffffbb0856577080 svchost.exe            2380    680      6        0      0      0 2019-09-16 19:47:17 UTC+0000                                 
