Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffe38174ab8040 System                    4      0    102        0 ------      0 2019-09-16 18:44:42 UTC+0000                                 
0xffffe381759cd040 smss.exe                296      4      2        0 ------      0 2019-09-16 18:44:43 UTC+0000                                 
0xffffe381767a3080 csrss.exe               424    416     12        0      0      0 2019-09-16 18:46:56 UTC+0000                                 
0xffffe381758be080 smss.exe                488    296      0 --------      1      0 2019-09-16 18:47:09 UTC+0000   2019-09-16 18:47:09 UTC+0000  
0xffffe381758c4080 wininit.exe             496    416      1        0      0      0 2019-09-16 18:47:09 UTC+0000                                 
0xffffe381758e8080 csrss.exe               504    488     10        0      1      0 2019-09-16 18:47:09 UTC+0000                                 
0xffffe3817725f080 winlogon.exe            548    488      2        0      1      0 2019-09-16 18:47:09 UTC+0000                                 
0xffffe38177295080 services.exe            620    496      4        0      0      0 2019-09-16 18:47:25 UTC+0000                                 
0xffffe381772f2080 lsass.exe               628    496      7        0      0      0 2019-09-16 18:47:35 UTC+0000                                 
0xffffe38177335080 svchost.exe             712    620     13        0      0      0 2019-09-16 18:47:45 UTC+0000                                 
0xffffe381773b0380 svchost.exe             772    620     11        0      0      0 2019-09-16 18:47:58 UTC+0000                                 
0xffffe38177237800 svchost.exe             908    620     14        0      0      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffe38177235800 svchost.exe             940    620     44        0      0      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffe381773d7800 svchost.exe             996    620     47        0      0      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffe38176871540 LogonUI.exe             268    548     13        0      1      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffe381773dc080 dwm.exe                 320    548     10        0      1      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffe38176801800 svchost.exe             556    620     17        0      0      0 2019-09-16 18:48:08 UTC+0000                                 
0xffffe38176803800 svchost.exe             692    620     19        0      0      0 2019-09-16 18:48:08 UTC+0000                                 
0xffffe3817683f800 svchost.exe            1152    620     23        0      0      0 2019-09-16 18:48:23 UTC+0000                                 
0xffffe3817680f080 svchost.exe            1216    620      4        0      0      0 2019-09-16 18:48:24 UTC+0000                                 
0xffffe38176964800 svchost.exe            1248    620      6        0      0      0 2019-09-16 18:48:24 UTC+0000                                 
0xffffe3817755a800 spoolsv.exe            1420    620      9        0      0      0 2019-09-16 18:48:30 UTC+0000                                 
0xffffe38177226080 svchost.exe             848    620     12        0      0      0 2019-09-16 18:49:31 UTC+0000                                 
0xffffe38174b2f080 Sysmon.exe             1712    620     13        0      0      0 2019-09-16 18:49:50 UTC+0000                                 
0xffffe38174b12040 MemCompression         1256      4      0        0 ------      0 2019-09-16 18:50:01 UTC+0000                                 
0xffffe38174b1a080 prunsrv.exe            1012    620      7        0      0      0 2019-09-16 18:55:20 UTC+0000                                 
0xffffe38176256080 conhost.exe            2580   1012      3        0      0      0 2019-09-16 18:55:30 UTC+0000                                 
0xffffe38177766800 java.exe               2632   1012     29        0      0      1 2019-09-16 18:55:54 UTC+0000                                 
0xffffe381776c9800 vmtoolsd.exe           3068    620      9        0      0      0 2019-09-16 18:56:19 UTC+0000                                 
0xffffe38177673800 svchost.exe            2784    620      7        0      0      0 2019-09-16 18:56:33 UTC+0000                                 
0xffffe38175003640 dllhost.exe            2832    620     10        0      0      0 2019-09-16 18:57:01 UTC+0000                                 
0xffffe38175023080 svchost.exe            3132    620      4        0      0      0 2019-09-16 18:57:06 UTC+0000                                 
0xffffe381750b1800 msdtc.exe              3236    620      9        0      0      0 2019-09-16 18:57:20 UTC+0000                                 
0xffffe3817776d080 GoogleUpdate.e         4008   3908      5        0      0      1 2019-09-16 18:59:41 UTC+0000                                 
0xffffe38176930080 SearchIndexer.          960    620     12        0      0      0 2019-09-16 19:01:53 UTC+0000                                 
0xffffe38176c4f800 unsecapp.exe            388    712      3        0      0      0 2019-09-16 19:02:43 UTC+0000                                 
0xffffe3817517c080 MsMpEng.exe            3476    620     25        0      0      0 2019-09-16 19:04:23 UTC+0000                                 
0xffffe38177399080 WmiPrvSE.exe           2984    712      8        0      0      0 2019-09-16 19:07:51 UTC+0000                                 
0xffffe38174f6c080 NisSrv.exe             3528    620      8        0      0      0 2019-09-16 19:11:33 UTC+0000                                 
0xffffe38177a50800 wsmprovhost.ex         3532    712     11        0      0      0 2019-09-17 12:45:43 UTC+0000                                 
0xffffe3817545c800 wsmprovhost.ex         2012    712     12        0      0      0 2019-09-17 14:18:02 UTC+0000                                 
0xffffe3817551e800 svchost.exe            4352    620      3        0      0      0 2019-09-17 21:10:57 UTC+0000                                 
0xffffe38177bb0080 wsmprovhost.ex         3944    712     13        0      0      0 2019-09-17 21:13:11 UTC+0000                                 
0xffffe38177a99780 wsmprovhost.ex         4636    712     17        0      0      0 2019-09-17 21:13:13 UTC+0000                                 
0xffffe38175413280 systeminfo.exe         4736   4636      0 --------      0      0 2019-09-17 21:13:14 UTC+0000   2019-09-17 21:13:20 UTC+0000  
0xffffe38177d27800 svchost.exe            4788    620      4        0      0      0 2019-09-17 21:13:20 UTC+0000                                 
0xffffe38177d03800 DumpIt.exe             4924   4636      4        0      0      0 2019-09-17 21:13:21 UTC+0000                                 
0xffffe38177da8080 conhost.exe             640   4924      3        0      0      0 2019-09-17 21:13:21 UTC+0000                                 
