Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffd409188b8040 System                    4      0    107        0 ------      0 2019-09-16 19:03:43 UTC+0000                                 
0xffffd4091a281040 smss.exe                296      4      2        0 ------      0 2019-09-16 19:03:44 UTC+0000                                 
0xffffd4091a5bc080 csrss.exe               412    404     11        0      0      0 2019-09-16 19:04:45 UTC+0000                                 
0xffffd4091a6a8440 smss.exe                476    296      0 --------      1      0 2019-09-16 19:04:53 UTC+0000   2019-09-16 19:04:55 UTC+0000  
0xffffd4091a6a2080 wininit.exe             484    404      1        0      0      0 2019-09-16 19:04:53 UTC+0000                                 
0xffffd4091a69e080 csrss.exe               492    476     10        0      1      0 2019-09-16 19:04:53 UTC+0000                                 
0xffffd4091a6e1680 winlogon.exe            560    476      2        0      1      0 2019-09-16 19:04:55 UTC+0000                                 
0xffffd4091a6bc800 services.exe            612    484      4        0      0      0 2019-09-16 19:05:04 UTC+0000                                 
0xffffd4091a722780 lsass.exe               628    484      8        0      0      0 2019-09-16 19:05:07 UTC+0000                                 
0xffffd4091a7b4500 svchost.exe             704    612     14        0      0      0 2019-09-16 19:05:22 UTC+0000                                 
0xffffd4091a998800 svchost.exe             768    612     10        0      0      0 2019-09-16 19:05:29 UTC+0000                                 
0xffffd4091b4ba800 svchost.exe             900    612     44        0      0      0 2019-09-16 19:05:30 UTC+0000                                 
0xffffd4091b4b8800 svchost.exe             908    612     43        0      0      0 2019-09-16 19:05:30 UTC+0000                                 
0xffffd4091b4b6800 svchost.exe             984    612     15        0      0      0 2019-09-16 19:05:30 UTC+0000                                 
0xffffd4091a2d4400 svchost.exe            1012    612     17        0      0      0 2019-09-16 19:05:34 UTC+0000                                 
0xffffd4091b4b0800 svchost.exe            1020    612     18        0      0      0 2019-09-16 19:05:34 UTC+0000                                 
0xffffd4091b5585c0 LogonUI.exe             496    560     13        0      1      0 2019-09-16 19:05:36 UTC+0000                                 
0xffffd4091b54b800 dwm.exe                 676    560     10        0      1      0 2019-09-16 19:05:36 UTC+0000                                 
0xffffd4091b577800 svchost.exe            1032    612     23        0      0      0 2019-09-16 19:05:39 UTC+0000                                 
0xffffd4091b4a4800 svchost.exe            1204    612      4        0      0      0 2019-09-16 19:06:06 UTC+0000                                 
0xffffd4091b49c800 svchost.exe            1288    612      6        0      0      0 2019-09-16 19:06:15 UTC+0000                                 
0xffffd4091b921080 spoolsv.exe            1428    612      9        0      0      0 2019-09-16 19:06:52 UTC+0000                                 
0xffffd4091ac11080 svchost.exe            1832    612      7        0      0      0 2019-09-16 19:07:36 UTC+0000                                 
0xffffd4091ace6800 svchost.exe            2020    612     12        0      0      0 2019-09-16 19:07:40 UTC+0000                                 
0xffffd4091acb3800 prunsrv.exe             684    612      7        0      0      0 2019-09-16 19:07:40 UTC+0000                                 
0xffffd4091b8ff800 esensor.exe            1184    612     45        0      0      0 2019-09-16 19:07:41 UTC+0000                                 
0xffffd4091b902800 mdm.exe                1220    612      3        0      0      1 2019-09-16 19:07:41 UTC+0000                                 
0xffffd4091b8cc080 conhost.exe             716    684      3        0      0      0 2019-09-16 19:07:41 UTC+0000                                 
