Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff85076181f6c0 System                    4      0    103        0 ------      0 2019-09-16 18:57:36 UTC+0000                                 
0xffff85076331e800 smss.exe                324      4      2        0 ------      0 2019-09-16 18:57:42 UTC+0000                                 
0xffff85076247c080 csrss.exe               436    428     10        0      0      0 2019-09-16 19:08:55 UTC+0000                                 
0xffff85076247f080 smss.exe                500    324      0 --------      1      0 2019-09-16 19:10:43 UTC+0000   2019-09-16 19:11:05 UTC+0000  
0xffff850762480800 csrss.exe               508    500     10        0      1      0 2019-09-16 19:10:43 UTC+0000                                 
0xffff850763336080 wininit.exe             528    428      1        0      0      0 2019-09-16 19:10:50 UTC+0000                                 
0xffff850763dbb080 winlogon.exe            584    500      2        0      1      0 2019-09-16 19:11:04 UTC+0000                                 
0xffff850763dff540 services.exe            640    528      4        0      0      0 2019-09-16 19:11:14 UTC+0000                                 
0xffff850763da6080 lsass.exe               660    528      7        0      0      0 2019-09-16 19:11:17 UTC+0000                                 
0xffff850764237500 svchost.exe             740    640     13        0      0      0 2019-09-16 19:11:37 UTC+0000                                 
0xffff850764254080 svchost.exe             812    640     10        0      0      0 2019-09-16 19:11:43 UTC+0000                                 
0xffff850764276800 svchost.exe             916    640     47        0      0      0 2019-09-16 19:11:52 UTC+0000                                 
0xffff8507642ca800 svchost.exe             928    640     43        0      0      0 2019-09-16 19:11:52 UTC+0000                                 
0xffff8507642ed800 dwm.exe                 988    584     10        0      1      0 2019-09-16 19:11:52 UTC+0000                                 
0xffff8507642ec740 svchost.exe            1000    640     15        0      0      0 2019-09-16 19:11:52 UTC+0000                                 
0xffff850764386080 svchost.exe             504    640     19        0      0      0 2019-09-16 19:11:55 UTC+0000                                 
0xffff85076359c080 svchost.exe             428    640     16        0      0      0 2019-09-16 19:11:55 UTC+0000                                 
0xffff85076439e800 svchost.exe             884    640     23        0      0      0 2019-09-16 19:11:58 UTC+0000                                 
0xffff850762a12240 svchost.exe            1180    640      4        0      0      0 2019-09-16 19:12:01 UTC+0000                                 
0xffff850762bbb800 svchost.exe            1384    640      6        0      0      0 2019-09-16 19:12:05 UTC+0000                                 
0xffff850763644800 spoolsv.exe            1556    640      9        0      0      0 2019-09-16 19:12:07 UTC+0000                                 
0xffff850763cb2800 svchost.exe            1964    640     12        0      0      0 2019-09-16 19:12:20 UTC+0000                                 
0xffff850763cb0800 ruby.exe               1992    640      9        0      0      0 2019-09-16 19:12:20 UTC+0000                                 
0xffff850763c82080 vmtoolsd.exe           1372    640      9        0      0      0 2019-09-16 19:12:21 UTC+0000                                 
0xffff85076367f2c0 VGAuthService.         1376    640      2        0      0      0 2019-09-16 19:12:21 UTC+0000                                 
0xffff850763737280 winlogbeat.exe         2060    640     17        0      0      0 2019-09-16 19:12:22 UTC+0000                                 
0xffff85076374e080 Sysmon.exe             2096    640     13        0      0      0 2019-09-16 19:12:23 UTC+0000                                 
0xffff85076376a800 MsMpEng.exe            2132    640     24        0      0      0 2019-09-16 19:12:24 UTC+0000                                 
0xffff85076378d040 MemCompression         2156      4      0        0 ------      0 2019-09-16 19:12:25 UTC+0000                                 
0xffff850763786800 prunsrv.exe            2160    640      7        0      0      0 2019-09-16 19:12:25 UTC+0000                                 
0xffff85076378a800 mdm.exe                2176    640      3        0      0      1 2019-09-16 19:12:25 UTC+0000                                 
0xffff8507637d8800 conhost.exe            2260   2160      3        0      0      0 2019-09-16 19:12:26 UTC+0000                                 
0xffff85076451b080 java.exe               2488   2160     29        0      0      1 2019-09-16 19:12:29 UTC+0000                                 
0xffff850761adc800 svchost.exe            2784    640      4        0      0      0 2019-09-16 19:12:32 UTC+0000                                 
0xffff850761e0f800 dllhost.exe            2264    640     10        0      0      0 2019-09-16 19:12:56 UTC+0000                                 
0xffff850761ea1780 msdtc.exe              1912    640      9        0      0      0 2019-09-16 19:13:00 UTC+0000                                 
0xffff850764307080 LogonUI.exe            3428    584     13        0      1      0 2019-09-16 19:13:09 UTC+0000                                 
0xffff85076212b800 SearchIndexer.          796    640     13        0      0      0 2019-09-16 19:13:21 UTC+0000                                 
0xffff8507645f8800 NisSrv.exe             2444    640      7        0      0      0 2019-09-16 19:13:24 UTC+0000                                 
0xffff850761f58800 svchost.exe            1664    640      7        0      0      0 2019-09-16 19:14:04 UTC+0000                                 
0xffff850761f89800 WmiPrvSE.exe           3480    740      9        0      0      0 2019-09-16 19:14:22 UTC+0000                                 
0xffff8507622d1800 unsecapp.exe           3124    740      2        0      0      0 2019-09-16 19:14:22 UTC+0000                                 
0xffff85076217b800 GoogleUpdate.e         3168    636      3        0      0      1 2019-09-16 19:16:02 UTC+0000                                 
0xffff850764f0a680 wsmprovhost.ex         3320    740     12        0      0      0 2019-09-17 14:18:03 UTC+0000                                 
0xffff850763cd0680 svchost.exe             776    640      3        0      0      0 2019-09-17 21:10:57 UTC+0000                                 
0xffff850763c63080 wsmprovhost.ex         1528    740     13        0      0      0 2019-09-17 21:13:31 UTC+0000                                 
0xffff850764f11080 wsmprovhost.ex         5112    740     17        0      0      0 2019-09-17 21:13:32 UTC+0000                                 
0xffff850764f76080 systeminfo.exe         1236   5112      0 --------      0      0 2019-09-17 21:13:33 UTC+0000   2019-09-17 21:13:37 UTC+0000  
0xffff850764d04800 DumpIt.exe             4864   5112      3        0      0      0 2019-09-17 21:13:38 UTC+0000                                 
0xffff850763a22080 conhost.exe            4400   4864      3        0      0      0 2019-09-17 21:13:38 UTC+0000                                 
0xffff85076190f080                      34...4      1      0 -------- ------      1                                                              
