Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa08b90eb0040 System                    4      0    139        0 ------      0 2019-09-16 18:40:55 UTC+0000                                 
0xffffa08b9269e040 smss.exe                300      4      2        0 ------      0 2019-09-16 18:40:57 UTC+0000                                 
0xffffa08b92969700 csrss.exe               408    400     11        0      0      0 2019-09-16 18:42:06 UTC+0000                                 
0xffffa08b9327d080 smss.exe                480    300      0 --------      1      0 2019-09-16 18:42:11 UTC+0000   2019-09-16 18:42:12 UTC+0000  
0xffffa08b93275080 csrss.exe               488    480     10        0      1      0 2019-09-16 18:42:11 UTC+0000                                 
0xffffa08b93261080 wininit.exe             508    400      1        0      0      0 2019-09-16 18:42:11 UTC+0000                                 
0xffffa08b932b2080 winlogon.exe            548    480      2        0      1      0 2019-09-16 18:42:12 UTC+0000                                 
0xffffa08b93300080 services.exe            612    508      3        0      0      0 2019-09-16 18:42:15 UTC+0000                                 
0xffffa08b932df080 lsass.exe               628    508      8        0      0      0 2019-09-16 18:42:16 UTC+0000                                 
0xffffa08b9323e800 svchost.exe             708    612     14        0      0      0 2019-09-16 18:42:34 UTC+0000                                 
0xffffa08b9323a080 svchost.exe             768    612      9        0      0      0 2019-09-16 18:42:45 UTC+0000                                 
0xffffa08b9380b480 LogonUI.exe             852    548     13        0      1      0 2019-09-16 18:42:46 UTC+0000                                 
0xffffa08b933f8380 dwm.exe                 876    548     10        0      1      0 2019-09-16 18:42:46 UTC+0000                                 
0xffffa08b93232800 svchost.exe             980    612     48        0      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xffffa08b93230800 svchost.exe             988    612     41        0      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xffffa08b9322e800 svchost.exe             352    612     15        0      0      0 2019-09-16 18:42:50 UTC+0000                                 
0xffffa08b93935540 svchost.exe             680    612     16        0      0      0 2019-09-16 18:42:53 UTC+0000                                 
0xffffa08b938e7800 svchost.exe             676    612     19        0      0      0 2019-09-16 18:42:53 UTC+0000                                 
0xffffa08b9396d800 svchost.exe             752    612     23        0      0      0 2019-09-16 18:42:53 UTC+0000                                 
0xffffa08b9396b800 svchost.exe            1288    612      4        0      0      0 2019-09-16 18:43:44 UTC+0000                                 
0xffffa08b93965800 svchost.exe            1332    612      6        0      0      0 2019-09-16 18:43:50 UTC+0000                                 
0xffffa08b93917800 spoolsv.exe            1692    612      9        0      0      0 2019-09-16 18:44:13 UTC+0000                                 
0xffffa08b90ed7800 svchost.exe            1772    612      7        0      0      0 2019-09-16 18:44:20 UTC+0000                                 
0xffffa08b93b69680 prunsrv.exe            2016    612      7        0      0      0 2019-09-16 18:44:30 UTC+0000                                 
0xffffa08b93b76080 mdm.exe                2032    612      3        0      0      1 2019-09-16 18:44:30 UTC+0000                                 
0xffffa08b93b56800 svchost.exe            2044    612     12        0      0      0 2019-09-16 18:44:30 UTC+0000                                 
0xffffa08b93bec040 MemCompression          896      4      0        0 ------      0 2019-09-16 18:44:30 UTC+0000                                 
0xffffa08b93b3a800 esensor.exe             644    612     45        0      0      0 2019-09-16 18:44:31 UTC+0000                                 
0xffffa08b93b38800 MsMpEng.exe             496    612     25        0      0      0 2019-09-16 18:44:31 UTC+0000                                 
0xffffa08b93bf2800 vmtoolsd.exe           1416    612      9        0      0      0 2019-09-16 18:44:31 UTC+0000                                 
0xffffa08b92a38800 VGAuthService.         1444    612      2        0      0      0 2019-09-16 18:44:31 UTC+0000                                 
0xffffa08b93bee080 conhost.exe            2204   2016      3        0      0      0 2019-09-16 18:44:36 UTC+0000                                 
0xffffa08b924ce480 svchost.exe            2408    612      4        0      0      0 2019-09-16 18:44:46 UTC+0000                                 
0xffffa08b93884800 java.exe               2676   2016     21        0      0      1 2019-09-16 18:44:55 UTC+0000                                 
0xffffa08b92fee080 dllhost.exe            1764    612     10        0      0      0 2019-09-16 18:45:48 UTC+0000                                 
0xffffa08b9131c800 msdtc.exe              3304    612      9        0      0      0 2019-09-16 18:46:58 UTC+0000                                 
0xffffa08b910b7080 NisSrv.exe             3836    612      9        0      0      0 2019-09-16 18:48:01 UTC+0000                                 
0xffffa08b93af5080 WmiPrvSE.exe           1156    708      8        0      0      0 2019-09-16 18:49:24 UTC+0000                                 
0xffffa08b938ec5c0 GoogleUpdate.e         3720   3484      3        0      0      1 2019-09-16 18:50:04 UTC+0000                                 
0xffffa08b9137d080 SearchIndexer.         3484    612     12        0      0      0 2019-09-16 18:53:08 UTC+0000                                 
0xffffa08b93cb8800 sc.exe                 1840   1884      0 --------      0      0 2019-09-17 10:18:11 UTC+0000   2019-09-17 10:18:11 UTC+0000  
0xffffa08b940fb800 sc.exe                 4236   4980      0 --------      0      0 2019-09-17 13:26:15 UTC+0000   2019-09-17 13:26:15 UTC+0000  
0xffffa08b92c15080 wsmprovhost.ex         6120    708     12        0      0      0 2019-09-17 14:18:03 UTC+0000                                 
0xffffa08b93e34800 svchost.exe            5420    612      3        0      0      0 2019-09-17 21:10:57 UTC+0000                                 
0xffffa08b916bc080 wsmprovhost.ex         5608    708     14        0      0      0 2019-09-17 21:13:38 UTC+0000                                 
0xffffa08b92bb94c0 wsmprovhost.ex         2728    708     17        0      0      0 2019-09-17 21:13:39 UTC+0000                                 
0xffffa08b92a95800 systeminfo.exe         6092   2728      0 --------      0      0 2019-09-17 21:13:40 UTC+0000   2019-09-17 21:13:45 UTC+0000  
0xffffa08b92c4c800 -------------------- 24...6      0      0 -------- ------      0                                                              
0xffffa08b92c4c7f8                      393216      0      0 -------- ------      0                                                              
