Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff9386944b8040 System                    4      0    123        0 ------      0 2019-09-16 18:38:40 UTC+0000                                 
0xffff938695e1f800 smss.exe                300      4      2        0 ------      0 2019-09-16 18:38:40 UTC+0000                                 
0xffff9386965c3080 csrss.exe               396    388     13        0      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696ae1080 smss.exe                460    300      0 --------      1      0 2019-09-16 18:39:01 UTC+0000   2019-09-16 18:39:01 UTC+0000  
0xffff938696add580 wininit.exe             468    388      1        0      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696ad7080 csrss.exe               476    460     10        0      1      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696b22080 winlogon.exe            544    460      2        0      1      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696b72080 services.exe            592    468      4        0      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696b77500 lsass.exe               600    468      7        0      0      0 2019-09-16 18:39:01 UTC+0000                                 
0xffff938696b68800 svchost.exe             684    592     14        0      0      0 2019-09-16 18:39:02 UTC+0000                                 
0xffff938696aa3800 svchost.exe             744    592     10        0      0      0 2019-09-16 18:39:03 UTC+0000                                 
0xffff938697015080 LogonUI.exe             836    544     13        0      1      0 2019-09-16 18:39:03 UTC+0000                                 
0xffff93869707f080 dwm.exe                 852    544     10        0      1      0 2019-09-16 18:39:03 UTC+0000                                 
0xffff9386970a84c0 svchost.exe             920    592     50        0      0      0 2019-09-16 18:39:05 UTC+0000                                 
0xffff938696a9b800 svchost.exe             976    592     15        0      0      0 2019-09-16 18:39:05 UTC+0000                                 
0xffff93869711e800 svchost.exe              72    592     42        0      0      0 2019-09-16 18:39:05 UTC+0000                                 
0xffff938697120800 svchost.exe             340    592     17        0      0      0 2019-09-16 18:39:06 UTC+0000                                 
0xffff938697113800 svchost.exe             348    592     18        0      0      0 2019-09-16 18:39:06 UTC+0000                                 
0xffff938697111800 svchost.exe             352    592     23        0      0      0 2019-09-16 18:39:06 UTC+0000                                 
