Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc90e954b8040 System                    4      0    106        0 ------      0 2019-09-16 18:53:43 UTC+0000                                 
0xffffc90e96e49440 smss.exe                300      4      2        0 ------      0 2019-09-16 18:53:51 UTC+0000                                 
0xffffc90e96085080 csrss.exe               412    404     10        0      0      0 2019-09-16 19:13:52 UTC+0000                                 
0xffffc90e97323080 smss.exe                480    300      0 --------      1      0 2019-09-16 19:16:09 UTC+0000   2019-09-16 19:16:47 UTC+0000  
0xffffc90e96ec8080 csrss.exe               488    480     11        0      1      0 2019-09-16 19:16:10 UTC+0000                                 
0xffffc90e972f1080 wininit.exe             532    404      1        0      0      0 2019-09-16 19:16:29 UTC+0000                                 
0xffffc90e960a3080 winlogon.exe            544    480      2        0      1      0 2019-09-16 19:16:42 UTC+0000                                 
0xffffc90e97945080 services.exe            628    532      4        0      0      0 2019-09-16 19:20:59 UTC+0000                                 
0xffffc90e97956080 lsass.exe               648    532      7        0      0      0 2019-09-16 19:23:36 UTC+0000                                 
0xffffc90e97997800 svchost.exe             752    628     14        0      0      0 2019-09-16 19:28:38 UTC+0000                                 
0xffffc90e979ec080 svchost.exe             820    628     11        0      0      0 2019-09-16 19:28:49 UTC+0000                                 
0xffffc90e97e26680 LogonUI.exe             940    544     13        0      1      0 2019-09-16 19:28:56 UTC+0000                                 
0xffffc90e97e23080 dwm.exe                 948    544     10        0      1      0 2019-09-16 19:28:56 UTC+0000                                 
0xffffc90e97e5f800 svchost.exe             968    628     46        0      0      0 2019-09-16 19:28:56 UTC+0000                                 
0xffffc90e97e84800 svchost.exe              72    628     15        0      0      0 2019-09-16 19:28:56 UTC+0000                                 
0xffffc90e979f8800 svchost.exe             352    628     42        0      0      0 2019-09-16 19:28:56 UTC+0000                                 
0xffffc90e97eff800 svchost.exe             668    628     19        0      0      0 2019-09-16 19:29:01 UTC+0000                                 
0xffffc90e97ee2800 svchost.exe             656    628     16        0      0      0 2019-09-16 19:29:01 UTC+0000                                 
0xffffc90e97e36080 svchost.exe             644    628     23        0      0      0 2019-09-16 19:29:02 UTC+0000                                 
0xffffc90e97f9d800 svchost.exe            1240    628      4        0      0      0 2019-09-16 19:29:07 UTC+0000                                 
0xffffc90e97f80800 svchost.exe            1424    628      6        0      0      0 2019-09-16 19:29:10 UTC+0000                                 
0xffffc90e97f72800 spoolsv.exe            1644    628      9        0      0      0 2019-09-16 19:29:12 UTC+0000                                 
0xffffc90e96437780 svchost.exe            1992    628     13        0      0      0 2019-09-16 19:29:31 UTC+0000                                 
0xffffc90e97063800 VGAuthService.         1440    628      2        0      0      0 2019-09-16 19:29:32 UTC+0000                                 
0xffffc90e976cc380 TaniumClient.e         1868    628     11        0      0      1 2019-09-16 19:29:34 UTC+0000                                 
0xffffc90e97604080 esensor.exe            1972    628     45        0      0      0 2019-09-16 19:29:35 UTC+0000                                 
0xffffc90e97869800 mdm.exe                 728    628      3        0      0      1 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e976ef800 prunsrv.exe            2080    628      7        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e976265c0 vmtoolsd.exe           2088    628      9        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e976e9800 winlogbeat.exe         2096    628     17        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e97684800 MsMpEng.exe            2112    628     25        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e976e7800 Sysmon.exe             2124    628     13        0      0      0 2019-09-16 19:29:36 UTC+0000                                 
0xffffc90e976ad040 MemCompression         2192      4      0        0 ------      0 2019-09-16 19:29:37 UTC+0000                                 
0xffffc90e9770e080 conhost.exe            2224   2080      3        0      0      0 2019-09-16 19:29:38 UTC+0000                                 
0xffffc90e977e4800 java.exe               2536   2080     21        0      0      1 2019-09-16 19:29:42 UTC+0000                                 
0xffffc90e970b4080 svchost.exe            2672    628      4        0      0      0 2019-09-16 19:29:45 UTC+0000                                 
0xffffc90e95ad2400 svchost.exe            2468    628      7        0      0      0 2019-09-16 19:30:10 UTC+0000                                 
0xffffc90e95c5e080 dllhost.exe            3152    628     10        0      0      0 2019-09-16 19:30:13 UTC+0000                                 
0xffffc90e95cb4080 msdtc.exe              3404    628      9        0      0      0 2019-09-16 19:30:17 UTC+0000                                 
0xffffc90e97954540 NisSrv.exe             4044    628      8        0      0      0 2019-09-16 19:30:53 UTC+0000                                 
0xffffc90e95a2d800 WmiPrvSE.exe           2604    752      9        0      0      0 2019-09-16 19:32:26 UTC+0000                                 
0xffffc90e95a2b800 unsecapp.exe           3520    752      3        0      0      0 2019-09-16 19:32:26 UTC+0000                                 
0xffffc90e95f72800 GoogleUpdate.e         4104   4940      3        0      0      1 2019-09-16 19:33:51 UTC+0000                                 
0xffffc90e97059800 SearchIndexer.          564    628     12        0      0      0 2019-09-16 19:33:55 UTC+0000                                 
0xffffc90e98a99080 sc.exe                 4176   3480      0 --------      0      0 2019-09-17 10:18:13 UTC+0000   2019-09-17 10:18:13 UTC+0000  
0xffffc90e98aa9800 conhost.exe            4600   4176      0 --------      0      0 2019-09-17 10:18:13 UTC+0000   2019-09-17 10:18:13 UTC+0000  
0xffffc90e95517080 wsmprovhost.ex         2328    752     12        0      0      0 2019-09-17 14:18:04 UTC+0000                                 
0xffffc90e988e1800 TaniumClient.e         1812   1868      5        0      0      1 2019-09-17 17:27:36 UTC+0000                                 
0xffffc90e9893d800 conhost.exe            5592   1812      3        0      0      0 2019-09-17 17:27:36 UTC+0000                                 
0xffffc90e98698800 svchost.exe            3644    628      3        0      0      0 2019-09-17 21:11:21 UTC+0000                                 
0xffffc90e98889800 wsmprovhost.ex         4948    752     13        0      0      0 2019-09-17 21:13:52 UTC+0000                                 
0xffffc90e98a8c800 wsmprovhost.ex         3760    752     17        0      0      0 2019-09-17 21:13:53 UTC+0000                                 
0xffffc90e97771800 systeminfo.exe         3764   3760      0 --------      0      0 2019-09-17 21:13:54 UTC+0000   2019-09-17 21:13:59 UTC+0000  
0xffffc90e98630800 DumpIt.exe             4296   3760      3        0      0      0 2019-09-17 21:13:59 UTC+0000                                 
0xffffc90e98b88080 conhost.exe            4980   4296      3        0      0      0 2019-09-17 21:13:59 UTC+0000                                 
