Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff8781682b8040 System                    4      0    107        0 ------      0 2019-09-16 18:38:44 UTC+0000                                 
0xffff878169bf7040 smss.exe                304      4      2        0 ------      0 2019-09-16 18:38:44 UTC+0000                                 
0xffff878169f87080 csrss.exe               392    384     13        0      0      0 2019-09-16 18:39:11 UTC+0000                                 
0xffff87816a01c440 smss.exe                456    304      0 --------      1      0 2019-09-16 18:39:11 UTC+0000   2019-09-16 18:39:12 UTC+0000  
0xffff87816a018400 wininit.exe             464    384      1        0      0      0 2019-09-16 18:39:11 UTC+0000                                 
0xffff87816a014140 csrss.exe               472    456     10        0      1      0 2019-09-16 18:39:11 UTC+0000                                 
0xffff87816a081340 winlogon.exe            516    456      2        0      1      0 2019-09-16 18:39:11 UTC+0000                                 
0xffff878168e79800 services.exe            568    464      4        0      0      0 2019-09-16 18:39:12 UTC+0000                                 
0xffff878168e69540 lsass.exe               596    464      7        0      0      0 2019-09-16 18:39:13 UTC+0000                                 
0xffff87816a12c080 svchost.exe             680    568     14        0      0      0 2019-09-16 18:39:14 UTC+0000                                 
0xffff87816a19c080 svchost.exe             744    568     11        0      0      0 2019-09-16 18:39:17 UTC+0000                                 
0xffff87816a1c1440 LogonUI.exe             848    516     13        0      1      0 2019-09-16 18:39:19 UTC+0000                                 
0xffff87816a1bc800 dwm.exe                 864    516     10        0      1      0 2019-09-16 18:39:19 UTC+0000                                 
0xffff87816a1b4800 svchost.exe             920    568     47        0      0      0 2019-09-16 18:39:20 UTC+0000                                 
0xffff87816a1b2800 svchost.exe             928    568     42        0      0      0 2019-09-16 18:39:20 UTC+0000                                 
0xffff87816a1b0800 svchost.exe             980    568     15        0      0      0 2019-09-16 18:39:20 UTC+0000                                 
0xffff87816acba700 svchost.exe             964    568     19        0      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xffff87816ac3c700 svchost.exe             564    568     17        0      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xffff87816a18e800 svchost.exe            1092    568     23        0      0      0 2019-09-16 18:39:24 UTC+0000                                 
0xffff878169b35800 svchost.exe            1220    568      4        0      0      0 2019-09-16 18:39:30 UTC+0000                                 
0xffff87816ad55080 svchost.exe            1268    568      6        0      0      0 2019-09-16 18:39:30 UTC+0000                                 
0xffff878169ac8800 spoolsv.exe            1400    568      9        0      0      0 2019-09-16 18:39:36 UTC+0000                                 
0xffff87816a6a1800 svchost.exe            1344    568     12        0      0      0 2019-09-16 18:40:03 UTC+0000                                 
0xffff87816a697800 prunsrv.exe            1844    568      7        0      0      0 2019-09-16 18:40:04 UTC+0000                                 
0xffff87816a68b800 mdm.exe                1832    568      3        0      0      1 2019-09-16 18:40:05 UTC+0000                                 
0xffff87816a6fb800 vmtoolsd.exe           1072    568      9        0      0      0 2019-09-16 18:40:05 UTC+0000                                 
0xffff87816a7004c0 esensor.exe            2068    568     45        0      0      0 2019-09-16 18:40:05 UTC+0000                                 
0xffff87816a6f1800 VGAuthService.         2088    568      2        0      0      0 2019-09-16 18:40:06 UTC+0000                                 
0xffff87816a6f7800 Sysmon.exe             2100    568     14        0      0      0 2019-09-16 18:40:06 UTC+0000                                 
0xffff87816a6f0800 MsMpEng.exe            2116    568     23        0      0      0 2019-09-16 18:40:06 UTC+0000                                 
0xffff87816a6ef800 winlogbeat.exe         2140    568     16        0      0      0 2019-09-16 18:40:06 UTC+0000                                 
0xffff87816af88040 MemCompression         2172      4      0        0 ------      0 2019-09-16 18:40:07 UTC+0000                                 
0xffff87816a0f1080 conhost.exe            2268   1844      3        0      0      0 2019-09-16 18:40:14 UTC+0000                                 
0xffff87816a40a080 java.exe               2616   1844     29        0      0      1 2019-09-16 18:40:27 UTC+0000                                 
0xffff87816a505800 svchost.exe            2856    568      4        0      0      0 2019-09-16 18:40:37 UTC+0000                                 
0xffff87816b136800 dllhost.exe            2884    568     10        0      0      0 2019-09-16 18:41:50 UTC+0000                                 
0xffff87816a500800 msdtc.exe              1980    568      9        0      0      0 2019-09-16 18:41:59 UTC+0000                                 
0xffff87816b031080 svchost.exe            3136    568      7        0      0      0 2019-09-16 18:42:15 UTC+0000                                 
