Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffcb07016b8040 System                    4      0    108        0 ------      0 2019-09-16 18:38:12 UTC+0000                                 
0xffffcb0702464040 smss.exe                292      4      2        0 ------      0 2019-09-16 18:38:12 UTC+0000                                 
0xffffcb070225d400 csrss.exe               384    376     11        0      0      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb0703442080 smss.exe                448    292      0 --------      1      0 2019-09-16 18:38:30 UTC+0000   2019-09-16 18:38:30 UTC+0000  
0xffffcb070343e080 wininit.exe             456    376      1        0      0      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb070343a440 csrss.exe               464    448     10        0      1      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb0703486080 winlogon.exe            508    448      2        0      1      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb0703370480 services.exe            560    456      4        0      0      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb07034b7800 lsass.exe               588    456      8        0      0      0 2019-09-16 18:38:30 UTC+0000                                 
0xffffcb0703337800 svchost.exe             676    560     13        0      0      0 2019-09-16 18:38:33 UTC+0000                                 
0xffffcb07035ab080 svchost.exe             740    560     10        0      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffcb0703590800 svchost.exe             868    560     46        0      0      0 2019-09-16 18:38:35 UTC+0000                                 
0xffffcb070358e800 svchost.exe             876    560     42        0      0      0 2019-09-16 18:38:35 UTC+0000                                 
0xffffcb070358a800 svchost.exe             928    560     15        0      0      0 2019-09-16 18:38:36 UTC+0000                                 
0xffffcb0703584800 svchost.exe             984    560     17        0      0      0 2019-09-16 18:38:36 UTC+0000                                 
0xffffcb0703582800 svchost.exe             992    560     18        0      0      0 2019-09-16 18:38:36 UTC+0000                                 
0xffffcb07040fa800 svchost.exe             644    560     23        0      0      0 2019-09-16 18:38:37 UTC+0000                                 
0xffffcb070411c700 LogonUI.exe            1148    508     13        0      1      0 2019-09-16 18:38:45 UTC+0000                                 
0xffffcb07019c9800 dwm.exe                1204    508     10        0      1      0 2019-09-16 18:38:51 UTC+0000                                 
0xffffcb0704199800 svchost.exe            1220    560      4        0      0      0 2019-09-16 18:38:57 UTC+0000                                 
0xffffcb07040ee800 svchost.exe            1360    560      6        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffcb0704083800 spoolsv.exe            1548    560      9        0      0      0 2019-09-16 18:39:22 UTC+0000                                 
0xffffcb0704454800 svchost.exe            1944    560     13        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704450800 mdm.exe                1972    560      3        0      0      1 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb070444e800 prunsrv.exe            1984    560      7        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704448800 esensor.exe            2040    560     45        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704444800 conhost.exe            1048   1984      3        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704440800 MsMpEng.exe            1320    560     26        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704446800 Sysmon.exe             1172    560     14        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb07044d3540 winlogbeat.exe         1456    560     16        0      0      0 2019-09-16 18:39:40 UTC+0000                                 
0xffffcb0704517800 vmtoolsd.exe           1508    560      9        0      0      0 2019-09-16 18:39:42 UTC+0000                                 
0xffffcb07044cd080 VGAuthService.         1656    560      2        0      0      0 2019-09-16 18:39:42 UTC+0000                                 
0xffffcb07045a7680 MemCompression         2080      4      0        0 ------      0 2019-09-16 18:39:46 UTC+0000                                 
0xffffcb07035d6800 java.exe               2180   1984     29        0      0      1 2019-09-16 18:39:52 UTC+0000                                 
0xffffcb0701725800 svchost.exe            2936    560      4        0      0      0 2019-09-16 18:40:30 UTC+0000                                 
0xffffcb070170d800 svchost.exe            1136    560      7        0      0      0 2019-09-16 18:40:35 UTC+0000                                 
0xffffcb070170b800 dllhost.exe            2192    560     10        0      0      0 2019-09-16 18:40:35 UTC+0000                                 
0xffffcb07018bb800 msdtc.exe               516    560      9        0      0      0 2019-09-16 18:40:47 UTC+0000                                 
0xffffcb07047bf800 NisSrv.exe             3844    560      8        0      0      0 2019-09-16 18:41:38 UTC+0000                                 
0xffffcb0702e19080 WmiPrvSE.exe           2728    676      8        0      0      0 2019-09-16 18:42:33 UTC+0000                                 
0xffffcb0702af4080 unsecapp.exe           2628    676      3        0      0      0 2019-09-16 18:42:34 UTC+0000                                 
0xffffcb070469d080 GoogleUpdate.e         3952   3492      3        0      0      1 2019-09-16 18:44:16 UTC+0000                                 
0xffffcb0702e9b080 SearchIndexer.         3052    560     14        0      0      0 2019-09-16 18:46:13 UTC+0000                                 
0xffffcb070416e3c0 wsmprovhost.ex         6048    676     12        0      0      0 2019-09-17 14:18:04 UTC+0000                                 
0xffffcb0701a83080 svchost.exe             836    560      3        0      0      0 2019-09-17 21:11:21 UTC+0000                                 
