Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffb40b2b4b8040 System                    4      0    114        0 ------      0 2019-09-16 18:38:13 UTC+0000                                 
0xffffb40b2cdd7040 smss.exe                292      4      2        0 ------      0 2019-09-16 18:38:13 UTC+0000                                 
0xffffb40b2b5fa080 csrss.exe               388    380     12        0      0      0 2019-09-16 18:38:25 UTC+0000                                 
0xffffb40b2d26f080 smss.exe                452    292      0 --------      1      0 2019-09-16 18:38:25 UTC+0000   2019-09-16 18:38:26 UTC+0000  
0xffffb40b2d26b080 wininit.exe             460    380      1        0      0      0 2019-09-16 18:38:25 UTC+0000                                 
0xffffb40b2d266080 csrss.exe               468    452     10        0      1      0 2019-09-16 18:38:26 UTC+0000                                 
0xffffb40b2d290080 winlogon.exe            512    452      2        0      1      0 2019-09-16 18:38:26 UTC+0000                                 
0xffffb40b2d304080 services.exe            584    460      4        0      0      0 2019-09-16 18:38:27 UTC+0000                                 
0xffffb40b2d2fb080 lsass.exe               600    460      8        0      0      0 2019-09-16 18:38:27 UTC+0000                                 
0xffffb40b2d249800 svchost.exe             676    584     14        0      0      0 2019-09-16 18:38:32 UTC+0000                                 
0xffffb40b2d243800 svchost.exe             740    584     10        0      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2d9e5080 LogonUI.exe             844    512     13        0      1      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2d23f800 svchost.exe             900    584     44        0      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2d23d800 svchost.exe             908    584     41        0      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2d23b800 svchost.exe             952    584     15        0      0      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2de43080 dwm.exe                1000    512     10        0      1      0 2019-09-16 18:38:34 UTC+0000                                 
0xffffb40b2de33080 svchost.exe              76    584     16        0      0      0 2019-09-16 18:38:35 UTC+0000                                 
0xffffb40b2d231800 svchost.exe             280    584     19        0      0      0 2019-09-16 18:38:35 UTC+0000                                 
0xffffb40b2de88800 svchost.exe             380    584     23        0      0      0 2019-09-16 18:38:36 UTC+0000                                 
0xffffb40b2d03e800 svchost.exe            1212    584      4        0      0      0 2019-09-16 18:38:44 UTC+0000                                 
0xffffb40b2d9c2800 svchost.exe            1344    584      6        0      0      0 2019-09-16 18:39:03 UTC+0000                                 
0xffffb40b2de0e800 spoolsv.exe            1484    584      9        0      0      0 2019-09-16 18:39:05 UTC+0000                                 
0xffffb40b2d38c580 prunsrv.exe            1780    584      7        0      0      0 2019-09-16 18:39:15 UTC+0000                                 
0xffffb40b2b4f9800 esensor.exe            1876    584     45        0      0      0 2019-09-16 18:39:15 UTC+0000                                 
0xffffb40b2b4d8800 conhost.exe             648   1780      3        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2d878800 vmtoolsd.exe           1324    584      9        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2d876800 VGAuthService.          748    584      2        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2ccd1500 MsMpEng.exe            1420    584     26        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2d86e800 winlogbeat.exe          264    584     17        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2d87d4c0 Sysmon.exe             2076    584     13        0      0      0 2019-09-16 18:39:18 UTC+0000                                 
0xffffb40b2d85e040 MemCompression         2172      4      0        0 ------      0 2019-09-16 18:39:19 UTC+0000                                 
0xffffb40b2d620800 svchost.exe            2292    584     12        0      0      0 2019-09-16 18:39:20 UTC+0000                                 
0xffffb40b2d6a9080 mdm.exe                2316    584      3        0      0      1 2019-09-16 18:39:21 UTC+0000                                 
0xffffb40b2d694440 java.exe               2404   1780     29        0      0      1 2019-09-16 18:39:23 UTC+0000                                 
0xffffb40b2e2c7080 svchost.exe            3000    584      4        0      0      0 2019-09-16 18:39:42 UTC+0000                                 
0xffffb40b2e2b0800 dllhost.exe            2472    584     10        0      0      0 2019-09-16 18:39:52 UTC+0000                                 
0xffffb40b2e16f800 msdtc.exe              3420    584      9        0      0      0 2019-09-16 18:40:19 UTC+0000                                 
0xffffb40b2e461800 svchost.exe            3464    584      7        0      0      0 2019-09-16 18:40:22 UTC+0000                                 
0xffffb40b2e521800 NisSrv.exe             4028    584      9        0      0      0 2019-09-16 18:40:53 UTC+0000                                 
0xffffb40b2d82c080 WmiPrvSE.exe           2804    676      8        0      0      0 2019-09-16 18:42:09 UTC+0000                                 
0xffffb40b2dea4080 unsecapp.exe           2520    676      3        0      0      0 2019-09-16 18:42:09 UTC+0000                                 
0xffffb40b2b4f3080 GoogleUpdate.e         1992   3920      3        0      0      1 2019-09-16 18:43:39 UTC+0000                                 
0xffffb40b2cd07080 SearchIndexer.         3908    584     13        0      0      0 2019-09-16 18:45:28 UTC+0000                                 
0xffffb40b2e69b800 sc.exe                 1728   4036      0 --------      0      0 2019-09-17 10:18:11 UTC+0000   2019-09-17 10:18:11 UTC+0000  
0xffffb40b2e754800 conhost.exe            4368   3328      0 --------      0      0 2019-09-17 10:18:24 UTC+0000   2019-09-17 10:18:24 UTC+0000  
0xffffb40b2eaea800 sc.exe                 3876   4416      0 --------      0      0 2019-09-17 13:26:05 UTC+0000   2019-09-17 13:26:05 UTC+0000  
0xffffb40b2e415800 wsmprovhost.ex         6064    676     12        0      0      0 2019-09-17 14:18:06 UTC+0000                                 
0xffffb40b2d7d7080 svchost.exe            3192    584      4        0      0      0 2019-09-17 21:11:21 UTC+0000                                 
0xffffb40b2d66d780 wsmprovhost.ex          312    676     13        0      0      0 2019-09-17 21:14:00 UTC+0000                                 
0xffffb40b2e3d0800 wsmprovhost.ex         5296    676     16        0      0      0 2019-09-17 21:14:01 UTC+0000                                 
0xffffb40b2e1c6080 HOSTNAME.EXE            820   5296      0 --------      0      0 2019-09-17 21:14:02 UTC+0000   2019-09-17 21:14:02 UTC+0000  
0xffffb40b2bdb4080 systeminfo.exe         4756   5296      0 --------      0      0 2019-09-17 21:14:02 UTC+0000   2019-09-17 21:14:13 UTC+0000  
0xffffb40b2beb8800 DumpIt.exe             5216   5296      3        0      0      0 2019-09-17 21:14:15 UTC+0000                                 
0xffffb40b2be61800 conhost.exe            5616   5216      3        0      0      0 2019-09-17 21:14:15 UTC+0000                                 
0xffffb40b2e725800                          0  47684 57...4 -------- ------      0                                                              
