Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff818f684b0040 System                    4      0     95        0 ------      0 2019-09-16 18:48:44 UTC+0000                                 
0xffff818f69c94040 smss.exe                296      4      2        0 ------      0 2019-09-16 18:48:44 UTC+0000                                 
0xffff818f69fc9080 csrss.exe               428    416     11        0      0      0 2019-09-16 18:51:30 UTC+0000                                 
0xffff818f6a112080 smss.exe                492    296      0 --------      1      0 2019-09-16 18:51:59 UTC+0000   2019-09-16 18:52:02 UTC+0000  
0xffff818f6a10f080 csrss.exe               500    492     11        0      1      0 2019-09-16 18:51:59 UTC+0000                                 
0xffff818f6a0f9080 wininit.exe             544    416      1        0      0      0 2019-09-16 18:52:02 UTC+0000                                 
0xffff818f6a0f7080 winlogon.exe            552    492      2        0      1      0 2019-09-16 18:52:02 UTC+0000                                 
0xffff818f6a132800 services.exe            628    544      4        0      0      0 2019-09-16 18:52:14 UTC+0000                                 
0xffff818f6a151800 lsass.exe               636    544      7        0      0      0 2019-09-16 18:52:17 UTC+0000                                 
0xffff818f6a0b9800 svchost.exe             720    628     13        0      0      0 2019-09-16 18:52:45 UTC+0000                                 
0xffff818f69fc8080 svchost.exe             788    628      8        0      0      0 2019-09-16 18:53:12 UTC+0000                                 
0xffff818f687f5080 LogonUI.exe             892    552     11        0      1      0 2019-09-16 18:53:30 UTC+0000                                 
0xffff818f690935c0 dwm.exe                 912    552     10        0      1      0 2019-09-16 18:53:30 UTC+0000                                 
0xffff818f6a0af800 svchost.exe             964    628     40        0      0      0 2019-09-16 18:53:33 UTC+0000                                 
0xffff818f6a0ad800 svchost.exe             996    628     15        0      0      0 2019-09-16 18:53:33 UTC+0000                                 
0xffff818f69ba9800 svchost.exe             736    628     18        0      0      0 2019-09-16 18:53:50 UTC+0000                                 
0xffff818f69ba7800 svchost.exe             436    628     15        0      0      0 2019-09-16 18:53:50 UTC+0000                                 
0xffff818f69ae5800 svchost.exe            1116    628     23        0      0      0 2019-09-16 18:54:03 UTC+0000                                 
0xffff818f6acc5800 svchost.exe            1212    628     47        0      0      0 2019-09-16 18:54:07 UTC+0000                                 
0xffff818f684e6800 svchost.exe            1644    628      4        0      0      0 2019-09-16 18:54:44 UTC+0000                                 
0xffff818f69fb0500 svchost.exe            1736    628      6        0      0      0 2019-09-16 18:54:51 UTC+0000                                 
0xffff818f6a690800 spoolsv.exe            2000    628      9        0      0      0 2019-09-16 18:55:01 UTC+0000                                 
0xffff818f6adf3080 svchost.exe            1312    628     12        0      0      0 2019-09-16 18:56:46 UTC+0000                                 
0xffff818f6af1b800 MsMpEng.exe            2340    628     24        0      0      0 2019-09-16 18:57:16 UTC+0000                                 
0xffff818f6af39800 MemCompression         2504      4      0        0 ------      0 2019-09-16 18:57:26 UTC+0000                                 
0xffff818f6af7d800 vmtoolsd.exe           2820    628      9        0      0      0 2019-09-16 18:58:02 UTC+0000                                 
0xffff818f6ae14240 svchost.exe            1600    628      4        0      0      0 2019-09-16 19:01:06 UTC+0000                                 
0xffff818f6aeae080 dllhost.exe            2412    628     10        0      0      0 2019-09-16 19:01:53 UTC+0000                                 
0xffff818f686c4800 msdtc.exe              2076    628      9        0      0      0 2019-09-16 19:02:36 UTC+0000                                 
0xffff818f6a547800 GoogleUpdate.e         2644   2520      3        0      0      1 2019-09-16 19:05:00 UTC+0000                                 
0xffff818f68a0e800 SearchIndexer.         3068    628     13        0      0      0 2019-09-16 19:05:24 UTC+0000                                 
0xffff818f68aa9800 svchost.exe            1676    628      7        0      0      0 2019-09-16 19:05:32 UTC+0000                                 
0xffff818f68a20080 NisSrv.exe             3308    628      8        0      0      0 2019-09-16 19:07:01 UTC+0000                                 
0xffff818f6ae9f800 prunsrv.exe            3104    628      7        0      0      0 2019-09-16 19:15:00 UTC+0000                                 
0xffff818f6a3a3080 conhost.exe            2528   3104      3        0      0      0 2019-09-16 19:15:11 UTC+0000                                 
0xffff818f6a13e180 java.exe               2032   3104     29        0      0      1 2019-09-16 19:15:26 UTC+0000                                 
0xffff818f689ad080 WmiPrvSE.exe           4028    720      9        0      0      0 2019-09-16 19:17:45 UTC+0000                                 
0xffff818f6b2b4080 svchost.exe            2404    628      3        0      0      0 2019-09-19 22:31:03 UTC+0000                                 
0xffff818f6a3cd800 wsmprovhost.ex         1436    720     16        0      0      0 2019-09-19 22:32:18 UTC+0000                                 
0xffff818f6ae6e080 systeminfo.exe         2028   1436      0 --------      0      0 2019-09-19 22:32:20 UTC+0000   2019-09-19 22:32:26 UTC+0000  
0xffff818f6b354080 DumpIt.exe             3224   1436      4        0      0      0 2019-09-19 22:32:28 UTC+0000                                 
0xffff818f6b3cf080 conhost.exe             844   3224      3        0      0      0 2019-09-19 22:32:28 UTC+0000                                 
