Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa407528b0040 System                    4      0     95        0 ------      0 2019-09-16 18:49:17 UTC+0000                                 
0xffffa40753fd4040 smss.exe                292      4      2        0 ------      0 2019-09-16 18:49:25 UTC+0000                                 
0xffffa40753bb9540 csrss.exe               404    396     12        0      0      0 2019-09-16 18:51:44 UTC+0000                                 
0xffffa40753efe080 smss.exe                476    292      0 --------      1      0 2019-09-16 18:52:04 UTC+0000   2019-09-16 18:52:08 UTC+0000  
0xffffa407542e7080 csrss.exe               484    476     11        0      1      0 2019-09-16 18:52:04 UTC+0000                                 
0xffffa40754bdd480 wininit.exe             528    396      1        0      0      0 2019-09-16 18:52:06 UTC+0000                                 
0xffffa40754324080 winlogon.exe            540    476      2        0      1      0 2019-09-16 18:52:08 UTC+0000                                 
0xffffa40755068800 services.exe            612    528      4        0      0      0 2019-09-16 18:52:33 UTC+0000                                 
0xffffa407547fe800 lsass.exe               620    528      7        0      0      0 2019-09-16 18:52:36 UTC+0000                                 
0xffffa40754bbb800 svchost.exe             712    612     13        0      0      0 2019-09-16 18:53:19 UTC+0000                                 
0xffffa4075500d080 svchost.exe             776    612     10        0      0      0 2019-09-16 18:54:25 UTC+0000                                 
0xffffa40754bb1800 svchost.exe             916    612     48        0      0      0 2019-09-16 18:55:14 UTC+0000                                 
0xffffa40754baf800 svchost.exe             924    612     40        0      0      0 2019-09-16 18:55:14 UTC+0000                                 
0xffffa40753462800 LogonUI.exe             976    540     12        0      1      0 2019-09-16 18:55:21 UTC+0000                                 
0xffffa4075349a080 dwm.exe                 988    540     10        0      1      0 2019-09-16 18:55:21 UTC+0000                                 
0xffffa40754b78800 svchost.exe            1004    612     15        0      0      0 2019-09-16 18:55:22 UTC+0000                                 
0xffffa40753692800 svchost.exe            1060    612     23        0      0      0 2019-09-16 18:57:15 UTC+0000                                 
0xffffa40753794800 svchost.exe            1068    612     18        0      0      0 2019-09-16 18:57:15 UTC+0000                                 
0xffffa407551e6800 svchost.exe            1076    612     15        0      0      0 2019-09-16 18:57:15 UTC+0000                                 
0xffffa40753f3b800 svchost.exe            1488    612      4        0      0      0 2019-09-16 19:00:59 UTC+0000                                 
0xffffa40753d48800 svchost.exe            1496    612      6        0      0      0 2019-09-16 19:00:59 UTC+0000                                 
0xffffa407528fd800 spoolsv.exe            1796    612      9        0      0      0 2019-09-16 19:01:54 UTC+0000                                 
0xffffa407548cf5c0 svchost.exe            1184    612     12        0      0      0 2019-09-16 19:05:28 UTC+0000                                 
0xffffa40754848040 MemCompression          812      4      0        0 ------      0 2019-09-16 19:06:55 UTC+0000                                 
0xffffa407548497c0 svchost.exe            2800    612      7        0      0      0 2019-09-16 19:35:38 UTC+0000                                 
0xffffa40754aee080 vmtoolsd.exe           2548    612      9        0      0      0 2019-09-16 19:37:01 UTC+0000                                 
0xffffa40755723800 SearchIndexer.         2764    612     13        0      0      0 2019-09-16 19:37:53 UTC+0000                                 
0xffffa407552a3800 svchost.exe            2536    612      4        0      0      0 2019-09-16 19:38:02 UTC+0000                                 
0xffffa407552c5800 GoogleUpdate.e         1664   2784      5        0      0      1 2019-09-16 19:38:22 UTC+0000                                 
0xffffa4075529f800 dllhost.exe            2552    612     10        0      0      0 2019-09-16 19:38:49 UTC+0000                                 
0xffffa407544e2080 msdtc.exe              2944    612      9        0      0      0 2019-09-16 19:39:26 UTC+0000                                 
0xffffa4075515b080 WmiPrvSE.exe           2480    712      9        0      0      0 2019-09-16 19:44:15 UTC+0000                                 
0xffffa40754008080 prunsrv.exe            1152    612      7        0      0      0 2019-09-16 19:45:01 UTC+0000                                 
0xffffa40754bd9800 conhost.exe            2112   1152      3        0      0      0 2019-09-16 19:45:02 UTC+0000                                 
0xffffa40753d2c400 java.exe               1108   1152     29        0      0      1 2019-09-16 19:45:02 UTC+0000                                 
0xffffa4075532d080 MsMpEng.exe            1148    612     21        0      0      0 2019-09-16 19:45:18 UTC+0000                                 
0xffffa40755630080 NisSrv.exe             3200    612     10        0      0      0 2019-09-16 19:45:46 UTC+0000                                 
0xffffa40755803740 wsmprovhost.ex         2412    712     16        0      0      0 2019-09-19 22:32:18 UTC+0000                                 
0xffffa407530ef080 systeminfo.exe         2628   2412      0 --------      0      0 2019-09-19 22:32:20 UTC+0000   2019-09-19 22:32:29 UTC+0000  
0xffffa40753fe9800 DumpIt.exe             4088   2412      3        0      0      0 2019-09-19 22:32:32 UTC+0000                                 
0xffffa40752c88800 conhost.exe            3244   4088      3        0      0      0 2019-09-19 22:32:32 UTC+0000                                 
