Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffd30856cb0040 System                    4      0     99        0 ------      0 2019-09-16 18:36:26 UTC+0000                                 
0xffffd3085849a040 smss.exe                296      4      2        0 ------      0 2019-09-16 18:36:26 UTC+0000                                 
0xffffd308587ea600 csrss.exe               380    372     10        0      0      0 2019-09-16 18:36:33 UTC+0000                                 
0xffffd30857bd4080 smss.exe                444    296      0 --------      1      0 2019-09-16 18:36:33 UTC+0000   2019-09-16 18:36:34 UTC+0000  
0xffffd30858800080 csrss.exe               452    444     10        0      1      0 2019-09-16 18:36:33 UTC+0000                                 
0xffffd30858834080 wininit.exe             472    372      1        0      0      0 2019-09-16 18:36:33 UTC+0000                                 
0xffffd3085886f080 winlogon.exe            512    444      2        0      1      0 2019-09-16 18:36:34 UTC+0000                                 
0xffffd30858854800 services.exe            576    472      4        0      0      0 2019-09-16 18:36:34 UTC+0000                                 
0xffffd30858887800 lsass.exe               592    472      7        0      0      0 2019-09-16 18:36:34 UTC+0000                                 
0xffffd3085895a800 svchost.exe             672    576     14        0      0      0 2019-09-16 18:36:36 UTC+0000                                 
0xffffd30858939480 svchost.exe             732    576     11        0      0      0 2019-09-16 18:36:37 UTC+0000                                 
0xffffd308589e2080 LogonUI.exe             816    512     13        0      1      0 2019-09-16 18:36:37 UTC+0000                                 
0xffffd308589e4080 dwm.exe                 836    512     10        0      1      0 2019-09-16 18:36:37 UTC+0000                                 
0xffffd30858997800 svchost.exe             964    576     53        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd3085898d800 svchost.exe             972    576     40        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd3085898b800 svchost.exe             272    576     15        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd30858983800 svchost.exe             352    576     23        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd30858981800 svchost.exe             344    576     15        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd3085897f800 svchost.exe             332    576     19        0      0      0 2019-09-16 18:36:38 UTC+0000                                 
0xffffd3085952a800 svchost.exe            1220    576      4        0      0      0 2019-09-16 18:36:43 UTC+0000                                 
0xffffd308595e8080 svchost.exe            1272    576      6        0      0      0 2019-09-16 18:36:46 UTC+0000                                 
0xffffd3085951e800 spoolsv.exe            1372    576      9        0      0      0 2019-09-16 18:36:46 UTC+0000                                 
0xffffd30858c8e4c0 prunsrv.exe            1884    576      7        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd3085950e800 svchost.exe            1940    576     13        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858ce7340 ruby.exe               1948    576      9        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858d11800 mdm.exe                1956    576      3        0      0      1 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858d0b800 MsMpEng.exe            2016    576     26        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858d4f280 VGAuthService.         1040    576      2        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858d4e340 vmtoolsd.exe            748    576      9        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
0xffffd30858d07800 winlogbeat.exe         1596    576     17        0      0      0 2019-09-16 18:36:53 UTC+0000                                 
