Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffb5834eeb0040 System                    4      0     98        0 ------      0 2019-09-16 19:20:00 UTC+0000                                 
0xffffb583504a9040 smss.exe                308      4      2        0 ------      0 2019-09-16 19:20:32 UTC+0000                                 
0xffffb5834fb75080 csrss.exe               412    404     12        0      0      0 2019-09-16 19:29:05 UTC+0000                                 
0xffffb5835092a080 smss.exe                484    308      0 --------      1      0 2019-09-16 19:29:12 UTC+0000   2019-09-16 19:29:12 UTC+0000  
0xffffb58350923500 csrss.exe               492    484     11        0      1      0 2019-09-16 19:29:12 UTC+0000                                 
0xffffb5834fb6e300 wininit.exe             512    404      1        0      0      0 2019-09-16 19:29:12 UTC+0000                                 
0xffffb5834fb7b500 winlogon.exe            544    484      2        0      1      0 2019-09-16 19:29:12 UTC+0000                                 
0xffffb583509a3800 services.exe            624    512      4        0      0      0 2019-09-16 19:29:22 UTC+0000                                 
0xffffb5835098c080 lsass.exe               640    512      7        0      0      0 2019-09-16 19:29:26 UTC+0000                                 
0xffffb583508e9800 svchost.exe             716    624     14        0      0      0 2019-09-16 19:29:52 UTC+0000                                 
0xffffb583509fd080 svchost.exe             788    624      9        0      0      0 2019-09-16 19:30:03 UTC+0000                                 
0xffffb583515db800 LogonUI.exe             888    544     13        0      1      0 2019-09-16 19:30:10 UTC+0000                                 
0xffffb583515de5c0 dwm.exe                 900    544     10        0      1      0 2019-09-16 19:30:10 UTC+0000                                 
0xffffb583508df800 svchost.exe             928    624     51        0      0      0 2019-09-16 19:30:10 UTC+0000                                 
0xffffb583508dd800 svchost.exe             940    624     40        0      0      0 2019-09-16 19:30:10 UTC+0000                                 
0xffffb58350072800 svchost.exe            1000    624     15        0      0      0 2019-09-16 19:30:11 UTC+0000                                 
0xffffb583501de800 svchost.exe             732    624     15        0      0      0 2019-09-16 19:30:13 UTC+0000                                 
0xffffb583501fe800 svchost.exe             768    624     18        0      0      0 2019-09-16 19:30:13 UTC+0000                                 
0xffffb58350a4f800 svchost.exe            1100    624     23        0      0      0 2019-09-16 19:30:17 UTC+0000                                 
0xffffb58351647800 svchost.exe            1228    624      4        0      0      0 2019-09-16 19:30:20 UTC+0000                                 
0xffffb583516f7800 svchost.exe            1336    624      6        0      0      0 2019-09-16 19:30:22 UTC+0000                                 
0xffffb58351720080 spoolsv.exe            1468    624      9        0      0      0 2019-09-16 19:30:23 UTC+0000                                 
0xffffb5834ef2e800 svchost.exe            2004    624     13        0      0      0 2019-09-16 19:30:34 UTC+0000                                 
0xffffb58350e67800 prunsrv.exe            1048    624      7        0      0      0 2019-09-16 19:30:35 UTC+0000                                 
0xffffb58350e61800 mdm.exe                1384    624      3        0      0      1 2019-09-16 19:30:35 UTC+0000                                 
0xffffb58350e53800 ruby.exe               2076    624      9        0      0      0 2019-09-16 19:30:36 UTC+0000                                 
0xffffb58350eec080 conhost.exe            2140   1048      3        0      0      0 2019-09-16 19:30:37 UTC+0000                                 
0xffffb58350e49800 winlogbeat.exe         2184    624     16        0      0      0 2019-09-16 19:30:37 UTC+0000                                 
0xffffb58350ec5800 vmtoolsd.exe           2220    624      9        0      0      0 2019-09-16 19:30:37 UTC+0000                                 
0xffffb58350eff300 MsMpEng.exe            2228    624     25        0      0      0 2019-09-16 19:30:37 UTC+0000                                 
0xffffb58350eb6600 VGAuthService.         2248    624      2        0      0      0 2019-09-16 19:30:37 UTC+0000                                 
0xffffb58351917040 MemCompression         2408      4      0        0 ------      0 2019-09-16 19:30:39 UTC+0000                                 
0xffffb58351912700 java.exe               2412   1048     29        0      0      1 2019-09-16 19:30:39 UTC+0000                                 
0xffffb58350c15080 svchost.exe            2652    624      4        0      0      0 2019-09-16 19:30:46 UTC+0000                                 
0xffffb58351afc800 dllhost.exe            2548    624     10        0      0      0 2019-09-16 19:31:15 UTC+0000                                 
0xffffb58351bdf080 msdtc.exe              3208    624      9        0      0      0 2019-09-16 19:31:19 UTC+0000                                 
0xffffb58351898800 NisSrv.exe             3692    624      7        0      0      0 2019-09-16 19:31:32 UTC+0000                                 
0xffffb5834f30e800 svchost.exe             952    624      7        0      0      0 2019-09-16 19:32:16 UTC+0000                                 
0xffffb58351ba9080 WmiPrvSE.exe           2684    716      9        0      0      0 2019-09-16 19:32:22 UTC+0000                                 
0xffffb5834f654080 GoogleUpdate.e         3992   2916      3        0      0      1 2019-09-16 19:33:46 UTC+0000                                 
0xffffb58351851380 SearchIndexer.         3504    624     13        0      0      0 2019-09-16 19:34:01 UTC+0000                                 
0xffffb58350ccf800 wsmprovhost.ex         1344    716     16        0      0      0 2019-09-19 22:32:19 UTC+0000                                 
0xffffb58352012800 systeminfo.exe         3552   1344      0 --------      0      0 2019-09-19 22:32:20 UTC+0000   2019-09-19 22:32:27 UTC+0000  
0xffffb58352046080 DumpIt.exe             1952   1344      3        0      0      0 2019-09-19 22:32:28 UTC+0000                                 
0xffffb5834f4db080 conhost.exe            2716   1952      3        0      0      0 2019-09-19 22:32:29 UTC+0000                                 
