Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff8008b58b0040 System                    4      0    102        0 ------      0 2019-09-16 18:53:18 UTC+0000                                 
0xffff8008b7076040 smss.exe                312      4      2        0 ------      0 2019-09-16 18:53:23 UTC+0000                                 
0xffff8008b7339080 csrss.exe               404    396     12        0      0      0 2019-09-16 18:56:19 UTC+0000                                 
0xffff8008b74d3080 smss.exe                472    312      0 --------      1      0 2019-09-16 18:56:35 UTC+0000   2019-09-16 18:56:37 UTC+0000  
0xffff8008b7504400 csrss.exe               484    472     11        0      1      0 2019-09-16 18:56:35 UTC+0000                                 
0xffff8008b754f080 wininit.exe             528    396      1        0      0      0 2019-09-16 18:56:36 UTC+0000                                 
0xffff8008b753f080 winlogon.exe            544    472      2        0      1      0 2019-09-16 18:56:37 UTC+0000                                 
0xffff8008b750b300 services.exe            616    528      4        0      0      0 2019-09-16 18:56:49 UTC+0000                                 
0xffff8008b759c340 lsass.exe               632    528      8        0      0      0 2019-09-16 18:56:57 UTC+0000                                 
0xffff8008b759d800 svchost.exe             724    616     14        0      0      0 2019-09-16 18:58:13 UTC+0000                                 
0xffff8008b75ef480 svchost.exe             792    616     10        0      0      0 2019-09-16 18:59:33 UTC+0000                                 
0xffff8008b74ab800 svchost.exe             916    616     40        0      0      0 2019-09-16 19:00:38 UTC+0000                                 
0xffff8008b74a9800 svchost.exe             948    616     15        0      0      0 2019-09-16 19:00:40 UTC+0000                                 
0xffff8008b6e4b500 LogonUI.exe             996    544     11        0      1      0 2019-09-16 19:00:46 UTC+0000                                 
0xffff8008b6e4d080 dwm.exe                1012    544     10        0      1      0 2019-09-16 19:00:46 UTC+0000                                 
0xffff8008b6e31080 svchost.exe              68    616     43        0      0      0 2019-09-16 19:00:47 UTC+0000                                 
0xffff8008b8022800 svchost.exe            1076    616     15        0      0      0 2019-09-16 19:01:51 UTC+0000                                 
0xffff8008b8027800 svchost.exe            1080    616     18        0      0      0 2019-09-16 19:01:51 UTC+0000                                 
0xffff8008b805b800 svchost.exe            1096    616     23        0      0      0 2019-09-16 19:01:51 UTC+0000                                 
0xffff8008b8083800 svchost.exe            1328    616      4        0      0      0 2019-09-16 19:02:21 UTC+0000                                 
0xffff8008b70a9080 svchost.exe            1432    616      6        0      0      0 2019-09-16 19:02:23 UTC+0000                                 
0xffff8008b8129800 spoolsv.exe            1596    616      9        0      0      0 2019-09-16 19:02:33 UTC+0000                                 
0xffff8008b7adb800 svchost.exe            1356    616     12        0      0      0 2019-09-16 19:04:19 UTC+0000                                 
0xffff8008b8196800 MsMpEng.exe            1192    616     24        0      0      0 2019-09-16 19:04:55 UTC+0000                                 
0xffff8008b81cb040 MemCompression         1872      4      0        0 ------      0 2019-09-16 19:05:16 UTC+0000                                 
0xffff8008b7929080 svchost.exe            2828    616      7        0      0      0 2019-09-16 19:17:23 UTC+0000                                 
0xffff8008b5aa5080 svchost.exe            2696    616      4        0      0      0 2019-09-16 19:17:34 UTC+0000                                 
0xffff8008b79c8800 vmtoolsd.exe           1344    616      8        0      0      0 2019-09-16 19:18:00 UTC+0000                                 
0xffff8008b5d53080 dllhost.exe            2604    616     10        0      0      0 2019-09-16 19:18:18 UTC+0000                                 
0xffff8008b5e29080 msdtc.exe              2224    616      9        0      0      0 2019-09-16 19:18:39 UTC+0000                                 
0xffff8008b5f69800 prunsrv.exe            2892    616      7        0      0      0 2019-09-16 19:19:01 UTC+0000                                 
0xffff8008b5fab080 conhost.exe            2952   2892      3        0      0      0 2019-09-16 19:19:11 UTC+0000                                 
0xffff8008b5dea800 GoogleUpdate.e         1772   1196      5        0      0      1 2019-09-16 19:19:21 UTC+0000                                 
0xffff8008b792a080 java.exe               2220   2892     21        0      0      1 2019-09-16 19:19:26 UTC+0000                                 
0xffff8008b58aa080 SearchIndexer.         3828    616     13        0      0      0 2019-09-16 19:23:27 UTC+0000                                 
0xffff8008b84ae080 WmiPrvSE.exe           4864    724      8        0      0      0 2019-09-19 22:31:24 UTC+0000                                 
0xffff8008b8538080 wsmprovhost.ex         2572    724     16        0      0      0 2019-09-19 22:32:21 UTC+0000                                 
0xffff8008b5b62080 HOSTNAME.EXE           4320   2572      0 --------      0      0 2019-09-19 22:32:21 UTC+0000   2019-09-19 22:32:21 UTC+0000  
0xffff8008b84e6080 systeminfo.exe         2480   2572      0 --------      0      0 2019-09-19 22:32:21 UTC+0000   2019-09-19 22:32:26 UTC+0000  
0xffff8008b840a080 DumpIt.exe             3132   2572      3        0      0      0 2019-09-19 22:32:27 UTC+0000                                 
0xffff8008b8581800 conhost.exe             972   3132      3        0      0      0 2019-09-19 22:32:27 UTC+0000                                 
0xffff8008b6202080 svchost.exe            3328    616      3        0      0      0 2019-09-19 22:34:35 UTC+0000                                 
