Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffb5806aeb9040 System                    4      0    107        0 ------      0 2019-09-16 18:52:01 UTC+0000                                 
0xffffb5806c5ed040 smss.exe                304      4      2        0 ------      0 2019-09-16 18:52:05 UTC+0000                                 
0xffffb5806ba46080 csrss.exe               396    388     12        0      0      0 2019-09-16 18:54:46 UTC+0000                                 
0xffffb5806cdf8080 smss.exe                460    304      0 --------      1      0 2019-09-16 18:54:58 UTC+0000   2019-09-16 18:55:04 UTC+0000  
0xffffb5806cb4c380 csrss.exe               468    460     11        0      1      0 2019-09-16 18:54:58 UTC+0000                                 
0xffffb5806d1c8080 wininit.exe             512    388      1        0      0      0 2019-09-16 18:55:00 UTC+0000                                 
0xffffb5806cb4b080 winlogon.exe            524    460      2        0      1      0 2019-09-16 18:55:04 UTC+0000                                 
0xffffb5806ba44080 services.exe            596    512      4        0      0      0 2019-09-16 18:55:23 UTC+0000                                 
0xffffb5806d66f080 lsass.exe               616    512      7        0      0      0 2019-09-16 18:55:29 UTC+0000                                 
0xffffb5806d66d4c0 svchost.exe             708    596     13        0      0      0 2019-09-16 18:56:55 UTC+0000                                 
0xffffb5806d668080 svchost.exe             776    596      8        0      0      0 2019-09-16 18:58:10 UTC+0000                                 
0xffffb5806d1f6800 svchost.exe             928    596     40        0      0      0 2019-09-16 18:58:49 UTC+0000                                 
0xffffb5806c428080 LogonUI.exe             940    524     13        0      1      0 2019-09-16 18:58:49 UTC+0000                                 
0xffffb5806c423080 dwm.exe                 952    524     10        0      1      0 2019-09-16 18:58:49 UTC+0000                                 
0xffffb5806c4a3800 svchost.exe             988    596     15        0      0      0 2019-09-16 18:58:54 UTC+0000                                 
0xffffb5806c441080 svchost.exe            1060    596     16        0      0      0 2019-09-16 18:59:39 UTC+0000                                 
0xffffb5806d69c800 svchost.exe            1068    596     19        0      0      0 2019-09-16 18:59:39 UTC+0000                                 
0xffffb5806d7ae800 svchost.exe            1096    596     23        0      0      0 2019-09-16 18:59:45 UTC+0000                                 
0xffffb5806d7aa800 svchost.exe            1140    596     48        0      0      0 2019-09-16 18:59:48 UTC+0000                                 
0xffffb5806d033800 svchost.exe            1484    596      4        0      0      0 2019-09-16 19:01:06 UTC+0000                                 
0xffffb5806d07f800 svchost.exe            1676    596      6        0      0      0 2019-09-16 19:01:18 UTC+0000                                 
0xffffb5806d08b080 spoolsv.exe            1920    596      9        0      0      0 2019-09-16 19:01:30 UTC+0000                                 
0xffffb5806d05d800 svchost.exe            1316    596     13        0      0      0 2019-09-16 19:02:41 UTC+0000                                 
0xffffb5806ce34800 MemCompression         2128      4      0        0 ------      0 2019-09-16 19:03:39 UTC+0000                                 
0xffffb5806b3a8380 vmtoolsd.exe            464    596      9        0      0      0 2019-09-16 19:17:02 UTC+0000                                 
0xffffb5806b25c080 svchost.exe            3060    596      6        0      0      0 2019-09-16 19:17:55 UTC+0000                                 
0xffffb5806cecc800 svchost.exe            3032    596      4        0      0      0 2019-09-16 19:18:16 UTC+0000                                 
0xffffb5806b414800 dllhost.exe            1320    596     10        0      0      0 2019-09-16 19:18:24 UTC+0000                                 
0xffffb5806b479080 msdtc.exe              2044    596      9        0      0      0 2019-09-16 19:18:35 UTC+0000                                 
0xffffb5806b486800 prunsrv.exe            2880    596      7        0      0      0 2019-09-16 19:19:00 UTC+0000                                 
0xffffb5806b484800 conhost.exe            2132   2880      3        0      0      0 2019-09-16 19:19:06 UTC+0000                                 
0xffffb5806b439640 java.exe               2356   2880     29        0      0      1 2019-09-16 19:19:21 UTC+0000                                 
0xffffb5806b21c800 GoogleUpdate.e         2812   2080      5        0      0      1 2019-09-16 19:19:53 UTC+0000                                 
0xffffb5806b371080 SearchIndexer.         2504    596     13        0      0      0 2019-09-16 19:22:10 UTC+0000                                 
0xffffb5806b519300 WmiPrvSE.exe           2184    708      9        0      0      0 2019-09-16 19:25:36 UTC+0000                                 
0xffffb5806b32f080 wsmprovhost.ex         2596    708     17        0      0      0 2019-09-19 22:32:21 UTC+0000                                 
0xffffb5806b894080 systeminfo.exe         2584   2596      0 --------      0      0 2019-09-19 22:32:22 UTC+0000   2019-09-19 22:32:30 UTC+0000  
0xffffb5806b57f800 DumpIt.exe             2004   2596      3        0      0      0 2019-09-19 22:32:32 UTC+0000                                 
0xffffb5806ce1e080 conhost.exe             164   2004      3        0      0      0 2019-09-19 22:32:32 UTC+0000                                 
0xffffb5806d98c080 -------------------- 18...0      0      0 -------- ------      0                                                              
0xffffb5806d98c078                      393216      0      0 -------- ------      0                                                              
