Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffb704a9ab0040 System                    4      0     97        0 ------      0 2019-09-17 21:51:12 UTC+0000                                 
0xffffb704aa81a040 smss.exe                288      4      2        0 ------      0 2019-09-17 21:51:13 UTC+0000                                 
0xffffb704ab4e2080 csrss.exe               400    392     12        0      0      0 2019-09-17 21:51:58 UTC+0000                                 
0xffffb704ab661380 smss.exe                468    288      0 --------      1      0 2019-09-17 21:52:01 UTC+0000   2019-09-17 21:52:02 UTC+0000  
0xffffb704ab658080 csrss.exe               476    468     11        0      1      0 2019-09-17 21:52:01 UTC+0000                                 
0xffffb704ab659740 wininit.exe             520    392      1        0      0      0 2019-09-17 21:52:01 UTC+0000                                 
0xffffb704ab6e3080 winlogon.exe            560    468      2        0      1      0 2019-09-17 21:52:02 UTC+0000                                 
0xffffb704ab6c4800 services.exe            600    520      4        0      0      0 2019-09-17 21:52:03 UTC+0000                                 
0xffffb704ab6c2080 lsass.exe               608    520      7        0      0      0 2019-09-17 21:52:03 UTC+0000                                 
0xffffb704ab7703c0 svchost.exe             692    600     13        0      0      0 2019-09-17 21:52:13 UTC+0000                                 
0xffffb704ab54e800 svchost.exe             744    600      9        0      0      0 2019-09-17 21:52:16 UTC+0000                                 
0xffffb704ab528800 svchost.exe             888    600     41        0      0      0 2019-09-17 21:52:18 UTC+0000                                 
0xffffb704abd60800 svchost.exe             896    600     48        0      0      0 2019-09-17 21:52:18 UTC+0000                                 
0xffffb704abd9f800 svchost.exe             956    600     15        0      0      0 2019-09-17 21:52:21 UTC+0000                                 
0xffffb704abddf380 LogonUI.exe            1016    560     13        0      1      0 2019-09-17 21:52:22 UTC+0000                                 
0xffffb704abd9d800 dwm.exe                  76    560     10        0      1      0 2019-09-17 21:52:22 UTC+0000                                 
0xffffb704abd99800 svchost.exe             388    600     15        0      0      0 2019-09-17 21:52:28 UTC+0000                                 
0xffffb704abd9b800 svchost.exe             664    600     19        0      0      0 2019-09-17 21:52:28 UTC+0000                                 
0xffffb704ac4b1580 svchost.exe            1032    600     24        0      0      0 2019-09-17 21:52:31 UTC+0000                                 
0xffffb704ac5a6280 svchost.exe            1468    600      4        0      0      0 2019-09-17 21:52:44 UTC+0000                                 
0xffffb704ac5c2340 svchost.exe            1540    600      6        0      0      0 2019-09-17 21:52:45 UTC+0000                                 
0xffffb704ac63c800 spoolsv.exe            1732    600      9        0      0      0 2019-09-17 21:52:46 UTC+0000                                 
0xffffb704ac712800 svchost.exe            1920    600     12        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704ac70c800 MsMpEng.exe            1956    600     25        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704ac708800 vmtoolsd.exe           2012    600      9        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704ac704800 prunsrv.exe            1300    600      7        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704a9af1340 ruby.exe               1528    600      9        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704ac6f8800 winlogbeat.exe         1576    600     16        0      0      0 2019-09-17 21:52:49 UTC+0000                                 
0xffffb704ac6f6800 mdm.exe                1792    600      3        0      0      1 2019-09-17 21:52:50 UTC+0000                                 
0xffffb704abc2f480 VGAuthService.         1392    600      2        0      0      0 2019-09-17 21:52:50 UTC+0000                                 
0xffffb704abc1e040 MemCompression         2052      4      0        0 ------      0 2019-09-17 21:52:50 UTC+0000                                 
0xffffb704abc4e540 conhost.exe            2088   1300      3        0      0      0 2019-09-17 21:52:50 UTC+0000                                 
0xffffb704ac759780 java.exe               2320   1300     21        0      0      1 2019-09-17 21:52:52 UTC+0000                                 
0xffffb704ac77b800 svchost.exe            2756    600      4        0      0      0 2019-09-17 21:52:58 UTC+0000                                 
0xffffb704abbb0800 svchost.exe            2872    600      7        0      0      0 2019-09-17 21:52:59 UTC+0000                                 
0xffffb704acaa0800 dllhost.exe            3100    600     10        0      0      0 2019-09-17 21:53:13 UTC+0000                                 
0xffffb704aca94800 msdtc.exe              3360    600      9        0      0      0 2019-09-17 21:53:21 UTC+0000                                 
0xffffb704ab0f8580 WmiPrvSE.exe           3444    692      8        0      0      0 2019-09-17 21:53:23 UTC+0000                                 
0xffffb704acd09340 NisSrv.exe             3968    600      9        0      0      0 2019-09-17 21:53:30 UTC+0000                                 
0xffffb704aced0080 GoogleUpdate.e         3440   3772      3        0      0      1 2019-09-17 21:56:28 UTC+0000                                 
0xffffb704a9e3f080 rubyw.exe              3020    600     10        0      0      0 2019-09-17 21:57:36 UTC+0000                                 
0xffffb704a9e05800 SearchIndexer.         3468    600     13        0      0      0 2019-09-17 21:57:39 UTC+0000                                 
0xffffb704aa48c800 wsmprovhost.ex         3228    692     11        0      0      0 2019-09-18 14:35:34 UTC+0000                                 
0xffffb704acb50080 conhost.exe            3480   3228      3        0      0      0 2019-09-18 15:16:38 UTC+0000                                 
0xffffb704ac4da800 tasklist.exe           3664   3228      0 --------      0      0 2019-09-18 18:56:04 UTC+0000   2019-09-18 18:56:04 UTC+0000  
