Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff828145eb0040 System                    4      0     96        0 ------      0 2019-09-16 19:23:35 UTC+0000                                 
0xffff828146c1f040 smss.exe                300      4      2        0 ------      0 2019-09-16 19:23:35 UTC+0000                                 
0xffff8281472b2480 csrss.exe               392    384     11        0      0      0 2019-09-16 19:24:09 UTC+0000                                 
0xffff82814793c080 smss.exe                460    300      0 --------      1      0 2019-09-16 19:24:11 UTC+0000   2019-09-16 19:24:12 UTC+0000  
0xffff8281481902c0 csrss.exe               468    460     10        0      1      0 2019-09-16 19:24:11 UTC+0000                                 
0xffff828148184080 wininit.exe             488    384      1        0      0      0 2019-09-16 19:24:11 UTC+0000                                 
0xffff828148672080 winlogon.exe            544    460      2        0      1      0 2019-09-16 19:24:12 UTC+0000                                 
0xffff82814868a080 services.exe            596    488      5        0      0      0 2019-09-16 19:24:15 UTC+0000                                 
0xffff828148686800 lsass.exe               604    488      8        0      0      0 2019-09-16 19:24:16 UTC+0000                                 
0xffff828148728080 svchost.exe             684    596     13        0      0      0 2019-09-16 19:24:27 UTC+0000                                 
0xffff8281481e5800 svchost.exe             744    596      9        0      0      0 2019-09-16 19:24:30 UTC+0000                                 
0xffff8281481e1800 svchost.exe             860    596     51        0      0      0 2019-09-16 19:24:30 UTC+0000                                 
0xffff8281487aa800 svchost.exe             896    596     15        0      0      0 2019-09-16 19:24:30 UTC+0000                                 
0xffff8281487d8080 svchost.exe             980    596     40        0      0      0 2019-09-16 19:24:32 UTC+0000                                 
0xffff828147a25800 LogonUI.exe              72    544     13        0      1      0 2019-09-16 19:24:33 UTC+0000                                 
0xffff828147a14800 dwm.exe                 336    544     10        0      1      0 2019-09-16 19:24:34 UTC+0000                                 
0xffff828147a1d080 svchost.exe             592    596     21        0      0      0 2019-09-16 19:24:36 UTC+0000                                 
0xffff828147a1c800 svchost.exe             464    596     15        0      0      0 2019-09-16 19:24:36 UTC+0000                                 
0xffff828147abf800 svchost.exe            1076    596     23        0      0      0 2019-09-16 19:24:36 UTC+0000                                 
0xffff828147b09080 svchost.exe            1196    596      4        0      0      0 2019-09-16 19:24:44 UTC+0000                                 
0xffff828147ab9800 svchost.exe            1232    596      6        0      0      0 2019-09-16 19:24:44 UTC+0000                                 
0xffff828147aaf800 spoolsv.exe            1392    596      9        0      0      0 2019-09-16 19:24:50 UTC+0000                                 
0xffff828146de0800 ruby.exe               1852    596      9        0      0      0 2019-09-16 19:25:13 UTC+0000                                 
0xffff828148820800 MsMpEng.exe            1872    596     24        0      0      0 2019-09-16 19:25:13 UTC+0000                                 
0xffff828148847800 svchost.exe            1896    596     13        0      0      0 2019-09-16 19:25:13 UTC+0000                                 
0xffff82814883c800 vmtoolsd.exe           1928    596      9        0      0      0 2019-09-16 19:25:13 UTC+0000                                 
0xffff8281488e8800 mdm.exe                2020    596      3        0      0      1 2019-09-16 19:25:13 UTC+0000                                 
0xffff82814893f080 VGAuthService.          496    596      2        0      0      0 2019-09-16 19:25:14 UTC+0000                                 
0xffff828148943800 winlogbeat.exe          260    596     18        0      0      0 2019-09-16 19:25:14 UTC+0000                                 
0xffff8281489b8800 MemCompression         2096      4      0        0 ------      0 2019-09-16 19:25:15 UTC+0000                                 
0xffff828148a46800 svchost.exe            2384    596      4        0      0      0 2019-09-16 19:25:20 UTC+0000                                 
0xffff828147e69800 dllhost.exe            2784    596     10        0      0      0 2019-09-16 19:25:41 UTC+0000                                 
0xffff828147e94800 msdtc.exe               660    596      9        0      0      0 2019-09-16 19:25:45 UTC+0000                                 
0xffff828147fd5080 NisSrv.exe             3556    596      8        0      0      0 2019-09-16 19:26:04 UTC+0000                                 
0xffff828147f50080 svchost.exe            4088    596      7        0      0      0 2019-09-16 19:26:53 UTC+0000                                 
0xffff8281473c8800 WmiPrvSE.exe           2032    684      8        0      0      0 2019-09-16 19:27:17 UTC+0000                                 
