Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff9d0913ab0040 System                    4      0     95        0 ------      0 2019-09-16 18:59:17 UTC+0000                                 
0xffff9d09151ea340 smss.exe                288      4      2        0 ------      0 2019-09-16 18:59:17 UTC+0000                                 
0xffff9d091469f080 csrss.exe               396    388     13        0      0      0 2019-09-16 18:59:31 UTC+0000                                 
0xffff9d09156a7080 smss.exe                460    288      0 --------      1      0 2019-09-16 18:59:33 UTC+0000   2019-09-16 18:59:33 UTC+0000  
0xffff9d0915577080 csrss.exe               468    460     11        0      1      0 2019-09-16 18:59:33 UTC+0000                                 
0xffff9d09156bc080 wininit.exe             512    388      1        0      0      0 2019-09-16 18:59:33 UTC+0000                                 
0xffff9d091568c080 winlogon.exe            544    460      2        0      1      0 2019-09-16 18:59:33 UTC+0000                                 
0xffff9d091570e480 services.exe            600    512      4        0      0      0 2019-09-16 18:59:35 UTC+0000                                 
0xffff9d0915719800 lsass.exe               608    512      7        0      0      0 2019-09-16 18:59:35 UTC+0000                                 
0xffff9d0915769080 svchost.exe             692    600     13        0      0      0 2019-09-16 18:59:41 UTC+0000                                 
0xffff9d091579c080 svchost.exe             756    600      9        0      0      0 2019-09-16 18:59:44 UTC+0000                                 
0xffff9d09157e5080 svchost.exe             848    600     50        0      0      0 2019-09-16 18:59:44 UTC+0000                                 
0xffff9d0915631800 svchost.exe             916    600     14        0      0      0 2019-09-16 18:59:44 UTC+0000                                 
0xffff9d091562f800 svchost.exe             940    600     40        0      0      0 2019-09-16 18:59:45 UTC+0000                                 
0xffff9d0915db0080 dwm.exe                 988    544     10        0      1      0 2019-09-16 18:59:45 UTC+0000                                 
0xffff9d0915db3080 LogonUI.exe             996    544     13        0      1      0 2019-09-16 18:59:45 UTC+0000                                 
0xffff9d09163fb800 svchost.exe             980    600     15        0      0      0 2019-09-16 18:59:50 UTC+0000                                 
0xffff9d09163ff800 svchost.exe             588    600     18        0      0      0 2019-09-16 18:59:50 UTC+0000                                 
0xffff9d091486d4c0 svchost.exe            1096    600     23        0      0      0 2019-09-16 18:59:50 UTC+0000                                 
0xffff9d09163fd800 svchost.exe            1164    600      4        0      0      0 2019-09-16 18:59:52 UTC+0000                                 
0xffff9d0916420080 svchost.exe            1212    600      6        0      0      0 2019-09-16 18:59:53 UTC+0000                                 
0xffff9d0916447800 spoolsv.exe            1316    600      9        0      0      0 2019-09-16 18:59:57 UTC+0000                                 
0xffff9d09165e8700 winlogbeat.exe         1728    600     17        0      0      0 2019-09-16 19:01:23 UTC+0000                                 
0xffff9d0916405800 MsMpEng.exe            1736    600     24        0      0      0 2019-09-16 19:01:23 UTC+0000                                 
0xffff9d09148ac300 VGAuthService.         1784    600      2        0      0      0 2019-09-16 19:01:25 UTC+0000                                 
0xffff9d09148cc800 vmtoolsd.exe           1824    600      9        0      0      0 2019-09-16 19:01:27 UTC+0000                                 
0xffff9d0914899800 svchost.exe            1832    600     12        0      0      0 2019-09-16 19:01:27 UTC+0000                                 
0xffff9d0914918540 prunsrv.exe            1988    600      7        0      0      0 2019-09-16 19:01:30 UTC+0000                                 
0xffff9d09148fc800 conhost.exe            2016   1988      3        0      0      0 2019-09-16 19:01:30 UTC+0000                                 
0xffff9d09168c5080 java.exe                632   1988     29        0      0      1 2019-09-16 19:01:34 UTC+0000                                 
0xffff9d09168d1800 mdm.exe                1036    600      3        0      0      1 2019-09-16 19:01:36 UTC+0000                                 
0xffff9d09168b9400 ruby.exe               1224    600      9        0      0      0 2019-09-16 19:01:38 UTC+0000                                 
0xffff9d09169f6040 MemCompression         2240      4      0        0 ------      0 2019-09-16 19:01:50 UTC+0000                                 
0xffff9d09166cb7c0 svchost.exe            2296    600      4        0      0      0 2019-09-16 19:01:54 UTC+0000                                 
0xffff9d0916a67800 dllhost.exe            2796    600     10        0      0      0 2019-09-16 19:02:03 UTC+0000                                 
0xffff9d0916b29800 NisSrv.exe             2876    600      8        0      0      0 2019-09-16 19:02:04 UTC+0000                                 
0xffff9d0916b13800 msdtc.exe              1580    600      9        0      0      0 2019-09-16 19:02:10 UTC+0000                                 
0xffff9d0915c96800 svchost.exe            2848    600      7        0      0      0 2019-09-16 19:02:22 UTC+0000                                 
0xffff9d0915047800 WmiPrvSE.exe           4084    692      8        0      0      0 2019-09-16 19:04:08 UTC+0000                                 
0xffff9d0915aa3080 GoogleUpdate.e         3128   1484      3        0      0      1 2019-09-16 19:05:15 UTC+0000                                 
0xffff9d0916ac1080 SearchIndexer.         2652    600     13        0      0      0 2019-09-16 19:05:33 UTC+0000                                 
0xffff9d0916cb8800 wsmprovhost.ex         3048    692     17        0      0      0 2019-09-19 22:32:21 UTC+0000                                 
0xffff9d09143d1080 systeminfo.exe         4044   3048      0 --------      0      0 2019-09-19 22:32:23 UTC+0000   2019-09-19 22:32:29 UTC+0000  
0xffff9d091453f080 DumpIt.exe             1964   3048      6        0      0      0 2019-09-19 22:32:31 UTC+0000                                 
0xffff9d0916a56800 conhost.exe             984   1964      3        0      0      0 2019-09-19 22:32:31 UTC+0000                                 
