Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc083b58b0040 System                    4      0     97        0 ------      0 2019-09-16 19:02:32 UTC+0000                                 
0xffffc083b6fc4480 smss.exe                300      4      2        0 ------      0 2019-09-16 19:02:32 UTC+0000                                 
0xffffc083b734b080 csrss.exe               400    392     11        0      0      0 2019-09-16 19:03:21 UTC+0000                                 
0xffffc083b740e080 smss.exe                472    300      0 --------      1      0 2019-09-16 19:03:29 UTC+0000   2019-09-16 19:03:30 UTC+0000  
0xffffc083b7408080 csrss.exe               480    472     10        0      1      0 2019-09-16 19:03:29 UTC+0000                                 
0xffffc083b7062240 wininit.exe             500    392      1        0      0      0 2019-09-16 19:03:29 UTC+0000                                 
0xffffc083b740d080 winlogon.exe            536    472      2        0      1      0 2019-09-16 19:03:30 UTC+0000                                 
0xffffc083b74ac080 services.exe            604    500      4        0      0      0 2019-09-16 19:03:36 UTC+0000                                 
0xffffc083b74a7680 lsass.exe               612    500      7        0      0      0 2019-09-16 19:03:38 UTC+0000                                 
0xffffc083b6c7c200 svchost.exe             696    604     14        0      0      0 2019-09-16 19:03:55 UTC+0000                                 
0xffffc083b7532640 svchost.exe             760    604     10        0      0      0 2019-09-16 19:04:04 UTC+0000                                 
0xffffc083b757d5c0 LogonUI.exe             852    536     13        0      1      0 2019-09-16 19:04:07 UTC+0000                                 
0xffffc083b7be6800 svchost.exe             912    604     40        0      0      0 2019-09-16 19:04:08 UTC+0000                                 
0xffffc083b7be2800 svchost.exe             920    604     47        0      0      0 2019-09-16 19:04:08 UTC+0000                                 
0xffffc083b75e6400 dwm.exe                1008    536     10        0      1      0 2019-09-16 19:04:09 UTC+0000                                 
0xffffc083b7bdc800 svchost.exe              72    604     15        0      0      0 2019-09-16 19:04:11 UTC+0000                                 
0xffffc083b8043800 svchost.exe             352    604     19        0      0      0 2019-09-16 19:04:13 UTC+0000                                 
0xffffc083b8041800 svchost.exe             356    604     16        0      0      0 2019-09-16 19:04:13 UTC+0000                                 
0xffffc083b80c6540 svchost.exe            1088    604     23        0      0      0 2019-09-16 19:04:24 UTC+0000                                 
0xffffc083b803d800 svchost.exe            1336    604      4        0      0      0 2019-09-16 19:04:55 UTC+0000                                 
0xffffc083b81a1080 svchost.exe            1404    604      6        0      0      0 2019-09-16 19:04:58 UTC+0000                                 
0xffffc083b66b03c0 spoolsv.exe            1512    604      9        0      0      0 2019-09-16 19:05:11 UTC+0000                                 
0xffffc083b7288800 svchost.exe            1156    604     13        0      0      0 2019-09-16 19:06:57 UTC+0000                                 
0xffffc083b58a6800 prunsrv.exe             704    604      7        0      0      0 2019-09-16 19:06:59 UTC+0000                                 
0xffffc083b78cc800 conhost.exe            1452    704      3        0      0      0 2019-09-16 19:07:03 UTC+0000                                 
0xffffc083b78ca800 ruby.exe                548    604      9        0      0      0 2019-09-16 19:07:03 UTC+0000                                 
0xffffc083b7a30400 mdm.exe                 360    604      3        0      0      1 2019-09-16 19:07:05 UTC+0000                                 
0xffffc083b78be800 winlogbeat.exe         1164    604     17        0      0      0 2019-09-16 19:07:05 UTC+0000                                 
0xffffc083b78c0800 vmtoolsd.exe           1436    604      9        0      0      0 2019-09-16 19:07:05 UTC+0000                                 
0xffffc083b792b580 MsMpEng.exe            1528    604     24        0      0      0 2019-09-16 19:07:05 UTC+0000                                 
0xffffc083b78ba800 VGAuthService.         1776    604      2        0      0      0 2019-09-16 19:07:05 UTC+0000                                 
0xffffc083b7803080 java.exe               1448    704     21        0      0      1 2019-09-16 19:07:06 UTC+0000                                 
0xffffc083b7879040 MemCompression         2068      4      0        0 ------      0 2019-09-16 19:07:06 UTC+0000                                 
0xffffc083b793f3c0 svchost.exe            2144    604      4        0      0      0 2019-09-16 19:07:07 UTC+0000                                 
0xffffc083b5e0f080 svchost.exe            2592    604      7        0      0      0 2019-09-16 19:07:19 UTC+0000                                 
0xffffc083b5f5e800 dllhost.exe            1780    604     10        0      0      0 2019-09-16 19:07:26 UTC+0000                                 
0xffffc083b6f3d080 msdtc.exe              3108    604      9        0      0      0 2019-09-16 19:07:33 UTC+0000                                 
0xffffc083b5ca4780 NisSrv.exe             3632    604      8        0      0      0 2019-09-16 19:07:53 UTC+0000                                 
0xffffc083b5e94080 WmiPrvSE.exe           4044    696      8        0      0      0 2019-09-16 19:08:42 UTC+0000                                 
0xffffc083b6e95080 SearchIndexer.         3264    604     13        0      0      0 2019-09-16 19:11:20 UTC+0000                                 
0xffffc083b75d1080 GoogleUpdate.e         3700    920      3        0      0      1 2019-09-16 21:19:00 UTC+0000                                 
0xffffc083b83a9800 rubyw.exe              3824    604     10        0      0      0 2019-09-17 21:41:26 UTC+0000                                 
0xffffc083b8855080 wsmprovhost.ex         3744    696     21        0      0      0 2019-09-19 22:32:22 UTC+0000                                 
0xffffc083b63bc080 systeminfo.exe         2920   3744      0 --------      0      0 2019-09-19 22:32:23 UTC+0000   2019-09-19 22:32:31 UTC+0000  
0xffffc083b8a5b800 -------------------- 30...2      0 33...4 -------- ------      0                                                              
0xffffc083b8a5b7f8                      393216      0      0 -------- ------      0                                                              
