Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffd184ffcb9040 System                    4      0     97        0 ------      0 2019-09-17 21:42:08 UTC+0000                                 
0xffffd185013e5040 smss.exe                304      4      2        0 ------      0 2019-09-17 21:42:10 UTC+0000                                 
0xffffd1850174f080 csrss.exe               396    388     11        0      0      0 2019-09-17 21:43:01 UTC+0000                                 
0xffffd18500a06080 smss.exe                464    304      0 --------      1      0 2019-09-17 21:43:06 UTC+0000   2019-09-17 21:43:11 UTC+0000  
0xffffd1850165e080 csrss.exe               472    464     10        0      1      0 2019-09-17 21:43:06 UTC+0000                                 
0xffffd1850241f080 wininit.exe             492    388      1        0      0      0 2019-09-17 21:43:06 UTC+0000                                 
0xffffd185024aa800 winlogon.exe            548    464      2        0      1      0 2019-09-17 21:43:11 UTC+0000                                 
0xffffd185024b2800 services.exe            604    492      4        0      0      0 2019-09-17 21:43:20 UTC+0000                                 
0xffffd1850249b080 lsass.exe               620    492      7        0      0      0 2019-09-17 21:43:21 UTC+0000                                 
0xffffd1850179a800 svchost.exe             696    604     13        0      0      0 2019-09-17 21:43:34 UTC+0000                                 
0xffffd18501796800 svchost.exe             760    604      9        0      0      0 2019-09-17 21:43:40 UTC+0000                                 
0xffffd185025e3080 dwm.exe                 852    548     10        0      1      0 2019-09-17 21:43:47 UTC+0000                                 
0xffffd18501790800 svchost.exe             912    604     52        0      0      0 2019-09-17 21:43:48 UTC+0000                                 
0xffffd1850178e800 svchost.exe             920    604     40        0      0      0 2019-09-17 21:43:48 UTC+0000                                 
0xffffd185025f5080 LogonUI.exe             960    548     13        0      1      0 2019-09-17 21:43:48 UTC+0000                                 
0xffffd18501784800 svchost.exe            1000    604     15        0      0      0 2019-09-17 21:43:49 UTC+0000                                 
0xffffd18501780800 svchost.exe             320    604     16        0      0      0 2019-09-17 21:43:50 UTC+0000                                 
0xffffd18501782800 svchost.exe             356    604     20        0      0      0 2019-09-17 21:43:50 UTC+0000                                 
0xffffd18501880740 svchost.exe            1060    604     24        0      0      0 2019-09-17 21:44:00 UTC+0000                                 
0xffffd18501822200 svchost.exe            1260    604      4        0      0      0 2019-09-17 21:44:18 UTC+0000                                 
0xffffd185019ab080 svchost.exe            1376    604      6        0      0      0 2019-09-17 21:44:22 UTC+0000                                 
0xffffd185025f4800 spoolsv.exe            1692    604      9        0      0      0 2019-09-17 21:44:24 UTC+0000                                 
0xffffd18502667400 svchost.exe            1852    604     12        0      0      0 2019-09-17 21:44:26 UTC+0000                                 
0xffffd185026c8800 mdm.exe                1992    604      3        0      0      1 2019-09-17 21:44:28 UTC+0000                                 
0xffffd185026cc800 prunsrv.exe            2004    604      7        0      0      0 2019-09-17 21:44:28 UTC+0000                                 
0xffffd185028fc800 ruby.exe                984    604      9        0      0      0 2019-09-17 21:44:30 UTC+0000                                 
0xffffd185028fe800 conhost.exe            1276   2004      3        0      0      0 2019-09-17 21:44:30 UTC+0000                                 
0xffffd185028d1800 winlogbeat.exe         1744    604     17        0      0      0 2019-09-17 21:44:31 UTC+0000                                 
0xffffd185028cb800 svchost.exe            1640    604      7        0      0      0 2019-09-17 21:44:31 UTC+0000                                 
0xffffd185028c9800 vmtoolsd.exe           2084    604      9        0      0      0 2019-09-17 21:44:31 UTC+0000                                 
0xffffd1850282c500 VGAuthService.         2092    604      2        0      0      0 2019-09-17 21:44:31 UTC+0000                                 
0xffffd185028c7800 MsMpEng.exe            2100    604     24        0      0      0 2019-09-17 21:44:31 UTC+0000                                 
0xffffd1850245b800 java.exe               2132   2004     21        0      0      1 2019-09-17 21:44:32 UTC+0000                                 
0xffffd184ffd17040 MemCompression         2204      4      0        0 ------      0 2019-09-17 21:44:32 UTC+0000                                 
0xffffd185029f2800 svchost.exe            2376    604      4        0      0      0 2019-09-17 21:44:39 UTC+0000                                 
0xffffd1850252b780 dllhost.exe            3152    604     10        0      0      0 2019-09-17 21:45:05 UTC+0000                                 
0xffffd18502b09800 msdtc.exe              3320    604      9        0      0      0 2019-09-17 21:45:13 UTC+0000                                 
0xffffd18502ae3800 WmiPrvSE.exe           3352    696      7        0      0      0 2019-09-17 21:45:15 UTC+0000                                 
0xffffd18502de9580 NisSrv.exe             4008    604      9        0      0      0 2019-09-17 21:45:28 UTC+0000                                 
0xffffd18502fac080 GoogleUpdate.e         3584   3312      3        0      0      1 2019-09-17 21:47:42 UTC+0000                                 
0xffffd18500155080 SearchIndexer.         3496    604     13        0      0      0 2019-09-17 21:49:14 UTC+0000                                 
0xffffd18502f58080 rubyw.exe               380    604     10        0      0      0 2019-09-17 21:50:44 UTC+0000                                 
0xffffd185005f3800 MpCmdRun.exe           3516   2956      3        0      0      0 2019-09-19 21:55:21 UTC+0000                                 
0xffffd18501943080 wsmprovhost.ex         1600    696     16        0      0      0 2019-09-19 22:32:23 UTC+0000                                 
0xffffd18500a49080 systeminfo.exe          324   1600      0 --------      0      0 2019-09-19 22:32:25 UTC+0000   2019-09-19 22:32:31 UTC+0000  
0xffffd1850053e080 DumpIt.exe             1928   1600      3        0      0      0 2019-09-19 22:32:34 UTC+0000                                 
0xffffd18500463800 conhost.exe            2588   1928      3        0      0      0 2019-09-19 22:32:34 UTC+0000                                 
