Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff968c632b0040 System                    4      0    107        0 ------      0 2019-09-17 21:29:40 UTC+0000                                 
0xffff968c64032040 smss.exe                304      4      2        0 ------      0 2019-09-17 21:29:45 UTC+0000                                 
0xffff968c64c65080 csrss.exe               416    408     11        0      0      0 2019-09-17 21:31:36 UTC+0000                                 
0xffff968c655ca080 smss.exe                488    304      0 --------      1      0 2019-09-17 21:31:49 UTC+0000   2019-09-17 21:31:50 UTC+0000  
0xffff968c64c98800 wininit.exe             496    408      1        0      0      0 2019-09-17 21:31:49 UTC+0000                                 
0xffff968c655d1680 csrss.exe               508    488     10        0      1      0 2019-09-17 21:31:49 UTC+0000                                 
0xffff968c65582080 winlogon.exe            556    488      2        0      1      0 2019-09-17 21:31:50 UTC+0000                                 
0xffff968c65a74080 services.exe            624    496      4        0      0      0 2019-09-17 21:32:15 UTC+0000                                 
0xffff968c65ad15c0 lsass.exe               632    496      7        0      0      0 2019-09-17 21:32:15 UTC+0000                                 
0xffff968c64c63640 svchost.exe             716    624     13        0      0      0 2019-09-17 21:32:41 UTC+0000                                 
0xffff968c65ac6080 svchost.exe             780    624     10        0      0      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c65b1f800 LogonUI.exe             900    556     13        0      1      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c65019500 dwm.exe                 948    556     10        0      1      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c65bef800 svchost.exe             972    624     48        0      0      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c65bed800 svchost.exe             980    624     41        0      0      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c6507a380 svchost.exe             404    624     15        0      0      0 2019-09-17 21:33:33 UTC+0000                                 
0xffff968c650dc480 svchost.exe            1108    624     23        0      0      0 2019-09-17 21:33:58 UTC+0000                                 
0xffff968c650ca080 svchost.exe            1116    624     18        0      0      0 2019-09-17 21:33:58 UTC+0000                                 
0xffff968c65bdd800 svchost.exe            1124    624     15        0      0      0 2019-09-17 21:33:58 UTC+0000                                 
0xffff968c651bb800 svchost.exe            1392    624      4        0      0      0 2019-09-17 21:33:59 UTC+0000                                 
0xffff968c64766080 svchost.exe            1512    624      6        0      0      0 2019-09-17 21:34:02 UTC+0000                                 
0xffff968c63e69800 spoolsv.exe            1672    624      9        0      0      0 2019-09-17 21:34:08 UTC+0000                                 
0xffff968c633135c0 svchost.exe            1180    624     13        0      0      0 2019-09-17 21:35:46 UTC+0000                                 
0xffff968c651de800 vmtoolsd.exe           2156    624      9        0      0      0 2019-09-17 21:35:55 UTC+0000                                 
0xffff968c650d7800 winlogbeat.exe         2172    624     16        0      0      0 2019-09-17 21:35:55 UTC+0000                                 
0xffff968c65b80040 MemCompression         2188      4      0        0 ------      0 2019-09-17 21:35:56 UTC+0000                                 
0xffff968c65bfa800 MsMpEng.exe            2204    624     23        0      0      0 2019-09-17 21:35:56 UTC+0000                                 
0xffff968c65bf2080 VGAuthService.         2228    624      2        0      0      0 2019-09-17 21:35:57 UTC+0000                                 
