Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa988950b0040 System                    4      0    104        0 ------      0 2019-09-16 18:37:57 UTC+0000                                 
0xffffa988967b2040 smss.exe                296      4      2        0 ------      0 2019-09-16 18:37:57 UTC+0000                                 
0xffffa98896b43080 csrss.exe               388    376     10        0      0      0 2019-09-16 18:38:08 UTC+0000                                 
0xffffa988973fc080 smss.exe                460    296      0 --------      1      0 2019-09-16 18:38:09 UTC+0000   2019-09-16 18:38:09 UTC+0000  
0xffffa988973f6600 csrss.exe               468    460     10        0      1      0 2019-09-16 18:38:09 UTC+0000                                 
0xffffa988973f1080 wininit.exe             488    376      1        0      0      0 2019-09-16 18:38:09 UTC+0000                                 
0xffffa98896c335c0 winlogon.exe            520    460      2        0      1      0 2019-09-16 18:38:09 UTC+0000                                 
0xffffa98896ccd080 services.exe            592    488      4        0      0      0 2019-09-16 18:38:10 UTC+0000                                 
0xffffa98896cc8080 lsass.exe               608    488      7        0      0      0 2019-09-16 18:38:11 UTC+0000                                 
0xffffa98896d1e800 svchost.exe             688    592     13        0      0      0 2019-09-16 18:38:14 UTC+0000                                 
0xffffa988973d1800 svchost.exe             748    592      9        0      0      0 2019-09-16 18:38:14 UTC+0000                                 
0xffffa98896dea5c0 LogonUI.exe             840    520     13        0      1      0 2019-09-16 18:38:15 UTC+0000                                 
0xffffa98896dd6080 dwm.exe                 860    520     10        0      1      0 2019-09-16 18:38:15 UTC+0000                                 
0xffffa988973c7800 svchost.exe             928    592     46        0      0      0 2019-09-16 18:38:15 UTC+0000                                 
0xffffa988973c9800 svchost.exe             936    592     40        0      0      0 2019-09-16 18:38:15 UTC+0000                                 
0xffffa988973c5800 svchost.exe             988    592     14        0      0      0 2019-09-16 18:38:15 UTC+0000                                 
0xffffa988973bf800 svchost.exe             316    592     15        0      0      0 2019-09-16 18:38:16 UTC+0000                                 
0xffffa9889785b5c0 svchost.exe             380    592     18        0      0      0 2019-09-16 18:38:16 UTC+0000                                 
0xffffa988978ac800 svchost.exe            1056    592     23        0      0      0 2019-09-16 18:38:17 UTC+0000                                 
0xffffa988979fb080 svchost.exe            1308    592      4        0      0      0 2019-09-16 18:38:54 UTC+0000                                 
0xffffa988978aa800 svchost.exe            1364    592      6        0      0      0 2019-09-16 18:38:55 UTC+0000                                 
0xffffa988978a0800 spoolsv.exe            1452    592      9        0      0      0 2019-09-16 18:38:58 UTC+0000                                 
0xffffa98897890800 svchost.exe            1768    592     10        0      0      0 2019-09-16 18:39:04 UTC+0000                                 
0xffffa98897b26800 mdm.exe                1872    592      3        0      0      1 2019-09-16 18:39:07 UTC+0000                                 
0xffffa98897b8b800 prunsrv.exe            2016    592      7        0      0      0 2019-09-16 18:39:11 UTC+0000                                 
0xffffa98897b8d1c0 conhost.exe             828   2016      3        0      0      0 2019-09-16 18:39:13 UTC+0000                                 
0xffffa98897208700 MsMpEng.exe             664    592     23        0      0      0 2019-09-16 18:39:13 UTC+0000                                 
0xffffa98897202440 vmtoolsd.exe           1324    592      9        0      0      0 2019-09-16 18:39:13 UTC+0000                                 
0xffffa9889724d400 winlogbeat.exe         1356    592     16        0      0      0 2019-09-16 18:39:13 UTC+0000                                 
0xffffa98897244340 java.exe               1640   2016     29        0      0      1 2019-09-16 18:39:13 UTC+0000                                 
0xffffa98897b81800 VGAuthService.          532    592      2        0      0      0 2019-09-16 18:39:17 UTC+0000                                 
0xffffa98897bff040 MemCompression         2240      4      0        0 ------      0 2019-09-16 18:39:22 UTC+0000                                 
0xffffa98897135800 svchost.exe            2416    592      4        0      0      0 2019-09-16 18:39:26 UTC+0000                                 
0xffffa98897d57800 svchost.exe             660    592      7        0      0      0 2019-09-16 18:40:06 UTC+0000                                 
0xffffa98897dcb800 dllhost.exe            3120    592     10        0      0      0 2019-09-16 18:40:09 UTC+0000                                 
0xffffa98897abb680 msdtc.exe              3328    592      9        0      0      0 2019-09-16 18:40:18 UTC+0000                                 
0xffffa98897230800 NisSrv.exe             4012    592      8        0      0      0 2019-09-16 18:41:34 UTC+0000                                 
0xffffa98897d06800 WmiPrvSE.exe           1088    688      9        0      0      0 2019-09-16 18:42:11 UTC+0000                                 
0xffffa98896d1b800 GoogleUpdate.e         3208   3816      3        0      0      1 2019-09-16 18:42:52 UTC+0000                                 
0xffffa9889543b080 SearchIndexer.         3820    592     13        0      0      0 2019-09-16 18:43:02 UTC+0000                                 
0xffffa98897eb0080 wsmprovhost.ex         2888    688     16        0      0      0 2019-09-19 22:32:24 UTC+0000                                 
0xffffa98895320080 systeminfo.exe         3708   2888      0 --------      0      0 2019-09-19 22:32:26 UTC+0000   2019-09-19 22:32:34 UTC+0000  
0xffffa9889712f080 DumpIt.exe              552   2888      3        0      0      0 2019-09-19 22:32:37 UTC+0000                                 
0xffffa98898014800 conhost.exe            3412    552      3        0      0      0 2019-09-19 22:32:38 UTC+0000                                 
