Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff82033c0b0040 System                    4      0    105        0 ------      0 2019-09-16 18:53:43 UTC+0000                                 
0xffff82033d728800 smss.exe                304      4      2        0 ------      0 2019-09-16 18:53:44 UTC+0000                                 
0xffff82033dad9080 csrss.exe               400    392     11        0      0      0 2019-09-16 18:57:21 UTC+0000                                 
0xffff82033cc7c800 smss.exe                464    304      0 --------      1      0 2019-09-16 18:57:42 UTC+0000   2019-09-16 18:58:17 UTC+0000  
0xffff82033daae080 wininit.exe             472    392      1        0      0      0 2019-09-16 18:57:44 UTC+0000                                 
0xffff82033d7cc800 csrss.exe               492    464     10        0      1      0 2019-09-16 18:57:50 UTC+0000                                 
0xffff82033cc3e800 winlogon.exe            572    464      2        0      1      0 2019-09-16 18:58:17 UTC+0000                                 
0xffff82033d913800 services.exe            620    472      4        0      0      0 2019-09-16 18:58:34 UTC+0000                                 
0xffff82033e1bd080 lsass.exe               644    472      7        0      0      0 2019-09-16 18:58:36 UTC+0000                                 
0xffff82033e1b9080 svchost.exe             732    620     12        0      0      0 2019-09-16 19:00:56 UTC+0000                                 
0xffff82033cc723c0 svchost.exe             796    620      8        0      0      0 2019-09-16 19:02:42 UTC+0000                                 
0xffff82033e682480 LogonUI.exe             900    572     13        0      1      0 2019-09-16 19:03:35 UTC+0000                                 
0xffff82033e678080 dwm.exe                 924    572     10        0      1      0 2019-09-16 19:03:35 UTC+0000                                 
0xffff82033e6a6800 svchost.exe              76    620     40        0      0      0 2019-09-16 19:04:15 UTC+0000                                 
0xffff82033d762800 svchost.exe            1016    620     48        0      0      0 2019-09-16 19:04:15 UTC+0000                                 
0xffff82033e6c6800 svchost.exe             356    620     15        0      0      0 2019-09-16 19:04:17 UTC+0000                                 
0xffff82033e679080 svchost.exe             420    620     15        0      0      0 2019-09-16 19:06:52 UTC+0000                                 
0xffff82033e72b800 svchost.exe             920    620     23        0      0      0 2019-09-16 19:06:54 UTC+0000                                 
0xffff82033e73a5c0 svchost.exe             888    620     19        0      0      0 2019-09-16 19:06:54 UTC+0000                                 
0xffff82033ce2b800 svchost.exe            1452    620      4        0      0      0 2019-09-16 19:09:26 UTC+0000                                 
0xffff82033cec8800 svchost.exe            1672    620      6        0      0      0 2019-09-16 19:10:42 UTC+0000                                 
0xffff82033ddde800 spoolsv.exe            1868    620      9        0      0      0 2019-09-16 19:11:03 UTC+0000                                 
0xffff82033c134800 svchost.exe            1080    620     12        0      0      0 2019-09-16 19:12:33 UTC+0000                                 
0xffff82033e003800 MemCompression         1544      4      0        0 ------      0 2019-09-16 19:13:18 UTC+0000                                 
0xffff82033c69a800 vmtoolsd.exe           3024    620      9        0      0      0 2019-09-16 19:20:58 UTC+0000                                 
0xffff82033d79e080 svchost.exe            2572    620      7        0      0      0 2019-09-16 19:22:19 UTC+0000                                 
0xffff82033c6fb800 dllhost.exe            2356    620     10        0      0      0 2019-09-16 19:23:08 UTC+0000                                 
0xffff82033c54c080 msdtc.exe              2832    620      9        0      0      0 2019-09-16 19:23:16 UTC+0000                                 
0xffff82033c882800 svchost.exe            2796    620      4        0      0      0 2019-09-16 19:23:24 UTC+0000                                 
0xffff82033c8cd080 prunsrv.exe            1568    620      7        0      0      0 2019-09-16 19:24:00 UTC+0000                                 
0xffff82033c7fa800 conhost.exe            2888   1568      3        0      0      0 2019-09-16 19:24:12 UTC+0000                                 
0xffff82033c6ef080 java.exe               2940   1568     29        0      0      1 2019-09-16 19:24:42 UTC+0000                                 
0xffff82033c700800 SearchIndexer.         2340    620     13        0      0      0 2019-09-16 19:26:19 UTC+0000                                 
0xffff82033e8c1080 WmiPrvSE.exe           2288    732      8        0      0      0 2019-09-16 19:31:43 UTC+0000                                 
0xffff82033e951080 GoogleUpdate.e         1912   1016      3        0      0      1 2019-09-16 21:19:00 UTC+0000                                 
0xffff82033de36080 wsmprovhost.ex          264    732     17        0      0      0 2019-09-19 22:32:25 UTC+0000                                 
0xffff82033def4080 systeminfo.exe         2308    264      0 --------      0      0 2019-09-19 22:32:27 UTC+0000   2019-09-19 22:32:34 UTC+0000  
0xffff82033dee0080 DumpIt.exe             2264    264      3        0      0      0 2019-09-19 22:32:38 UTC+0000                                 
0xffff82033eb73800 conhost.exe             724   2264      3        0      0      0 2019-09-19 22:32:38 UTC+0000                                 
