Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff910f698b0040 System                    4      0    115        0 ------      0 2019-09-17 21:53:23 UTC+0000                                 
0xffff910f6a609040 smss.exe                272      4      2        0 ------      0 2019-09-17 21:53:23 UTC+0000                                 
0xffff910f6a944080 csrss.exe               372    364     13        0      0      0 2019-09-17 21:53:28 UTC+0000                                 
0xffff910f6b1e3080 smss.exe                452    272      0 --------      1      0 2019-09-17 21:53:45 UTC+0000   2019-09-17 21:53:46 UTC+0000  
0xffff910f6a4a5080 csrss.exe               460    452     11        0      1      0 2019-09-17 21:53:45 UTC+0000                                 
0xffff910f6aa28080 wininit.exe             480    364      1        0      0      0 2019-09-17 21:53:45 UTC+0000                                 
0xffff910f6aa20080 winlogon.exe            516    452      2        0      1      0 2019-09-17 21:53:46 UTC+0000                                 
0xffff910f6aa79800 services.exe            588    480      4        0      0      0 2019-09-17 21:53:50 UTC+0000                                 
0xffff910f6aaa9080 lsass.exe               604    480      8        0      0      0 2019-09-17 21:53:56 UTC+0000                                 
0xffff910f6aa57800 svchost.exe             680    588     13        0      0      0 2019-09-17 21:54:29 UTC+0000                                 
0xffff910f6aae4080 svchost.exe             756    588      9        0      0      0 2019-09-17 21:54:40 UTC+0000                                 
0xffff910f6aa51800 svchost.exe             876    588     49        0      0      0 2019-09-17 21:54:48 UTC+0000                                 
0xffff910f6aa4f800 svchost.exe             884    588     41        0      0      0 2019-09-17 21:54:48 UTC+0000                                 
0xffff910f6ab93080 dwm.exe                 952    516     10        0      1      0 2019-09-17 21:54:49 UTC+0000                                 
0xffff910f6ab8f080 LogonUI.exe             960    516     13        0      1      0 2019-09-17 21:54:49 UTC+0000                                 
0xffff910f6aa4b800 svchost.exe             988    588     15        0      0      0 2019-09-17 21:54:49 UTC+0000                                 
0xffff910f6aa49800 svchost.exe            1012    588     16        0      0      0 2019-09-17 21:54:49 UTC+0000                                 
0xffff910f6aa47800 svchost.exe            1020    588     18        0      0      0 2019-09-17 21:54:49 UTC+0000                                 
0xffff910f6b60a680 svchost.exe            1148    588      4        0      0      0 2019-09-17 21:54:58 UTC+0000                                 
0xffff910f6b69a800 svchost.exe            1224    588      6        0      0      0 2019-09-17 21:54:59 UTC+0000                                 
0xffff910f6aa41800 svchost.exe            1252    588     24        0      0      0 2019-09-17 21:55:00 UTC+0000                                 
0xffff910f6b6d6700 spoolsv.exe            1364    588      9        0      0      0 2019-09-17 21:55:01 UTC+0000                                 
0xffff910f6b72c800 esensor.exe            1852    588     51        0      0      0 2019-09-17 21:55:11 UTC+0000                                 
0xffff910f6b72a800 mdm.exe                1936    588      3        0      0      1 2019-09-17 21:55:11 UTC+0000                                 
0xffff910f6b88b800 svchost.exe            2004    588     12        0      0      0 2019-09-17 21:55:12 UTC+0000                                 
0xffff910f6b884680 prunsrv.exe            2036    588      7        0      0      0 2019-09-17 21:55:13 UTC+0000                                 
0xffff910f6b876800 svchost.exe            1356    588      0 --------      0      0 2019-09-17 21:55:15 UTC+0000   2019-09-19 22:33:25 UTC+0000  
0xffff910f6b978800 MsMpEng.exe            2056    588     24        0      0      0 2019-09-17 21:55:16 UTC+0000                                 
0xffff910f6b967800 vmtoolsd.exe           2080    588      9        0      0      0 2019-09-17 21:55:16 UTC+0000                                 
0xffff910f6b968540 VGAuthService.         2088    588      2        0      0      0 2019-09-17 21:55:16 UTC+0000                                 
0xffff910f6b964040 MemCompression         2104      4      0        0 ------      0 2019-09-17 21:55:16 UTC+0000                                 
0xffff910f698fd080 conhost.exe            2208   2036      3        0      0      0 2019-09-17 21:55:19 UTC+0000                                 
0xffff910f6b9f44c0 svchost.exe            2652    588      7        0      0      0 2019-09-17 21:55:30 UTC+0000                                 
0xffff910f69e95540 java.exe               2664   2036     21        0      0      1 2019-09-17 21:55:30 UTC+0000                                 
0xffff910f6ba53800 svchost.exe            2848    588      4        0      0      0 2019-09-17 21:55:31 UTC+0000                                 
0xffff910f6ae90800 dllhost.exe            3048    588     10        0      0      0 2019-09-17 21:55:43 UTC+0000                                 
0xffff910f6bc5f440 msdtc.exe              1212    588      9        0      0      0 2019-09-17 21:55:48 UTC+0000                                 
0xffff910f6bc64800 WmiPrvSE.exe           3136    680      7        0      0      0 2019-09-17 21:56:03 UTC+0000                                 
0xffff910f6ba5e800 NisSrv.exe             3840    588      9        0      0      0 2019-09-17 21:56:41 UTC+0000                                 
0xffff910f6bb60800 GoogleUpdate.e         1556   3228      3        0      0      1 2019-09-17 21:58:41 UTC+0000                                 
0xffff910f6ba9c800 SearchIndexer.         3148    588     12        0      0      0 2019-09-17 21:58:49 UTC+0000                                 
0xffff910f6c774800 MpCmdRun.exe           1004   1952      3        0      0      0 2019-09-19 22:06:19 UTC+0000                                 
0xffff910f6c9ab800 SearchProtocol         1776   3148      6        0      0      0 2019-09-19 22:31:45 UTC+0000                                 
0xffff910f6c4e7800 SearchFilterHo          596   3148      5        0      0      0 2019-09-19 22:31:45 UTC+0000                                 
0xffff910f6c9a4080 wsmprovhost.ex         2612    680     21        0      0      0 2019-09-19 22:32:25 UTC+0000                                 
0xffff910f6c0c0400 HOSTNAME.EXE           3056   2612      0 -------- ------      0 2019-09-19 22:32:25 UTC+0000   2019-09-19 22:32:25 UTC+0000  
0xffff910f6cd72080 cmd.exe                3444    876      0 --------      0      0 2019-09-19 22:33:00 UTC+0000   2019-09-19 22:33:01 UTC+0000  
0xffff910f6cc2c800 NETSTAT.EXE             348   2172      0 --------      0      0 2019-09-19 22:33:01 UTC+0000   2019-09-19 22:33:01 UTC+0000  
0xffff910f6b945080 sc.exe                 3984   3444      0 --------      0      0 2019-09-19 22:33:01 UTC+0000   2019-09-19 22:33:01 UTC+0000  
