Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffbd82068ad040 System                    4      0    105        0 ------      0 2019-09-16 19:01:38 UTC+0000                                 
0xffffbd8208271040 smss.exe                336      4      2        0 ------      0 2019-09-16 19:01:38 UTC+0000                                 
0xffffbd8207479080 csrss.exe               400    392     11        0      0      0 2019-09-16 19:12:04 UTC+0000                                 
0xffffbd8207ed4080 smss.exe                468    336      0 --------      1      0 2019-09-16 19:13:18 UTC+0000   2019-09-16 19:13:41 UTC+0000  
0xffffbd820745f380 csrss.exe               480    468     10        0      1      0 2019-09-16 19:13:20 UTC+0000                                 
0xffffbd82080ef080 wininit.exe             500    392      1        0      0      0 2019-09-16 19:13:23 UTC+0000                                 
0xffffbd8208003080 winlogon.exe            536    468      2        0      1      0 2019-09-16 19:13:41 UTC+0000                                 
0xffffbd8208536080 services.exe            624    500      4        0      0      0 2019-09-16 19:15:00 UTC+0000                                 
0xffffbd82084e3080 lsass.exe               644    500      8        0      0      0 2019-09-16 19:15:25 UTC+0000                                 
0xffffbd8208565080 svchost.exe             736    624     13        0      0      0 2019-09-16 19:17:39 UTC+0000                                 
0xffffbd8208537080 svchost.exe             804    624      8        0      0      0 2019-09-16 19:18:50 UTC+0000                                 
0xffffbd8208791300 svchost.exe             936    624     45        0      0      0 2019-09-16 19:19:12 UTC+0000                                 
0xffffbd82087d0800 svchost.exe             944    624     40        0      0      0 2019-09-16 19:19:12 UTC+0000                                 
0xffffbd82087ce800 svchost.exe            1000    624     15        0      0      0 2019-09-16 19:19:12 UTC+0000                                 
0xffffbd8208b0b080 dwm.exe                 260    536     10        0      1      0 2019-09-16 19:19:18 UTC+0000                                 
0xffffbd82087ba800 svchost.exe             636    624     23        0      0      0 2019-09-16 19:19:43 UTC+0000                                 
0xffffbd82087b8800 svchost.exe             660    624     16        0      0      0 2019-09-16 19:19:43 UTC+0000                                 
0xffffbd82087b6800 svchost.exe             700    624     18        0      0      0 2019-09-16 19:19:43 UTC+0000                                 
0xffffbd8206908100 svchost.exe            1304    624      4        0      0      0 2019-09-16 19:20:05 UTC+0000                                 
0xffffbd8209027800 svchost.exe            1500    624      6        0      0      0 2019-09-16 19:20:17 UTC+0000                                 
0xffffbd8208ad9080 spoolsv.exe            1624    624      9        0      0      0 2019-09-16 19:20:27 UTC+0000                                 
0xffffbd8209097800 svchost.exe             924    624     12        0      0      0 2019-09-16 19:21:50 UTC+0000                                 
0xffffbd8209079800 MsMpEng.exe            1692    624     24        0      0      0 2019-09-16 19:22:11 UTC+0000                                 
0xffffbd8209157040 MemCompression         1516      4      0        0 ------      0 2019-09-16 19:22:22 UTC+0000                                 
0xffffbd820912d800 LogonUI.exe            1528    536     13        0      1      0 2019-09-16 19:23:08 UTC+0000                                 
0xffffbd82088f2080 svchost.exe            2696    624      4        0      0      0 2019-09-16 19:25:14 UTC+0000                                 
0xffffbd8206aec080 svchost.exe            2984    624      7        0      0      0 2019-09-16 19:26:41 UTC+0000                                 
0xffffbd8206b72800 vmtoolsd.exe           2084    624      8        0      0      0 2019-09-16 19:27:08 UTC+0000                                 
0xffffbd8206d1c080 dllhost.exe            1792    624     10        0      0      0 2019-09-16 19:27:31 UTC+0000                                 
0xffffbd8206b1b800 msdtc.exe              2020    624      9        0      0      0 2019-09-16 19:27:59 UTC+0000                                 
0xffffbd82082f6800 SearchIndexer.         3516    624     13        0      0      0 2019-09-16 19:30:06 UTC+0000                                 
0xffffbd82087f1080 prunsrv.exe            1372    624      7        0      0      0 2019-09-16 19:38:00 UTC+0000                                 
0xffffbd8206b1a080 conhost.exe            2628   1372      3        0      0      0 2019-09-16 19:38:06 UTC+0000                                 
0xffffbd8206e31800 java.exe               3868   1372     21        0      0      1 2019-09-16 19:38:23 UTC+0000                                 
0xffffbd8206951800 GoogleUpdate.e         3496    936      3        0      0      1 2019-09-16 21:19:00 UTC+0000                                 
0xffffbd8209527080 WmiPrvSE.exe            796    736      8        0      0      0 2019-09-19 22:31:30 UTC+0000                                 
0xffffbd82095ad800 wsmprovhost.ex         2236    736     15        0      0      0 2019-09-19 22:32:01 UTC+0000                                 
0xffffbd82094a7600 systeminfo.exe         2428   2236      0 --------      0      0 2019-09-19 22:32:03 UTC+0000   2019-09-19 22:32:08 UTC+0000  
0xffffbd82095db080 ??                   535693  47276  46620 -------- ------      1                                                              
