Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc987150b0040 System                    4      0     96        0 ------      0 2019-09-16 18:36:25 UTC+0000                                 
0xffffc98716760300 smss.exe                288      4      2        0 ------      0 2019-09-16 18:36:26 UTC+0000                                 
0xffffc98715c765c0 csrss.exe               384    376     10        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc98716fe2080 smss.exe                452    288      0 --------      1      0 2019-09-16 18:36:41 UTC+0000   2019-09-16 18:36:41 UTC+0000  
0xffffc98716fdd080 wininit.exe             460    376      1        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc98716fe3080 csrss.exe               472    452     10        0      1      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc98716f95440 winlogon.exe            536    452      2        0      1      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc987167bd080 services.exe            576    460      4        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc987173a5800 lsass.exe               592    460      8        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc98717356800 svchost.exe             672    576     14        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc987173c8640 svchost.exe             732    576      9        0      0      0 2019-09-16 18:36:41 UTC+0000                                 
0xffffc987173fe540 LogonUI.exe             836    536     13        0      1      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc987179bf080 dwm.exe                 884    536     10        0      1      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc987179e2640 svchost.exe             892    576     49        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc9871734a800 svchost.exe             900    576     40        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc98717a22080 svchost.exe            1020    576     15        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc9871733f2c0 svchost.exe             776    576     15        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc9871733e3c0 svchost.exe             808    576     19        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc9871733a800 svchost.exe            1132    576      4        0      0      0 2019-09-16 18:36:42 UTC+0000                                 
0xffffc98717b58800 svchost.exe            1216    576      6        0      0      0 2019-09-16 18:36:46 UTC+0000                                 
0xffffc98717b46800 svchost.exe            1272    576     23        0      0      0 2019-09-16 18:36:48 UTC+0000                                 
0xffffc98717b32800 spoolsv.exe            1460    576      9        0      0      0 2019-09-16 18:36:54 UTC+0000                                 
0xffffc98717d52080 svchost.exe            1752    576     13        0      0      0 2019-09-16 18:36:58 UTC+0000                                 
0xffffc98717c28800 prunsrv.exe            1804    576      7        0      0      0 2019-09-16 18:36:58 UTC+0000                                 
0xffffc9871721e480 mdm.exe                1944    576      3        0      0      1 2019-09-16 18:37:01 UTC+0000                                 
0xffffc98717217080 conhost.exe            1972   1804      3        0      0      0 2019-09-16 18:37:01 UTC+0000                                 
0xffffc987172bb040 MemCompression         2012      4      0        0 ------      0 2019-09-16 18:37:01 UTC+0000                                 
0xffffc9871723e800 ruby.exe               2024    576      9        0      0      0 2019-09-16 18:37:01 UTC+0000                                 
0xffffc98717228800 MsMpEng.exe            2092    576     25        0      0      0 2019-09-16 18:37:04 UTC+0000                                 
0xffffc9871722a800 vmtoolsd.exe           2120    576      9        0      0      0 2019-09-16 18:37:04 UTC+0000                                 
0xffffc987170b5480 winlogbeat.exe         2140    576     17        0      0      0 2019-09-16 18:37:04 UTC+0000                                 
0xffffc98715109300 VGAuthService.         2220    576      2        0      0      0 2019-09-16 18:37:05 UTC+0000                                 
0xffffc98717065800 svchost.exe            2244    576      4        0      0      0 2019-09-16 18:37:05 UTC+0000                                 
0xffffc9871714d240 java.exe               2376   1804     29        0      0      1 2019-09-16 18:37:07 UTC+0000                                 
0xffffc98718188600 dllhost.exe            2656    576     10        0      0      0 2019-09-16 18:37:22 UTC+0000                                 
0xffffc987181f9800 msdtc.exe              3176    576      9        0      0      0 2019-09-16 18:37:35 UTC+0000                                 
0xffffc9871838f800 NisSrv.exe             3944    576      9        0      0      0 2019-09-16 18:38:04 UTC+0000                                 
0xffffc987167c7800 svchost.exe            2112    576      7        0      0      0 2019-09-16 18:38:16 UTC+0000                                 
0xffffc987182d6800 GoogleUpdate.e         1468   4060      3        0      0      1 2019-09-16 18:39:39 UTC+0000                                 
0xffffc987179a1800 SearchIndexer.         1932    576     14        0      0      0 2019-09-16 18:39:50 UTC+0000                                 
0xffffc9871847c800 WmiPrvSE.exe           2444    672      8        0      0      0 2019-09-16 19:11:00 UTC+0000                                 
0xffffc98718395800                          0  60606 28...0 -------- ------      0                                                              
