Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff9186c44ad040 System                    4      0    110        0 ------      0 2019-09-16 19:03:27 UTC+0000                                 
0xffff9186c5c82800 smss.exe                352      4      2        0 ------      0 2019-09-16 19:03:27 UTC+0000                                 
0xffff9186c5059080 csrss.exe               424    416     10        0      0      0 2019-09-16 19:14:23 UTC+0000                                 
0xffff9186c59f2800 smss.exe                492    352      0 --------      1      0 2019-09-16 19:15:41 UTC+0000   2019-09-16 19:15:47 UTC+0000  
0xffff9186c5bcc280 csrss.exe               500    492     10        0      1      0 2019-09-16 19:15:42 UTC+0000                                 
0xffff9186c59cd080 wininit.exe             520    416      1        0      0      0 2019-09-16 19:15:43 UTC+0000                                 
0xffff9186c5bfd080 winlogon.exe            552    492      2        0      1      0 2019-09-16 19:15:47 UTC+0000                                 
0xffff9186c6c26440 services.exe            636    520      4        0      0      0 2019-09-16 19:17:47 UTC+0000                                 
0xffff9186c6c60800 lsass.exe               656    520      7        0      0      0 2019-09-16 19:18:16 UTC+0000                                 
0xffff9186c6c94800 svchost.exe             748    636     13        0      0      0 2019-09-16 19:19:49 UTC+0000                                 
0xffff9186c6c936c0 svchost.exe             816    636     10        0      0      0 2019-09-16 19:21:35 UTC+0000                                 
0xffff9186c6d6f800 svchost.exe             988    636     41        0      0      0 2019-09-16 19:24:22 UTC+0000                                 
0xffff9186c6d71800 svchost.exe             996    636     49        0      0      0 2019-09-16 19:24:22 UTC+0000                                 
0xffff9186c6d6d800 svchost.exe               8    636     15        0      0      0 2019-09-16 19:24:22 UTC+0000                                 
0xffff9186c6dae340 dwm.exe                 388    552     10        0      1      0 2019-09-16 19:24:26 UTC+0000                                 
0xffff9186c6dc9080 svchost.exe             676    636     15        0      0      0 2019-09-16 19:25:09 UTC+0000                                 
0xffff9186c6d61800 svchost.exe             724    636     18        0      0      0 2019-09-16 19:25:09 UTC+0000                                 
0xffff9186c52bc740 svchost.exe             260    636     23        0      0      0 2019-09-16 19:25:38 UTC+0000                                 
0xffff9186c6dfd780 svchost.exe            1116    636      4        0      0      0 2019-09-16 19:26:11 UTC+0000                                 
0xffff9186c5dc4800 svchost.exe            1320    636      6        0      0      0 2019-09-16 19:26:45 UTC+0000                                 
0xffff9186c44e1800 spoolsv.exe            1592    636      9        0      0      0 2019-09-16 19:27:16 UTC+0000                                 
0xffff9186c5e62800 svchost.exe            1028    636     12        0      0      0 2019-09-16 19:28:49 UTC+0000                                 
0xffff9186c5f5c6c0 MsMpEng.exe            1752    636     23        0      0      0 2019-09-16 19:29:14 UTC+0000                                 
0xffff9186c5fe1040 MemCompression         1904      4      0        0 ------      0 2019-09-16 19:29:24 UTC+0000                                 
0xffff9186c660c800 LogonUI.exe            1808    552     13        0      1      0 2019-09-16 19:30:34 UTC+0000                                 
0xffff9186c491a800 SearchIndexer.         2984    636     13        0      0      0 2019-09-16 19:38:02 UTC+0000                                 
0xffff9186c497c800 vmtoolsd.exe           3016    636      9        0      0      0 2019-09-16 19:38:03 UTC+0000                                 
0xffff9186c5fec080 svchost.exe            1156    636      7        0      0      0 2019-09-16 19:39:24 UTC+0000                                 
0xffff9186c4b2f800 prunsrv.exe            2432    636      7        0      0      0 2019-09-16 19:40:02 UTC+0000                                 
0xffff9186c4b3f080 conhost.exe            1328   2432      3        0      0      0 2019-09-16 19:40:19 UTC+0000                                 
0xffff9186c4ba8800 svchost.exe            1012    636      4        0      0      0 2019-09-16 19:40:39 UTC+0000                                 
0xffff9186c4af8080 java.exe               2516   2432     29        0      0      1 2019-09-16 19:40:40 UTC+0000                                 
0xffff9186c6650800 GoogleUpdate.e         2724   1892      3        0      0      1 2019-09-16 19:41:36 UTC+0000                                 
0xffff9186c4bbf080 NisSrv.exe             2248    636      8        0      0      0 2019-09-16 19:42:17 UTC+0000                                 
0xffff9186c4b99080 WmiPrvSE.exe           3500    748      9        0      0      0 2019-09-16 19:46:41 UTC+0000                                 
0xffff9186c722f080 wsmprovhost.ex          960    748     16        0      0      0 2019-09-19 22:32:03 UTC+0000                                 
0xffff9186c727c800 systeminfo.exe         1732    960      0 --------      0      0 2019-09-19 22:32:05 UTC+0000   2019-09-19 22:32:12 UTC+0000  
0xffff9186c487b800 DumpIt.exe             3884    960      3        0      0      0 2019-09-19 22:32:18 UTC+0000                                 
0xffff9186c4f53800 conhost.exe            3032   3884      3        0      0      0 2019-09-19 22:32:18 UTC+0000                                 
