Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffbe8251eb0040 System                    4      0     96        0 ------      0 2019-09-16 18:49:31 UTC+0000                                 
0xffffbe8253691800 smss.exe                304      4      2        0 ------      0 2019-09-16 18:49:35 UTC+0000                                 
0xffffbe8253a08080 csrss.exe               392    384     12        0      0      0 2019-09-16 18:52:20 UTC+0000                                 
0xffffbe8253ad8080 smss.exe                464    304      0 --------      1      0 2019-09-16 18:52:36 UTC+0000   2019-09-16 18:52:44 UTC+0000  
0xffffbe825414e080 csrss.exe               472    464     11        0      1      0 2019-09-16 18:52:36 UTC+0000                                 
0xffffbe8254129080 wininit.exe             492    384      1        0      0      0 2019-09-16 18:52:39 UTC+0000                                 
0xffffbe8254139080 winlogon.exe            548    464      2        0      1      0 2019-09-16 18:52:44 UTC+0000                                 
0xffffbe8254192080 services.exe            600    492      7        0      0      0 2019-09-16 18:52:58 UTC+0000                                 
0xffffbe8254173540 lsass.exe               608    492      8        0      0      0 2019-09-16 18:53:05 UTC+0000                                 
0xffffbe8252a63540 svchost.exe             708    600     13        0      0      0 2019-09-16 18:54:45 UTC+0000                                 
0xffffbe8253ddf800 svchost.exe             804    600      9        0      0      0 2019-09-16 19:00:13 UTC+0000                                 
0xffffbe8252a5a800 svchost.exe             952    600     45        0      0      0 2019-09-16 19:04:03 UTC+0000                                 
0xffffbe8252a59680 svchost.exe             960    600     39        0      0      0 2019-09-16 19:04:03 UTC+0000                                 
0xffffbe825355a800 svchost.exe              76    600     15        0      0      0 2019-09-16 19:04:11 UTC+0000                                 
0xffffbe825359e080 LogonUI.exe             468    548     11        0      1      0 2019-09-16 19:04:35 UTC+0000                                 
0xffffbe8253555080 dwm.exe                 480    548     10        0      1      0 2019-09-16 19:04:35 UTC+0000                                 
0xffffbe825356b800 svchost.exe             672    600     18        0      0      0 2019-09-16 19:09:21 UTC+0000                                 
0xffffbe8253586080 svchost.exe             904    600     15        0      0      0 2019-09-16 19:09:29 UTC+0000                                 
0xffffbe8253569700 svchost.exe             768    600     23        0      0      0 2019-09-16 19:09:29 UTC+0000                                 
0xffffbe8253562800 svchost.exe             784    600      4        0      0      0 2019-09-16 19:09:29 UTC+0000                                 
0xffffbe825355c800 svchost.exe            1080    600      6        0      0      0 2019-09-16 19:10:56 UTC+0000                                 
0xffffbe8254892800 spoolsv.exe            1332    600      9        0      0      0 2019-09-16 19:12:02 UTC+0000                                 
0xffffbe8254905800 svchost.exe            1764    600     12        0      0      0 2019-09-16 19:14:40 UTC+0000                                 
0xffffbe82542df800 MemCompression         1264      4      0        0 ------      0 2019-09-16 19:17:48 UTC+0000                                 
0xffffbe8251f24680 svchost.exe            1780    600      4        0      0      0 2019-09-16 19:25:47 UTC+0000                                 
0xffffbe82543d3080 svchost.exe            2304    600      7        0      0      0 2019-09-16 19:27:27 UTC+0000                                 
0xffffbe82540e8080 vmtoolsd.exe           2764    600      9        0      0      0 2019-09-16 19:33:00 UTC+0000                                 
0xffffbe8253f21800 dllhost.exe             936    600      9        0      0      0 2019-09-16 19:34:54 UTC+0000                                 
0xffffbe8251eda080 prunsrv.exe             332    600      7        0      0      0 2019-09-16 19:42:06 UTC+0000                                 
0xffffbe82542bf080 conhost.exe            1872    332      3        0      0      0 2019-09-16 19:42:21 UTC+0000                                 
0xffffbe8253f08080 MsMpEng.exe            2368    600     23        0      0      0 2019-09-16 19:42:43 UTC+0000                                 
0xffffbe8253e07080 java.exe               1732    332     29        0      0      1 2019-09-16 19:42:54 UTC+0000                                 
0xffffbe825247b080 WmiPrvSE.exe           1748    708      8        0      0      0 2019-09-16 19:43:39 UTC+0000                                 
0xffffbe8252535680 NisSrv.exe             1148    600     10        0      0      0 2019-09-16 19:44:09 UTC+0000                                 
0xffffbe8252791400 GoogleUpdate.e         3716    952      5        0      0      1 2019-09-16 21:19:00 UTC+0000                                 
0xffffbe8254d1e800 wsmprovhost.ex         2316    708     17        0      0      0 2019-09-19 22:32:27 UTC+0000                                 
0xffffbe8254d00800 systeminfo.exe         2536   2316      0 --------      0      0 2019-09-19 22:32:30 UTC+0000   2019-09-19 22:32:44 UTC+0000  
0xffffbe82529f0800 DumpIt.exe             3192   2316      6        0      0      0 2019-09-19 22:32:49 UTC+0000                                 
0xffffbe8254a6e080 conhost.exe            3924   3192      3        0      0      0 2019-09-19 22:32:49 UTC+0000                                 
