Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x000000013eb6d200 svchost.exe             864 True   False  False    True   True  True    True     
0x000000013e047200 taskhost.exe           2672 True   False  False    True   True  True    True     
0x000000013e4e1060 svchost.exe            1904 True   False  False    True   True  True    False    
0x000000013fa7f4e0 wsmprovhost.ex         3224 True   False  False    True   True  True    True     
0x000000013eb0fb10 svchost.exe             216 True   False  False    True   True  True    False    
0x000000013ecb1b10 lsass.exe               528 True   False  False    True   True  True    False    
0x000000013eba4060 svchost.exe             996 True   False  False    True   True  True    True     
0x000000013efd1620 winlogon.exe            460 True   False  False    True   True  True    True     
0x000000013e0956a0 dwm.exe                2012 True   False  False    True   True  True    True     
0x000000013e858760 vmtoolsd.exe           1008 True   False  False    True   True  True    True     
0x000000013e35e920 conhost.exe             280 True   False  False    True   True  True    True     
0x000000013eb62730 svchost.exe             888 True   False  False    True   True  True    True     
0x000000013e39cb10 WmiPrvSE.exe           2688 True   False  False    True   True  True    False    
0x000000013e8985b0 spoolsv.exe            1108 True   False  False    True   True  True    True     
0x000000013ede3690 lsm.exe                 536 True   False  False    True   True  True    True     
0x000000013e69cb10 svchost.exe             788 True   False  False    True   True  True    True     
0x000000013e48f060 explorer.exe           2376 True   False  False    True   True  True    True     
0x000000013e33b810 vmtoolsd.exe           1824 True   False  False    True   True  True    True     
0x000000013f9c0060 conhost.exe            3284 True   False  False    True   True  True    True     
0x000000013f1fa990 svchost.exe            1140 True   False  False    True   True  True    True     
0x000000013eb532d0 svchost.exe             820 True   False  False    True   True  True    True     
0x000000013eb74060 svchost.exe             912 True   False  False    True   True  True    True     
0x000000013de95060 DumpIt.exe             3368 True   False  False    True   True  True    True     
0x000000013e783b10 prunsrv.exe            1908 True   False  False    True   True  True    True     
0x000000013efffb10 services.exe            500 True   False  False    True   True  True    False    
0x000000013e8dc5e0 svchost.exe            1288 True   False  False    True   True  True    True     
0x000000013efd35e0 wininit.exe             448 True   False  False    True   True  True    True     
0x000000013eaf2060 svchost.exe             636 True   False  False    True   True  True    True     
0x000000013e227b10 java.exe               1772 True   False  False    True   True  True    True     
0x000000013ef5b060 svchost.exe             728 True   False  False    True   True  True    False    
0x000000013ea468f0 taskeng.exe            1672 True   False  False    True   True  True    True     
0x000000013e349b10 GoogleUpdate.e         2836 True   False  False    True   True  True    True     
0x000000013efd9b10 csrss.exe               352 True   False  False    True   False True    True     
0x000000013fc52b10 smss.exe                248 True   False  False    True   False False   False    
0x000000013fec8820 System                    4 True   False  False    True   False False   False    
0x000000013fb44550 systeminfo.exe          608 True   False  False    True   False True    False    2019-09-18 17:16:42 UTC+0000
0x000000013ef25b10 csrss.exe               416 True   False  False    True   False True    True     
0x000000013eedf910 HOSTNAME.EXE           3096 True   False  False    True   False True    False    2019-09-18 17:15:01 UTC+0000
0x000000008d7dc9f0                           0 False  False  False    False  False False   True     
