Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x000000000f3e2900 wsmprovhost.ex         3864 True   True   True     True   True  True    True     
0x000000013a3fe480 lsass.exe               528 True   True   True     True   True  True    False    
0x0000000139b79900 httpd.exe              1500 True   True   True     True   True  True    True     
0x00000001006d1900 svchost.exe            1572 True   True   True     True   True  True    True     
0x0000000104c1b900 svchost.exe             808 True   True   True     True   True  True    True     
0x000000011f937900 mfemactl.exe           2724 True   True   True     True   True  True    True     
0x000000010a1fc900 svchost.exe             608 True   True   True     True   True  True    True     
0x00000001007ad900 svchost.exe            1968 True   True   True     True   True  True    False    
0x0000000104d97900 msdtc.exe              1588 True   True   True     True   True  True    True     
0x000000013913f900 mysqld.exe             2636 True   True   True     True   True  True    True     
0x000000000f3e7900 rubyw.exe              4984 True   True   True     True   True  True    True     
0x0000000100656080 nscp.exe               1340 True   True   True     True   True  True    True     
0x000000011f9c4900 macompatsvc.ex         2660 True   True   True     True   True  True    True     
0x000000010a1f01c0 svchost.exe             652 True   True   True     True   True  True    False    
0x0000000139b61640 ncpa_passive.e         2992 True   True   True     True   True  True    True     
0x000000011f826900 ncpa_listener.         2900 True   True   True     True   True  True    True     
0x0000000132927900 mysqld.exe             2880 True   True   True     True   True  True    True     
0x0000000100328900 winlogon.exe            460 True   True   True     True   True  True    True     
0x0000000104c8e7c0 svchost.exe             760 True   True   True     True   True  True    True     
0x00000001006c9900 vmtoolsd.exe           1664 True   True   True     True   True  True    True     
0x000000011f90a900 WmiPrvSE.exe           2360 True   True   True     True   True  True    True     
0x0000000104c41480 LogonUI.exe             728 True   True   True     True   True  True    True     
0x0000000104c51540 dwm.exe                 748 True   True   True     True   True  True    True     
0x000000001e027900 conhost.exe             860 True   True   True     True   True  True    True     
0x000000010032c900 services.exe            520 True   True   True     True   True  True    False    
0x00000001008a05c0 spoolsv.exe            1056 True   True   True     True   True  True    True     
0x0000000104c0d900 svchost.exe             416 True   True   True     True   True  True    True     
0x0000000104cdd640 svchost.exe             840 True   True   True     True   True  True    True     
0x0000000104371680 dllhost.exe            1240 True   True   True     True   True  True    True     
0x00000001007af900 svchost.exe            1920 True   True   True     True   True  True    True     
0x00000001008dd700 svchost.exe            1100 True   True   True     True   True  True    True     
0x0000000104dd0900 macmnsvc.exe           1120 True   True   True     True   True  True    True     
0x000000012fbc6080 httpd.exe              1428 True   True   True     True   True  True    True     
0x000000002c817900 DumpIt.exe             3768 True   True   True     True   True  True    True     
0x0000000100932900 masvc.exe              1232 True   True   True     True   True  True    True     
0x0000000104c17900 svchost.exe             928 True   True   True     True   True  True    True     
0x000000013ba1d900 wininit.exe             432 True   True   True     True   True  True    True     
0x00000001006ea080 ruby.exe               1452 True   True   True     True   True  True    True     
0x0000000100737900 VGAuthService.         1600 True   True   True     True   True  True    True     
0x00000001002b97c0 smss.exe                244 True   True   True     True   False False   False    
0x0000000139be8900 systeminfo.exe         5112 True   True   False    True   False True    False    2019-09-18 17:15:48 UTC+0000
0x000000013baf0900 csrss.exe               368 True   True   True     True   False True    True     
0x000000013bae7900 csrss.exe               424 True   True   True     True   False True    True     
0x000000013cccb040 System                    4 True   True   True     True   False False   False    
0x0000000019413900 TiWorker.exe           4988 False  True   True     False  False False   False    
