[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff8018a5d8e00 with 433 entries
  Entry 0x0000: 0xfffff8018a5873f8 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff8018a939eac (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff8018aa8192c (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff8018a84d370 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff8018a5d8a40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff8018a84a170 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff8018a84fcd4 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff8018a83537c (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff8018a836c4c (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff8018a8374f8 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff8018a8dbdb4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff8018a8dd208 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff8018a844c6c (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff8018a837278 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff8018a852240 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff8018a8c54d8 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff8018a84ae80 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff8018a844c54 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff8018a824a90 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff8018a8109b0 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff8018a872510 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff8018a81c9c0 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff8018a81d3f0 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff8018a858290 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff8018a80a048 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff8018a8363e0 (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff8018a9251a8 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff8018a8d2da4 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff8018a920ab0 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff8018a4f5450 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff8018aa78a80 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff8018a837338 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff8018a820c20 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff8018a9243e0 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff8018a856f2c (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff8018a8320f0 (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff8018a8d52ec (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff8018a84309c (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff8018a4f0e70 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff8018a857bd0 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff8018a933344 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff8018a8e08d4 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff8018a8dbdc8 (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff8018a8d2a00 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff8018aab8d4c (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff8018a924b00 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff8018a832108 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff8018a8438c0 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff8018a90b648 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff8018a814784 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff8018a844520 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff8018a842bb0 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff8018a90a510 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff8018a853390 (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff8018a922d74 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff8018aab8bf0 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff8018a86ed24 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff8018a93245c (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff8018a92ccf4 (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff8018a8791ec (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff8018a911d48 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff8018a912ef4 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff8018a839f54 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff8018a924570 (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff8018a8fdbd4 (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x0041: 0xfffff8018a82a03c (NtDuplicateToken) owned by ntoskrnl.exe
  Entry 0x0042: 0xfffff8018a5d5720 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0043: 0xfffff8018a95a754 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0044: 0xfffff8018a932190 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x0045: 0xfffff8018a51abf4 (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0046: 0xfffff8018aac0494 (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0047: 0xfffff8018a8445e8 (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0048: 0xfffff8018a818230 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x0049: 0xfffff8018a833240 (NtCreateSection) owned by ntoskrnl.exe
  Entry 0x004a: 0xfffff8018a92f700 (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x004b: 0xfffff8018a885734 (NtApphelpCacheControl) owned by ntoskrnl.exe
  Entry 0x004c: 0xfffff8018aa91994 (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x004d: 0xfffff8018aa91a10 (NtCreateThread) owned by ntoskrnl.exe
  Entry 0x004e: 0xfffff8018a8cbcd0 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x004f: 0xfffff8018a87ec50 (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0050: 0xfffff8018a80c0d8 (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x0051: 0xfffff8018a837e9c (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x0052: 0xfffff8018a8d4e50 (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0053: 0xfffff8018aa78b5c (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x0054: 0xfffff8018a844bd4 (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0055: 0xfffff8018a92ab20 (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0056: 0xfffff8018aa78c80 (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0057: 0xfffff8018a9231c4 (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0058: 0xfffff8018a829e98 (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0059: 0xfffff8018aab61f8 (UNKNOWN) owned by ntoskrnl.exe
  Entry 0x005a: 0xfffff8018a83654c (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x005b: 0xfffff8018a928158 (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x005c: 0xfffff8018a8d197c (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x005d: 0xfffff8018a506ff0 (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x005e: 0xfffff8018a8f48c4 (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x005f: 0xfffff8018a827454 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x0060: 0xfffff8018a4aca7c (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x0061: 0xfffff8018a588688 (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x0062: 0xfffff8018a4b802c (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0063: 0xfffff8018a587270 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0064: 0xfffff8018a693f9c (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0065: 0xfffff8018a96c7b0 (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0066: 0xfffff8018aaa1374 (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0067: 0xfffff8018a92baac (NtAddAtomEx) owned by ntoskrnl.exe
  Entry 0x0068: 0xfffff8018aabc618 (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x0069: 0xfffff8018aabc638 (NtAddDriverEntry) owned by ntoskrnl.exe
  Entry 0x006a: 0xfffff8018a8fa90c (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x006b: 0xfffff8018a9a4400 (NtAdjustTokenClaimsAndDeviceGroups) owned by ntoskrnl.exe
  Entry 0x006c: 0xfffff8018aa93adc (NtAlertResumeThread) owned by ntoskrnl.exe
  Entry 0x006d: 0xfffff8018a9443d8 (NtAlertThread) owned by ntoskrnl.exe
  Entry 0x006e: 0xfffff8018a837fa4 (NtAlertThreadByThreadId) owned by ntoskrnl.exe
  Entry 0x006f: 0xfffff8018a916394 (NtAllocateLocallyUniqueId) owned by ntoskrnl.exe
  Entry 0x0070: 0xfffff8018a9a2328 (NtAllocateReserveObject) owned by ntoskrnl.exe
  Entry 0x0071: 0xfffff8018aa806e4 (NtAllocateUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0072: 0xfffff8018a8f92e0 (NtAllocateUuids) owned by ntoskrnl.exe
  Entry 0x0073: 0xfffff8018a8d8fc4 (NtAlpcAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0074: 0xfffff8018a945b50 (NtAlpcCancelMessage) owned by ntoskrnl.exe
  Entry 0x0075: 0xfffff8018a934614 (NtAlpcConnectPort) owned by ntoskrnl.exe
  Entry 0x0076: 0xfffff8018a936944 (NtAlpcConnectPortEx) owned by ntoskrnl.exe
  Entry 0x0077: 0xfffff8018a9340cc (NtAlpcCreatePort) owned by ntoskrnl.exe
  Entry 0x0078: 0xfffff8018a8dd66c (NtAlpcCreatePortSection) owned by ntoskrnl.exe
  Entry 0x0079: 0xfffff8018a911fb8 (NtAlpcCreateResourceReserve) owned by ntoskrnl.exe
  Entry 0x007a: 0xfffff8018a87f664 (NtAlpcCreateSectionView) owned by ntoskrnl.exe
  Entry 0x007b: 0xfffff8018a882f0c (NtAlpcCreateSecurityContext) owned by ntoskrnl.exe
  Entry 0x007c: 0xfffff8018a9316f8 (NtAlpcDeletePortSection) owned by ntoskrnl.exe
  Entry 0x007d: 0xfffff8018aa79b8c (NtAlpcDeleteResourceReserve) owned by ntoskrnl.exe
  Entry 0x007e: 0xfffff8018a92b6e4 (NtAlpcDeleteSectionView) owned by ntoskrnl.exe
  Entry 0x007f: 0xfffff8018a928740 (NtAlpcDeleteSecurityContext) owned by ntoskrnl.exe
  Entry 0x0080: 0xfffff8018a8bd764 (NtAlpcDisconnectPort) owned by ntoskrnl.exe
  Entry 0x0081: 0xfffff8018a843e40 (NtAlpcImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x0082: 0xfffff8018a92ff34 (NtAlpcOpenSenderProcess) owned by ntoskrnl.exe
  Entry 0x0083: 0xfffff8018a86c278 (NtAlpcOpenSenderThread) owned by ntoskrnl.exe
  Entry 0x0084: 0xfffff8018a8fa024 (NtAlpcQueryInformation) owned by ntoskrnl.exe
  Entry 0x0085: 0xfffff8018a8de970 (NtAlpcQueryInformationMessage) owned by ntoskrnl.exe
  Entry 0x0086: 0xfffff8018aa79db0 (NtAlpcRevokeSecurityContext) owned by ntoskrnl.exe
  Entry 0x0087: 0xfffff8018a840b00 (NtAlpcSendWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0088: 0xfffff8018a8cb11c (NtAlpcSetInformation) owned by ntoskrnl.exe
  Entry 0x0089: 0xfffff8018a93dc30 (NtAreMappedFilesTheSame) owned by ntoskrnl.exe
  Entry 0x008a: 0xfffff8018a8cd6dc (NtAssignProcessToJobObject) owned by ntoskrnl.exe
  Entry 0x008b: 0xfffff8018a517454 (NtAssociateWaitCompletionPacket) owned by ntoskrnl.exe
  Entry 0x008c: 0xfffff8018a8d22c4 (NtCancelIoFileEx) owned by ntoskrnl.exe
  Entry 0x008d: 0xfffff8018a94d9d0 (NtCancelSynchronousIoFile) owned by ntoskrnl.exe
  Entry 0x008e: 0xfffff8018a518658 (NtCancelTimer2) owned by ntoskrnl.exe
  Entry 0x008f: 0xfffff8018a51672c (NtCancelWaitCompletionPacket) owned by ntoskrnl.exe
  Entry 0x0090: 0xfffff8018a4a85c4 (NtCommitComplete) owned by ntoskrnl.exe
  Entry 0x0091: 0xfffff8018a4a85cc (NtCommitEnlistment) owned by ntoskrnl.exe
  Entry 0x0092: 0xfffff8018a4a85d4 (NtCommitTransaction) owned by ntoskrnl.exe
  Entry 0x0093: 0xfffff8018aa3b74c (NtCompactKeys) owned by ntoskrnl.exe
