[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80001ac0000 with 401 entries
  Entry 0x0000: 0xfffff80001ed7050 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff80001db8070 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff80001ab6f40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80001da9b70 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff80001ddf9f0 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff80001dd6dd0 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80001d7a9c0 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80001d73b0c (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff80001dd85b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80001eb01c0 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80001d876f0 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80001da9104 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff80001db9430 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80001da08a0 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff80001d9d040 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80001d98e30 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80001d9fad0 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80001db4b80 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff80001d6b5a4 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80001d8e780 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff80001d8f960 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff80001db95b0 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff80001dd49e0 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff80001de6090 (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80001f220f0 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff80001daed40 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff80001d71a70 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff80001aacc50 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80001f075c0 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff80001db7bb4 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff80001d83c40 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff80001dd7fb0 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff80001d98e50 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff80001d9261c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff80001dae1d4 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff80001d915f0 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff80001d9d990 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff80001dddda0 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff80001da3e4c (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff80001ddc474 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff80001dd85d0 (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff80001d77200 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff80001edc1a0 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff80001d23cec (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff80001d92080 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff80001d9a190 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff80001d6e188 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff80001d76140 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff80001da91d0 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff80001db8184 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff80001da98a0 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff80001dcd99c (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff80001dde140 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff80001edbd40 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff80001d98d9c (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff80001d63400 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff80001d951ac (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff80001d98140 (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff80001d9a370 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff80001daa938 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff80001d6356c (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff80001da11b4 (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff80001d72c30 (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff80001d61f90 (NtDuplicateToken) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff80001ac0e40 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0041: 0xfffff80001e75270 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0042: 0xfffff80001da4cc0 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x0043: 0xfffff80001a8f398 (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0044: 0xfffff80001d195ac (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0045: 0xfffff80001d834f0 (NtCreateEvent) owned by ntoskrnl.exe
