[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80002ec4000 with 401 entries
  Entry 0x0000: 0xfffff800032db050 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff800031bc070 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff80002ebaf40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff800031adb70 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff800031e39f0 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff800031dadd0 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff8000317e9c0 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80003177b0c (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff800031dc5b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff800032b41c0 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff8000318b6f0 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff800031ad104 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff800031bd430 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff800031a48a0 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff800031a1040 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff8000319ce30 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff800031a3ad0 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff800031b8b80 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff8000316f5a4 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80003192780 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff80003193960 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff800031bd5b0 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff800031d89e0 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff800031ea090 (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
